FY_CODE,DISTRICT_CODE,DIST_NAME,SCHOOL_CODE,SCHOOL_NAME,ESTATUS,MSTATUS,EAAYP,ESAYP,MAAYP,MSAYP,MPRFCPI,EPRFCPI,MIMPCPI,EIMPCPI,CHOICE,SES
2007,00010000,Abington,00010003,"Abington ECC",,,,,,,85.6,86.9,14.6,6.7,,
2007,00010000,Abington,00010005,Center,,,Yes,Yes,Yes,Yes,82.6,86.5,6,1.9,No,No
2007,00010000,Abington,00010010,North,,,Yes,Yes,Yes,Yes,74.1,87.6,5.1,-0.3,No,No
2007,00010000,Abington,00010015,Woodsdale,,,Yes,Yes,Yes,Yes,74.7,83.5,3,1,No,No
2007,00010000,Abington,00010405,"Frolio Jr Hs",,,Yes,No,No,No,72.8,90.8,0.2,-0.5,No,No
2007,00010000,Abington,00010505,"Abington High",,,Yes,Yes,Yes,Yes,95.2,95.1,3.9,1.6,No,No
2007,00020000,Acton,00020010,Merriam,,,Yes,Yes,Yes,Yes,92.9,95.2,-0.2,-1.2,No,No
2007,00020000,Acton,00020015,McCarthy-Towne,,,Yes,Yes,Yes,Yes,88.3,94.1,-0.3,-0.4,No,No
2007,00020000,Acton,00020020,Douglas,,,Yes,Yes,Yes,Yes,90.3,94,1.9,0.8,No,No
2007,00020000,Acton,00020025,Gates,,,Yes,Yes,Yes,No,92.5,96.4,1.1,-0.3,No,No
2007,00020000,Acton,00020030,"Luther Conant",,,Yes,Yes,Yes,Yes,93.4,96.8,2.5,2.9,No,No
2007,00030000,Acushnet,00030025,"Acushnet Elementary Sch",,,Yes,No,Yes,Yes,83,85.2,5.4,0.9,No,No
2007,00030000,Acushnet,00030305,"Albert F Ford Middle Sch",,,Yes,No,Yes,No,78.1,92,4.4,0.4,No,No
2007,00050000,Agawam,00050010,"Clifford M Granger",,,Yes,Yes,Yes,Yes,88.4,87.1,12.5,5.1,No,No
2007,00050000,Agawam,00050020,"Benjamin J Phelps",,,Yes,Yes,Yes,Yes,85.9,85.6,8.9,-3.7,No,No
2007,00050000,Agawam,00050025,"Robinson Park",,,Yes,Yes,Yes,Yes,85.2,83.4,13.6,4,No,No
2007,00050000,Agawam,00050030,"James Clark School",,,Yes,Yes,Yes,Yes,88.2,86.3,9.7,-0.1,No,No
2007,00050000,Agawam,00050303,"Agawam Middle School",,"Corrective Action - Subgroups",Yes,No,Yes,Yes,79.8,85.6,4.2,0,No,No
2007,00050000,Agawam,00050405,"Agawam Junior High","Improvement Year 2 - Subgroups","Restructuring Year 1 - Subgroups",Yes,Yes,Yes,No,74.9,91.4,3.2,2.5,No,No
