FY_CODE,DISTRICT_CODE,DIST_NAME,SCHOOL_CODE,SCHOOL_NAME,ARH_SCH_PERCENTILE,ARH_SCH_TYPE,ARH_LEVEL,ARH_LEVEL_REASON_PERF,CUMPPI_ALL,CUMPPI_HN
2012,00010000,Abington,00010002,"Center Elementary School",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00010000,Abington,00010003,"Beaver Brook Elementary School",,"Elementary School","Insufficient data","Insufficient data",,
2012,00010000,Abington,00010015,"Woodsdale Elementary School",47,"Elementary School","Level 1","Meeting gap narrowing goals",88,87
2012,00010000,Abington,00010405,"Frolio Middle School",36,"Middle School","Level 2","Not meeting gap narrowing goals",64,59
2012,00010000,Abington,00010505,"Abington High",36,"High School","Level 2","Not meeting gap narrowing goals",62,
2012,00020000,Acton,00020010,Merriam,87,"Elementary School","Level 2","Not meeting gap narrowing goals",89,68
2012,00020000,Acton,00020015,McCarthy-Towne,70,"Elementary School","Level 2","Not meeting gap narrowing goals",77,68
2012,00020000,Acton,00020020,Douglas,93,"Elementary School","Level 1","Meeting gap narrowing goals",100,78
2012,00020000,Acton,00020025,Gates,96,"Elementary School","Level 2","Not meeting gap narrowing goals",100,70
2012,00020000,Acton,00020030,"Luther Conant",92,"Elementary School","Level 2","Not meeting gap narrowing goals",100,68
2012,00030000,Acushnet,00030025,"Acushnet Elementary School",50,"Elementary School","Level 1","Meeting gap narrowing goals",84,83
2012,00030000,Acushnet,00030305,"Albert F Ford Middle School",49,"Middle School","Level 2","Not meeting gap narrowing goals",57,60
2012,00050000,Agawam,00050003,"Agawam Early Childhood Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00050000,Agawam,00050010,"Clifford M Granger",81,"Elementary School","Level 1","Meeting gap narrowing goals",84,81
2012,00050000,Agawam,00050020,"Benjamin J Phelps",39,"Elementary School","Level 2","Not meeting gap narrowing goals",61,49
2012,00050000,Agawam,00050025,"Robinson Park",50,"Elementary School","Level 2","Not meeting gap narrowing goals",59,45
2012,00050000,Agawam,00050030,"James Clark School",41,"Elementary School","Level 2","Not meeting gap narrowing goals",59,65
2012,00050000,Agawam,00050303,"Roberta G. Doering School",51,"Middle School","Level 2","Not meeting gap narrowing goals",49,56
2012,00050000,Agawam,00050405,"Agawam Junior High",38,"Middle School","Level 2","Not meeting gap narrowing goals",59,65
2012,00050000,Agawam,00050505,"Agawam High",48,"High School","Level 1","Meeting gap narrowing goals",80,90
2012,00070000,Amesbury,00070005,"Amesbury Elementary",48,"Elementary School","Level 1","Meeting gap narrowing goals",75,81
2012,00070000,Amesbury,00070010,"Charles C Cashman Elementary",74,"Elementary School","Level 1","Meeting gap narrowing goals",97,86
2012,00070000,Amesbury,00070013,"Amesbury Middle",52,"Middle School","Level 2","Not meeting gap narrowing goals",66,59
2012,00070000,Amesbury,00070505,"Amesbury High",60,"High School","Level 1","Meeting gap narrowing goals",89,80
2012,00080000,Amherst,00080009,"Crocker Farm Elementary",38,"Elementary School","Level 2","Not meeting gap narrowing goals",66,51
2012,00080000,Amherst,00080020,"Fort River Elementary",44,"Elementary School","Level 2","Not meeting gap narrowing goals",51,45
2012,00080000,Amherst,00080050,"Wildwood Elementary",68,"Elementary School","Level 2","Not meeting gap narrowing goals",77,59
2012,00090000,Andover,00090003,"Bancroft Elementary",89,"Elementary School","Level 2","Not meeting gap narrowing goals",90,51
2012,00090000,Andover,00090004,"High Plain Elementary",94,"Elementary School","Level 2","Not meeting gap narrowing goals",98,74
2012,00090000,Andover,00090005,"Shawsheen School",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00090000,Andover,00090010,"Henry C Sanborn Elementary",96,"Elementary School","Level 1","Meeting gap narrowing goals",100,
2012,00090000,Andover,00090020,"South Elementary",92,"Elementary School","Level 2","Not meeting gap narrowing goals",100,58
2012,00090000,Andover,00090025,"West Elementary",88,"Elementary School","Level 2","Not meeting gap narrowing goals",88,68
2012,00090000,Andover,00090305,"Doherty Middle",97,"Middle School","Level 1","Meeting gap narrowing goals",100,87
2012,00090000,Andover,00090310,"Andover West Middle",94,"Middle School","Level 1","Meeting gap narrowing goals",90,92
2012,00090000,Andover,00090350,"Wood Hill Middle School",85,"Middle School","Level 2","Not meeting gap narrowing goals",79,48
2012,00090000,Andover,00090505,"Andover High",81,"High School","Level 1","Meeting gap narrowing goals",92,76
2012,00100000,Arlington,00100005,"John A Bishop",91,"Elementary School","Level 1","Meeting gap narrowing goals",91,
2012,00100000,Arlington,00100010,Brackett,99,"Elementary School","Level 1","Meeting gap narrowing goals",100,100
2012,00100000,Arlington,00100025,"Cyrus E Dallin",90,"Elementary School","Level 1","Meeting gap narrowing goals",91,76
2012,00100000,Arlington,00100030,Hardy,90,"Elementary School","Level 1","Meeting gap narrowing goals",93,94
2012,00100000,Arlington,00100038,"Menotomy Preschool",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00100000,Arlington,00100045,Peirce,85,"Elementary School","Level 2","Not meeting gap narrowing goals",81,36
2012,00100000,Arlington,00100050,Thompson,77,"Elementary School","Level 2","Not meeting gap narrowing goals",79,66
2012,00100000,Arlington,00100055,"M Norcross Stratton",89,"Elementary School","Level 2","Not meeting gap narrowing goals",75,20
2012,00100000,Arlington,00100410,"Ottoson Middle",83,"Middle School","Level 2","Not meeting gap narrowing goals",79,65
2012,00100000,Arlington,00100505,"Arlington High",87,"High School","Level 2","Not meeting gap narrowing goals",84,67
2012,00140000,Ashland,00140005,"William Pittaway Elementary",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00140000,Ashland,00140010,"Henry E Warren Elementary",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00140000,Ashland,00140015,"David Mindess",54,"Elementary School","Level 2","Not meeting gap narrowing goals",56,50
2012,00140000,Ashland,00140405,"Ashland Middle",80,"Middle School","Level 1","Meeting gap narrowing goals",86,79
2012,00140000,Ashland,00140505,"Ashland High",92,"High School","Level 1","Meeting gap narrowing goals",100,
2012,00160000,Attleboro,00160001,"A. Irvin Studley Elementary School",50,"Elementary School","Level 2","Not meeting gap narrowing goals",85,69
2012,00160000,Attleboro,00160008,"Early Learning Center",,"Early Elementary School","Insufficient data","Insufficient data",,
2012,00160000,Attleboro,00160035,"Thomas E. Willett School",65,"Elementary School","Level 1","Meeting gap narrowing goals",94,76
2012,00160000,Attleboro,00160040,"Hyman Fine Elementary School",62,"Elementary School","Level 2","Not meeting gap narrowing goals",83,69
2012,00160000,Attleboro,00160045,"Hill-Roberts Elementary School",72,"Elementary School","Level 2","Not meeting gap narrowing goals",68,70
2012,00160000,Attleboro,00160050,"Peter Thacher Elementary School",77,"Elementary School","Level 1","Meeting gap narrowing goals",95,82
2012,00160000,Attleboro,00160305,"Robert J. Coelho Middle School",40,"Middle School","Level 2","Not meeting gap narrowing goals",72,61
2012,00160000,Attleboro,00160315,"Cyril K. Brennan Middle School",66,"Middle School","Level 1","Meeting gap narrowing goals",98,87
2012,00160000,Attleboro,00160320,"Wamsutta Middle School",60,"Middle School","Level 1","Meeting gap narrowing goals",99,98
2012,00160000,Attleboro,00160505,"Attleboro High",30,"High School","Level 1","Meeting gap narrowing goals",85,83
