FY_CODE,ORG_CODE,ORG_NAME,ESTATUS,MSTATUS
2007,00000000,"State Totals",,
2007,00010000,Abington,,
2007,00020000,Acton,"Improvement Year 1 - Subgroups",
2007,00030000,Acushnet,,
2007,00050000,Agawam,"Improvement Year 1 - Subgroups","Improvement Year 1 - Subgroups"
2007,00070000,Amesbury,,
2007,00080000,Amherst,"Corrective Action - Subgroups","Improvement Year 1 - Subgroups"
2007,00090000,Andover,,
2007,00100000,Arlington,,
2007,00140000,Ashland,,
2007,00160000,Attleboro,,
2007,00170000,Auburn,,
2007,00180000,Avon,,
2007,00190000,Ayer,,
2007,00200000,Barnstable,,
2007,00230000,Bedford,,
2007,00240000,Belchertown,,
2007,00250000,Bellingham,,
2007,00260000,Belmont,,
2007,00270000,Berkley,,
2007,00280000,Berlin,,
2007,00300000,Beverly,,
2007,00310000,Billerica,,
2007,00350000,Boston,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,00360000,Bourne,,
2007,00370000,Boxborough,,
2007,00380000,Boxford,,
2007,00390000,Boylston,,
2007,00400000,Braintree,,
2007,00410000,Brewster,,
2007,00430000,Brimfield,,
2007,00440000,Brockton,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,00450000,Brookfield,,
2007,00460000,Brookline,,
2007,00480000,Burlington,,
2007,00490000,Cambridge,,
2007,00500000,Canton,,
2007,00510000,Carlisle,,
2007,00520000,Carver,,
2007,00550000,Chatham,,
2007,00560000,Chelmsford,,
2007,00570000,Chelsea,"Improvement Year 2 - Subgroups","Improvement Year 2 - Subgroups"
2007,00610000,Chicopee,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,00630000,Clarksburg,,
2007,00640000,Clinton,,
2007,00650000,Cohasset,,
2007,00670000,Concord,,
2007,00680000,Conway,,
2007,00710000,Danvers,,
2007,00720000,Dartmouth,,
2007,00730000,Dedham,,
2007,00740000,Deerfield,,
2007,00770000,Douglas,,
2007,00780000,Dover,,
2007,00790000,Dracut,,
2007,00820000,Duxbury,,
2007,00830000,"East Bridgewater",,
2007,00850000,Eastham,,
2007,00860000,Easthampton,,
