SORT_ORDER,ORG_NAME,ORG_CODE,FY_CODE,AMAO_PRGS_ACHIEVED,AMAO_ATTN_ACHIEVED,CUMULATIVE_PPI
2,Acton,00020000,2012,Yes,Yes,Yes
2,Acton,00020000,2013,No,Yes,Yes
2,Agawam,00050000,2013,Yes,Yes,Yes
2,Agawam,00050000,2012,No,Yes,No
2,Amherst,00080000,2012,Yes,Yes,No
2,Amherst,00080000,2010,Yes,Yes,
2,Amherst,00080000,2013,No,Yes,No
2,Amherst,00080000,2006,Yes,Yes,
2,Amherst,00080000,2005,Yes,Yes,
2,Amherst,00080000,2009,Yes,Yes,
2,Amherst,00080000,2011,Yes,Yes,
2,Amherst,00080000,2007,Yes,Yes,
2,Amherst,00080000,2008,Yes,Yes,
2,Andover,00090000,2013,Yes,Yes,Yes
2,Andover,00090000,2012,Yes,Yes,Yes
2,Arlington,00100000,2013,No,Yes,No
2,Arlington,00100000,2010,Yes,Yes,
2,Arlington,00100000,2012,Yes,Yes,No
2,Arlington,00100000,2006,Yes,Yes,
2,Arlington,00100000,2011,Yes,Yes,
2,Arlington,00100000,2008,Yes,Yes,
2,Arlington,00100000,2007,Yes,Yes,
2,Arlington,00100000,2009,Yes,Yes,
2,Arlington,00100000,2005,Yes,Yes,
2,Attleboro,00160000,2010,No,Yes,
2,Attleboro,00160000,2012,Yes,Yes,Yes
2,Attleboro,00160000,2013,No,No,Yes
2,Attleboro,00160000,2005,Yes,Yes,
2,Attleboro,00160000,2008,Yes,Yes,
2,Attleboro,00160000,2006,Yes,Yes,
2,Attleboro,00160000,2009,Yes,Yes,
2,Attleboro,00160000,2011,Yes,Yes,
2,Attleboro,00160000,2007,Yes,Yes,
2,Barnstable,00200000,2010,Yes,Yes,
2,Barnstable,00200000,2013,Yes,No,No
2,Barnstable,00200000,2012,Yes,Yes,No
2,Barnstable,00200000,2011,Yes,Yes,
2,Barnstable,00200000,2008,Yes,Yes,
2,Barnstable,00200000,2006,Yes,Yes,
2,Barnstable,00200000,2009,Yes,Yes,
2,Barnstable,00200000,2005,Yes,Yes,
2,Barnstable,00200000,2007,No,Yes,
2,Belmont,00260000,2013,Yes,Yes,Yes
2,Belmont,00260000,2012,Yes,Yes,No
2,Belmont,00260000,2010,Yes,Yes,
2,Belmont,00260000,2011,Yes,Yes,
2,Belmont,00260000,2006,Yes,Yes,
2,Belmont,00260000,2009,Yes,Yes,
2,Boston,00350000,2012,No,Yes,No
2,Boston,00350000,2013,No,Yes,No
2,Boston,00350000,2010,No,No,
2,Boston,00350000,2009,Yes,No,
2,Boston,00350000,2005,No,No,
2,Boston,00350000,2006,Yes,Yes,
2,Boston,00350000,2008,Yes,Yes,
