REC_YEAR	ORG_CODE	SCHOOL	SAT_STU_GROUP_CODE	LABEL_STU	SAT_TAKEN	SAT_READ	SAT_WRITE	SAT_MATH	SORT
2005	00050000	00050505	ALL	All Students	206	487		499	1
2005	00070000	00070505	ALL	All Students	110	545		529	1
2005	00090000	00090505	ALL	All Students	358	558		585	1
2005	00100000	00100505	ALL	All Students	229	541		553	1
2005	00140000	00140505	ALL	All Students	118	551		565	1
2005	00170000	00170505	ALL	All Students	116	482		492	1
2005	00180000	00180510	ALL	All Students	30	456		457	1
2005	00190000	00190510	ALL	All Students	72	488		471	1
2005	00200000	00200505	ALL	All Students	309	523		521	1
2005	00230000	00230505	ALL	All Students	146	565		566	1
2005	00240000	00240505	ALL	All Students	138	528		532	1
2005	00250000	00250505	ALL	All Students	124	503		514	1
2005	00260000	00260505	ALL	All Students	262	575		594	1
2005	00300000	00300505	ALL	All Students	222	516		518	1
2005	00310000	00310505	ALL	All Students	282	510		543	1
2005	00350000	00350286	ALL	All Students	0	9999		9999	1
2005	00350000	00350363	ALL	All Students	6	427		405	1
2005	00350000	00350505	ALL	All Students	163	361		371	1
2005	00350000	00350515	ALL	All Students	163	370		431	1
2005	00350000	00350522	ALL	All Students	66	361		416	1
2005	00350000	00350524	ALL	All Students	32	382		373	1
2005	00350000	00350525	ALL	All Students	101	325		376	1
2005	00350000	00350530	ALL	All Students	166	382		407	1
2005	00350000	00350535	ALL	All Students	111	359		396	1
2005	00350000	00350537	ALL	All Students	122	351		372	1
2005	00350000	00350538	ALL	All Students	38	345		347	1
2005	00350000	00350539	ALL	All Students	1	9999		9999	1
2005	00350000	00350540	ALL	All Students	60	445		425	1
2005	00350000	00350541	ALL	All Students	46	545		538	1
2005	00350000	00350542	ALL	All Students	44	358		355	1
2005	00350000	00350543	ALL	All Students	12	354		368	1
2005	00350000	00350545	ALL	All Students	197	530		551	1
2005	00350000	00350546	ALL	All Students	68	434		422	1
2005	00350000	00350548	ALL	All Students	1	9999		9999	1
2005	00350000	00350550	ALL	All Students	94	350		375	1
2005	00350000	00350560	ALL	All Students	411	620		644	1
2005	00350000	00350573	ALL	All Students	140	377		389	1
2005	00350000	00350575	ALL	All Students	217	459		496	1
2005	00350000	00350577	ALL	All Students	29	364		411	1
2005	00350000	00350690	ALL	All Students	96	367		391	1
2005	00360000	00360505	ALL	All Students	112	513		514	1
2005	00400000	00400505	ALL	All Students	283	519		531	1
2005	00440000	00440505	ALL	All Students	575	456		458	1
2005	00460000	00460505	ALL	All Students	460	598		620	1
2005	00480000	00480505	ALL	All Students	212	511		542	1
2005	00490000	00490506	ALL	All Students	349	481		500	1
2005	00500000	00500505	ALL	All Students	158	530		564	1
2005	00520000	00520505	ALL	All Students	85	505		507	1
2005	00550000	00550505	ALL	All Students	44	527		524	1
2005	00560000	00560505	ALL	All Students	369	542		547	1
2005	00570000	00570505	ALL	All Students	91	417		453	1
2005	00610000	00610505	ALL	All Students	108	474		481	1
2005	00610000	00610510	ALL	All Students	121	497		497	1
2005	00640000	00640505	ALL	All Students	101	493		478	1
2005	00650000	00650505	ALL	All Students	77	535		565	1
2005	00710000	00710505	ALL	All Students	195	516		520	1
2005	00720000	00720505	ALL	All Students	219	499		537	1
2005	00730000	00730505	ALL	All Students	142	518		532	1
2005	00770000	00770505	ALL	All Students	48	489		476	1
2005	00790000	00790505	ALL	All Students	200	521		509	1
2005	00820000	00820505	ALL	All Students	223	551		563	1
2005	00830000	00830505	ALL	All Students	108	483		492	1
2005	00860000	00860505	ALL	All Students	65	492		514	1
2005	00870000	00870505	ALL	All Students	197	510		536	1
2005	00880000	00880505	ALL	All Students	230	521		536	1
2005	00930000	00930505	ALL	All Students	225	454		462	1
2005	00940000	00940505	ALL	All Students	99	515		502	1
2005	00950000	00950505	ALL	All Students	180	480		481	1
2005	00960000	00960505	ALL	All Students	249	525		534	1
2005	00970000	00970505	ALL	All Students	191	479		473	1
2005	00990000	00990505	ALL	All Students	162	534		546	1
2005	01000000	01000515	ALL	All Students	390	524		541	1
2005	01010000	01010505	ALL	All Students	283	541		535	1
2005	01030000	01030505	ALL	All Students	145	523		508	1
2005	01050000	01050505	ALL	All Students	85	531		542	1
