YEAR,ORG_CODE,EET_GRP_CD,TOTAL_N,Total_Evaluated,Evaluated_per,EX_PER,P_PER,NI_PER,UN_PER
2013,00000000,AS,61441,37940,61.750297,7.364259,85.152873,6.781761,0.701107
2013,00000000,ADS,5187,2271,43.782533,10.479965,86.085425,2.950242,0.484368
2013,00000000,PR,1310,667,50.916031,7.046477,88.905547,3.148426,0.89955
2013,00000000,NAS,56921,36004,63.252578,7.185313,85.137762,6.971448,0.705477
2013,00000000,TE,50729,32945,64.943129,6.932767,85.078161,7.269692,0.719381
2013,00000000,PTS,33902,22302,65.78373,7.676442,87.144651,4.551161,0.627746
2013,00000000,NPT,10244,8446,82.448262,2.995501,82.476912,13.509354,1.018233
2013,00010000,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010000,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010000,PR,NA,NA,NA,NA,NA,NA,NA
2013,00010000,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010000,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010000,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010000,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00010002,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010002,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010002,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010002,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010002,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010002,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00010003,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010003,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010003,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010003,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010003,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010003,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00010015,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010015,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010015,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010015,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010015,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010015,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00010405,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010405,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010405,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010405,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010405,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010405,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00010505,AS,NA,NA,NA,NA,NA,NA,NA
2013,00010505,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00010505,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00010505,TE,NA,NA,NA,NA,NA,NA,NA
2013,00010505,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00010505,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020000,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020000,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020000,PR,NA,NA,NA,NA,NA,NA,NA
2013,00020000,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020000,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020000,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020000,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020010,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020010,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020010,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020010,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020010,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020010,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020015,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020015,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020015,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020015,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020015,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020015,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020020,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020020,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020020,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020020,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020020,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020020,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020025,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020025,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020025,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020025,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020025,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020025,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00020030,AS,NA,NA,NA,NA,NA,NA,NA
2013,00020030,ADS,NA,NA,NA,NA,NA,NA,NA
2013,00020030,NAS,NA,NA,NA,NA,NA,NA,NA
2013,00020030,TE,NA,NA,NA,NA,NA,NA,NA
2013,00020030,PTS,NA,NA,NA,NA,NA,NA,NA
2013,00020030,NPT,NA,NA,NA,NA,NA,NA,NA
2013,00030000,AS,84,49,58.333333,0,93.877551,4.081633,2.040816
2013,00030000,ADS,8,1,12.5,,,,
2013,00030000,PR,2,0,0,,,,
2013,00030000,NAS,76,48,63.157895,0,93.75,4.166667,2.083333
2013,00030000,TE,67,44,65.671642,0,95.454545,4.545455,0
2013,00030000,PTS,58,36,62.068966,0,97.222222,2.777778,0
2013,00030000,NPT,9,8,88.888889,0,87.5,12.5,0
2013,00030025,AS,43,23,53.488372,0,95.652174,4.347826,0
2013,00030025,ADS,3,1,33.333333,,,,
2013,00030025,NAS,40,22,55,0,95.454545,4.545455,0
2013,00030025,TE,35,20,57.142857,0,95,5,0
2013,00030025,PTS,33,19,57.575758,,,,
2013,00030025,NPT,2,1,50,,,,
2013,00030305,AS,38,26,68.421053,0,92.307692,3.846154,3.846154
2013,00030305,ADS,2,0,0,,,,
2013,00030305,NAS,36,26,72.222222,0,92.307692,3.846154,3.846154
2013,00030305,TE,32,24,75,0,95.833333,4.166667,0
2013,00030305,PTS,25,17,68,0,94.117647,5.882353,0
