FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00000000,00000000,"State Totals",72061.69,93.88,59662.11,93.89,13.6
2004,00010000,00010000,Abington,129.73,96.86,117.48,98.31,18.9
2004,00010000,00010003,"Abington ECC",33.7,98.52,30.3,100,18.7
2004,00010000,00010005,Center,10.8,100,10.4,100,20.4
2004,00010000,00010010,North,11.45,100,11,100,18.3
2004,00010000,00010015,Woodsdale,16.98,99.53,15.58,99.49,21.9
2004,00010000,00010405,"Frolio Jr Hs",19.5,93.33,17.4,100,21.2
2004,00010000,00010505,"Abington High",37.3,94.1,32.8,94.21,16.4
2004,00020000,00020000,Acton,145.9,96.78,134.5,97.03,17.3
2004,00020000,00020010,Merriam,34,97.06,30.4,96.71,15.8
2004,00020000,00020015,McCarthy-Towne,29.4,93.2,27.6,92.75,17.2
2004,00020000,00020020,Douglas,27.3,96.34,25.6,96.09,18.1
2004,00020000,00020025,Gates,27.2,98.9,25.1,100,18.2
2004,00020000,00020030,"Luther Conant",28,98.57,25.8,100,17.6
2004,00030000,00030000,Acushnet,71.1,100,59,98.31,15.6
2004,00030000,00030025,"Acushnet Elementary Sch",40.5,100,33,100,13.8
2004,00030000,00030305,"Albert F Ford Middle Sch",30.6,100,26,96.15,18
2004,00050000,00050000,Agawam,325.74,98.21,276.77,97.89,13.3
2004,00050000,00050003,"Agawam ECC",8,100,6,100,15.5
2004,00050000,00050010,"Clifford M Granger",28.62,100,27.08,100,14.4
2004,00050000,00050020,"Benjamin J Phelps",28.89,100,27.05,100,14.3
2004,00050000,00050025,"Robinson Park",30.19,100,28.25,100,13.3
2004,00050000,00050030,"James Clark School",29.59,100,27.05,100,12.9
2004,00050000,00050303,"Agawam Middle School",49.66,97.99,44.25,97.74,13.9
2004,00050000,00050405,"Agawam Junior High",58.15,100,45,100,12.7
2004,00050000,00050505,"Agawam High",92.64,94.79,72.09,93.3,12.7
2004,00070000,00070000,Amesbury,194.98,99.49,150.4,100,14
2004,00070000,00070005,"Amesbury Elementary",34.5,100,26.5,100,14.5
2004,00070000,00070010,"Charles C Cashman El",41.25,100,33,100,13.3
2004,00070000,00070013,"Amesbury Middle",58.4,98.29,41.4,100,14.9
2004,00070000,00070505,"Amesbury High",60.83,100,49.5,100,13.3
2004,00080000,00080000,Amherst,148.87,90.98,129.44,93.07,9.8
2004,00080000,00080009,"Crocker Farm Elementary",37.44,95.46,29.42,96.6,9.6
2004,00080000,00080020,"Fort River Elementary",44.1,88.89,38.4,92.45,10.9
2004,00080000,00080030,"Marks Meadow Laboratory",22.5,93.33,20.95,92.84,8.8
2004,00080000,00080050,"Wildwood Elementary",44.83,88.11,40.67,91.22,9.5
2004,00090000,00090000,Andover,425.86,98.62,355.19,99.58,13.9
2004,00090000,00090003,"Bancroft Elementary",31.77,100,28.92,100,13.1
2004,00090000,00090004,"High Plain Elementary",41.9,99.05,29.7,100,13.5
2004,00090000,00090005,"Shawsheen School",18.98,100,15.83,100,14
2004,00090000,00090010,"Henry C Sanborn Elem",25.5,100,22.1,100,14.6
2004,00090000,00090020,"South Elementary",35.77,100,28.44,100,15.5
2004,00090000,00090025,"West Elementary",43.84,100,39.3,100,13.6
2004,00090000,00090305,"Doherty Middle",38.2,90.92,35.8,100,14.5
2004,00090000,00090310,"Andover West Middle",37.8,100,26.4,100,13.1
2004,00090000,00090350,"Wood Hill Middle School",33.5,94.03,21.9,93.15,12.1
2004,00090000,00090505,"Andover High",118.6,100,106.8,100,14.4
2004,00100000,00100000,Arlington,304.12,97.09,264.08,93.21,14.6
2004,00100000,00100005,"John A Bishop",24.26,100,22.94,95.03,16.4
2004,00100000,00100010,Brackett,20.16,100,19.14,88.82,17.7
2004,00100000,00100025,"Cyrus E Dallin",25.7,100,23.84,91.02,14.6
2004,00100000,00100030,Hardy,19.27,99.48,18.14,99.45,15.3
2004,00100000,00100038,"Menotomy Preschool",3,100,2,100,29
2004,00100000,00100045,Peirce,17.71,91.53,16.54,87.06,12.9
2004,00100000,00100050,Thompson,22.66,99.38,19.94,93.28,13.9
2004,00100000,00100055,"M Norcross Stratton",21.06,100,19.84,90.73,14.1
2004,00100000,00100410,"Ottoson Middle",72.1,94.31,55.9,92.67,13.5
2004,00100000,00100505,"Arlington High",78.2,96.16,65.8,95.44,14
2004,00140000,00140000,Ashland,176.23,98.66,146.1,96.58,14.7
2004,00140000,00140005,"William Pittaway Elem",16.77,91.83,10,100,21.5
2004,00140000,00140010,"Henry E Warren Elem",40.3,97.52,34.6,97.11,15.3
2004,00140000,00140015,"David Mindess",39.43,100,33.3,100,15.3
2004,00140000,00140405,"Ashland Middle",26.5,100,23.2,100,14.5
2004,00140000,00140505,"Ashland High",53.23,100,45,91.11,11.8
2004,00160000,00160000,Attleboro,465.6,96.37,402.5,91.68,14
2004,00160000,00160001,"A. Irvin Studley Elementary School",34.6,89.88,31,87.1,12.8
2004,00160000,00160008,"Early Learning Center",8.8,100,5.8,100,17
2004,00160000,00160035,"Thomas E. Willett School",30.46,100,27.76,100,14.2
2004,00160000,00160040,"Hyman Fine Elementary School",33,100,30.2,100,14.9
2004,00160000,00160045,"Hill-Roberts Elementary School",31.46,100,28.66,100,15.2
2004,00160000,00160050,"Peter Thacher Elementary School",36.1,97.23,33,96.97,15.2
2004,00160000,00160305,"Robert J. Coelho Middle School",40.3,96.53,30,100,14.6
2004,00160000,00160315,"Cyril K. Brennan Middle School",49.56,93.95,44.16,77.36,14.3
2004,00160000,00160320,"Wamsutta Middle School",75.24,98.67,68.84,81.12,9.9
2004,00160000,00160505,"Attleboro High",126.08,94.45,103.08,94.66,15.4
2004,00170000,00170000,Auburn,163.53,98.17,137.1,96.57,14.5
2004,00170000,00170005,"Julia Bancroft",18.78,100,17.25,100,15.5
2004,00170000,00170010,"Bryn Mawr",17.05,100,15.25,100,15.4
2004,00170000,00170015,Pakachoag,18.6,100,17.1,91.23,16.1
2004,00170000,00170025,"Mary D Stone",19.9,100,14.7,100,15.6
2004,00170000,00170305,"Auburn Middle",41.4,95.17,33,93.94,13.9
2004,00170000,00170505,"Auburn Senior High",47.8,97.91,39.8,96.98,13.3
2004,00180000,00180000,Avon,57.6,93.06,49,95.92,12.2
2004,00180000,00180010,"Ralph D Butler",20.2,100,18,100,12.4
2004,00180000,00180510,"Avon Middle High School",37.4,89.3,31,93.55,12.1
2004,00190000,00190000,Ayer,107.42,97.21,97.42,96.92,12.9
2004,00190000,00190025,Page-Hilltop,51.8,98.07,47,97.87,12.6
2004,00190000,00190305,"Ayer Middle",28.19,100,25.99,100,12.9
2004,00190000,00190510,"Ayer High",27.43,92.71,24.43,91.81,13.6
2004,00200000,00200000,Barnstable,436.95,97.61,380.05,97.38,12.8
2004,00200000,00200005,"West Barnstable Elem",21,100,18.6,100,13.7
2004,00200000,00200010,"Centerville Elementary",36.7,100,26.9,100,10.3
2004,00200000,00200015,"Cotuit Elem",12.9,93.8,11.5,97.39,11.9
2004,00200000,00200020,"Hyannis Elementary",33.5,100,31.1,100,11
