FY_CODE	ORG_CODE	SPA_GENR_EDU_CNT	SPA_SPED_CNT	SPA_CAREER_VOC_CNT	SPA_ENG_LNR_CNT	SPA_TOTAL	SPA_GENR_EDU_PCT	SPA_SPED_PCT	SPA_CAREER_VOC_PCT	SPA_ENG_LNR_PCT	SPA_TOTAL_PCT
2008	00000000	56742.2	10235.9	2074.9	1663.6	70716.6	80.2	14.5	2.9	2.4	100
2008	00010000	145.9	2	0	0	147.9	98.6	1.4	0	0	100
2008	00010003	34.5	0	0	0	34.5	100	0	0	0	100
2008	00010005	10	0	0	0	10	100	0	0	0	100
2008	00010010	10	0	0	0	10	100	0	0	0	100
2008	00010015	21	0	0	0	21	100	0	0	0	100
2008	00010405	28.2	0	0	0	28.2	100	0	0	0	100
2008	00010505	42.3	2	0	0	44.3	95.5	4.5	0	0	100
2008	00020000	116.5	19.5	0	.5	136.5	85.3	14.3	0	.4	100
2008	00020010	25.2	5.5	0	.1	30.8	81.7	17.9	0	.4	100
2008	00020015	22.9	4	0	.1	27	84.7	14.8	0	.5	100
2008	00020020	22.8	3	0	.1	25.9	87.9	11.6	0	.5	100
2008	00020025	22.8	3	0	0	25.8	88.4	11.6	0	0	100
2008	00020030	22.9	4	0	.1	27	84.7	14.8	0	.5	100
2008	00030000	64.7	11	0	0	75.7	85.5	14.5	0	0	100
2008	00030025	36.8	6	0	0	42.8	86	14	0	0	100
2008	00030305	27.9	5	0	0	32.9	84.8	15.2	0	0	100
2008	00050000	294.3	13	6.3	3	316.6	93	4.1	2	.9	100
2008	00050003	7.5	0	0	0	7.5	100	0	0	0	100
2008	00050010	24.3	1	0	1	26.3	92.4	3.8	0	3.8	100
2008	00050020	23	3	0	0	26	88.5	11.5	0	0	100
2008	00050025	24.5	3	0	1	28.5	86	10.5	0	3.5	100
2008	00050030	24.8	2	0	0	26.8	92.5	7.5	0	0	100
2008	00050303	43.6	0	0	0	43.6	100	0	0	0	100
2008	00050405	60.5	1	0	.5	62	97.6	1.6	0	.8	100
2008	00050505	86.2	3	6.3	.5	96	89.8	3.1	6.5	.5	100
2008	00070000	135	28	1.9	1.9	166.8	80.9	16.8	1.2	1.1	100
2008	00070005	22.6	6	0	1.2	29.8	75.8	20.1	0	4	100
2008	00070010	25.6	7	0	.5	33.1	77.3	21.1	0	1.5	100
2008	00070013	45.9	8.8	1.9	.2	56.9	80.7	15.5	3.4	.4	100
2008	00070505	40.9	6.2	0	0	47	86.9	13.1	0	0	100
2008	00080000	108.3	19.6	0	12.7	140.6	77	13.9	0	9	100
2008	00080009	28.5	2.1	0	5	35.6	80	6	0	14	100
2008	00080020	31.8	8.2	0	2.6	42.7	74.6	19.3	0	6.1	100
2008	00080030	15.3	2	0	2	19.3	79.2	10.4	0	10.4	100
2008	00080050	32.7	7.3	0	3.1	43	76	16.8	0	7.2	100
2008	00090000	372.4	67.3	0	4.1	443.8	83.9	15.2	0	.9	100
2008	00090003	27.8	5	0	.6	33.4	83.3	14.9	0	1.8	100
2008	00090004	29.2	7.8	0	.8	37.8	77.2	20.7	0	2.1	100
