FY	org_code	district_short_name	total	avg	fte
1997	00010000	ABINGTON                     	5694240	39932	143
1997	00020000	ACTON                        	5702250	46817	122
1997	00030000	ACUSHNET                     	2470651	38010	65
1997	00050000	AGAWAM                       	10998365	41270	267
1997	00070000	AMESBURY                     	7293438	35132	208
1997	00080000	AMHERST                      	5846969	42277	138
1997	00090000	ANDOVER                      	16876982	48386	349
1997	00100000	ARLINGTON                    	12544878	46104	272
1997	00140000	ASHLAND                      	5544299	40089	138
1997	00160000	ATTLEBORO                    	16068704	41791	385
1997	00170000	AUBURN                       	7217963	45425	159
1997	00180000	AVON                         	2301423	40376	57
1997	00190000	AYER                         	3480504	30504	114
1997	00200000	BARNSTABLE                   	19652351	44432	442
1997	00230000	BEDFORD                      	6954786	43576	160
1997	00240000	BELCHERTOWN                  	4806513	36166	133
1997	00250000	BELLINGHAM                   	6886486	42326	163
1997	00260000	BELMONT                      	10789411	49561	218
1997	00270000	BERKLEY                      	2047342	40302	51
1997	00280000	BERLIN                       	652489	32624	20
1997	00300000	BEVERLY                      	12633928	42043	301
1997	00310000	BILLERICA                    	18149626	35106	517
1997	00350000	BOSTON                       	216150797	50857	4250
1997	00360000	BOURNE                       	6106351	41625	147
1997	00370000	BOXBOROUGH                   	1237485	42380	29
1997	00380000	BOXFORD                      	2418524	42356	57
1997	00390000	BOYLSTON                     	956582	46212	21
1997	00400000	BRAINTREE                    	15694055	46584	337
1997	00410000	BREWSTER                     	2077960	37919	55
1997	00430000	BRIMFIELD                    	869655	37647	23
1997	00440000	BROCKTON                     	39043451	46260	844
1997	00450000	BROOKFIELD                   	977277	36062	27
1997	00460000	BROOKLINE                    	21503715	47116	456
1997	00480000	BURLINGTON                   	12843350	48667	264
1997	00490000	CAMBRIDGE                    	34788609	49726	700
1997	00500000	CANTON                       	8295513	41939	198
1997	00510000	CARLISLE                     	2348044	47340	50
1997	00520000	CARVER                       	5725701	41641	138
1997	00550000	CHATHAM                      	2801523	45553	62
1997	00560000	CHELMSFORD                   	15742277	46824	336
1997	00570000	CHELSEA                      	11273357	31578	357
1997	00610000	CHICOPEE                     	20361141	34278	594
1997	00630000	CLARKSBURG                   	574745	37565	15
1997	00640000	CLINTON                      	5460434	38238	143
1997	00650000	COHASSET                     	3856414	43724	88
1997	00670000	CONCORD                      	7065424	55459	127
1997	00680000	CONWAY                       	538614	38749	14
1997	00710000	DANVERS                      	10769103	44834	240
1997	00720000	DARTMOUTH                    	10552998	35460	298
1997	00730000	DEDHAM                       	9288847	41974	221
1997	00740000	DEERFIELD                    	1229784	41268	30
1997	00770000	DOUGLAS                      	2943726	38733	76
1997	00780000	DOVER                        	1393259	44090	32
1997	00790000	DRACUT                       	9605729	44266	217
1997	00820000	DUXBURY                      	8710544	48419	180
1997	00830000	EAST BRIDGEWATER             	5724969	44867	128
1997	00850000	EASTHAM                      	991724	36327	27
1997	00860000	EASTHAMPTON                  	4976261	39183	127
1997	00870000	EAST LONGMEADOW              	6514281	38410	170
1997	00880000	EASTON                       	8988486	42399	212
1997	00890000	EDGARTOWN                    	1403822	43733	32
1997	00910000	ERVING                       	581530	38008	15
1997	00920000	ESSEX                        	1016660	42897	24
1997	00930000	EVERETT                      	13543217	39370	344
1997	00940000	FAIRHAVEN                    	5665059	40235	141
1997	00950000	FALL RIVER                   	33616220	39089	860
1997	00960000	FALMOUTH                     	13586635	45093	301
1997	00970000	FITCHBURG                    	13793242	38421	359
1997	00980000	FLORIDA                      	354157	27669	13
1997	00990000	FOXBOROUGH                   	7760953	44323	175
1997	01000000	FRAMINGHAM                   	26813328	37138	722
1997	01010000	FRANKLIN                     	12304879	40199	306
1997	01020000	FREETOWN                     	1025300	37557	27
1997	01030000	GARDNER                      	6571077	36916	178
1997	01050000	GEORGETOWN                   	3414671	37360	91
1997	01070000	GLOUCESTER                   	11092058	37715	294
1997	01100000	GRAFTON                      	5454855	40708	134
1997	01110000	GRANBY                       	2397988	37236	64
1997	01120000	GRANVILLE                    	559973	30938	18
1997	01140000	GREENFIELD                   	5896270	34241	172
1997	01170000	HADLEY                       	1587468	37797	42
1997	01180000	HALIFAX                      	1659950	43341	38
1997	01210000	HANCOCK                      	203895	22655	9
1997	01220000	HANOVER                      	6925165	48091	144
1997	01250000	HARVARD                      	2887472	43883	66
1997	01260000	HARWICH                      	4596300	46710	98
1997	01270000	HATFIELD                     	1250912	28174	44
1997	01280000	HAVERHILL                    	21532764	43066	500
1997	01310000	HINGHAM                      	10887944	48564	224
1997	01330000	HOLBROOK                     	3688848	44551	83
1997	01350000	HOLLAND                      	724401	37149	20
1997	01360000	HOLLISTON                    	7967919	38887	205
1997	01370000	HOLYOKE                      	23702932	38718	612
1997	01380000	HOPEDALE                     	3003978	41955	72
1997	01390000	HOPKINTON                    	6335998	43131	147
1997	01410000	HUDSON                       	7925557	43523	182
1997	01420000	HULL                         	4098598	40986	100
1997	01440000	IPSWICH                      	5055952	42416	119
1997	01450000	KINGSTON                     	2651249	41491	64
1997	01460000	LAKEVILLE                    	1305479	40669	32
1997	01480000	LANESBOROUGH                 	836321	39449	21
1997	01490000	LAWRENCE                     	31629895	40018	790
1997	01500000	LEE                          	2870866	41427	69
1997	01510000	LEICESTER                    	4194368	39570	106
1997	01520000	LENOX                        	2983859	46990	64
1997	01530000	LEOMINSTER                   	14359017	40505	355
1997	01540000	LEVERETT                     	532614	30610	17
1997	01550000	LEXINGTON                    	21540991	54645	394
1997	01570000	LINCOLN                      	2468376	43003	57
1997	01580000	LITTLETON                    	3608798	39657	91
1997	01590000	LONGMEADOW                   	9455907	41041	230
1997	01600000	LOWELL                       	46871043	44605	1051
1997	01610000	LUDLOW                       	7300044	39038	187
1997	01620000	LUNENBURG                    	4307114	42857	101
1997	01630000	LYNN                         	40014204	43636	917
1997	01640000	LYNNFIELD                    	5800128	47738	122
1997	01650000	MALDEN                       	17432851	44404	393
1997	01660000	MANCHESTER                   	3218551	49289	65
