,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,Abington,00010000,21073198,17359609,0.21,19300588,0.09
2012,Acton,00020000,25316724,19614093,0.29,19731359,0.28
2012,Acton-Boxborough,06000000,34098962,26873147,0.27,27328745,0.25
2012,Acushnet,00030000,12178235,10560495,0.15,11631346,0.05
2012,Adams-Cheshire,06030000,15356283,14489416,0.06,14489416,0.06
2012,Agawam,00050000,46529260,38691316,0.2,38691316,0.2
2012,Amesbury,00070000,27562341,21437479,0.29,22294178,0.24
2012,Amherst,00080000,21354719,11778216,0.81,14144337,0.51
2012,Amherst-Pelham,06050000,25840877,15588078,0.66,20301113,0.27
2012,Andover,00090000,74455264,53641153,0.39,54090489,0.38
2012,Arlington,00100000,54695253,41361536,0.32,41361536,0.32
2012,Ashburnham,00110000,0,0,0,602,-1
2012,Ashburnham-Westminster,06100000,21706291,20584849,0.05,20612303,0.05
2012,Ashby,00120000,0,0,0,1805,-1
2012,Ashfield,00130000,315276,244011,0.29,257203,0.23
2012,Ashland,00140000,26199349,22018867,0.19,22018867,0.19
2012,"Assabet Valley Regional Vocational Technical",08010000,10520522,10706516,-0.02,10706516,-0.02
2012,Athol-Royalston,06150000,20522404,17935653,0.14,19144203,0.07
2012,Attleboro,00160000,59664057,59072873,0.01,59376951,0.01
2012,Auburn,00170000,25294287,20662648,0.22,20783322,0.22
2012,Avon,00180000,7558781,5311470,0.42,5478948,0.38
2012,Ayer,00190000,915086,769484,0.19,769484,0.19
2012,"Ayer Shirley",06160000,19895673,16879384,0.18,17743809,0.12
2012,Barnstable,00200000,60262102,49571418,0.22,51917318,0.16
2012,Barre,00210000,11080,12250,-0.1,12250,-0.1
2012,Becket,00220000,199336,170510,0.17,249278,-0.2
2012,Bedford,00230000,36165118,22574960,0.6,23201557,0.56
2012,Belchertown,00240000,25068654,23483393,0.07,23483393,0.07
2012,Bellingham,00250000,25379195,22005906,0.15,22359942,0.14
2012,Belmont,00260000,41107994,33178103,0.24,34271217,0.2
2012,Berkley,00270000,7946978,6692982,0.19,6987456,0.14
2012,"Berkshire Hills",06180000,16363377,9915801,0.65,12170714,0.34
2012,Berlin,00280000,3227713,1493145,1.16,1821780,0.77
2012,Berlin-Boylston,06200000,6074529,3766444,0.61,4292354,0.42
2012,Bernardston,00290000,14900,12250,0.22,19305,-0.23
2012,Beverly,00300000,47977068,39163824,0.23,41121082,0.17
2012,Billerica,00310000,66277945,50875416,0.3,51284802,0.29
2012,Blackstone,00320000,1500,85750,-0.98,124840,-0.99
2012,"Blackstone Valley Regional Vocational Technical",08050000,16795617,16495490,0.02,16647336,0.01
2012,Blackstone-Millville,06220000,18466617,17725268,0.04,18079301,0.02
2012,Blandford,00330000,0,122501,-1,129076,-1
2012,"Blue Hills Regional Vocational Technical",08060000,14008979,12473226,0.12,12908640,0.09
2012,Boston,00350000,815425788,706116382,0.16,757231860,0.08
2012,Bourne,00360000,24335358,19955194,0.22,21862334,0.11
2012,Boxborough,00370000,6227811,3688231,0.69,4331929,0.44
2012,Boxford,00380000,9630524,6278579,0.53,7081307,0.36
2012,Boylston,00390000,4852429,2809496,0.73,3023290,0.61
2012,Braintree,00400000,55443277,47773436,0.16,47773436,0.16
2012,Brewster,00410000,7862167,4135854,0.9,4847579,0.62
2012,Bridgewater,00420000,942853,49000,18.24,67667,12.93
2012,Bridgewater-Raynham,06250000,55334251,48390610,0.14,49123571,0.13
2012,Brimfield,00430000,3606938,2587337,0.39,2587337,0.39
2012,"Bristol County Agricultural",09100000,5791486,5518473,0.05,5723846,0.01
2012,"Bristol-Plymouth Regional Vocational Technical",08100000,17928722,17835184,0.01,17835184,0.01
2012,Brockton,00440000,177743313,173663222,0.02,173663222,0.02
2012,Brookfield,00450000,3131351,2344862,0.34,2345503,0.34
2012,Brookline,00460000,94728988,57861962,0.64,59481712,0.59
2012,Burlington,00480000,50363349,33128200,0.52,35606191,0.41
2012,Cambridge,00490000,157142414,65583156,1.4,78713264,1
2012,Canton,00500000,37468806,27781523,0.35,27781523,0.35
2012,"Cape Cod Regional Vocational Technical",08150000,11918824,9969203,0.2,11161694,0.07
2012,Carlisle,00510000,9649789,5279779,0.83,5837490,0.65
2012,Carver,00520000,20206796,16233063,0.25,17594114,0.15
2012,"Central Berkshire",06350000,21904188,17880776,0.23,18421276,0.19
2012,Charlemont,00530000,0,61250,-1,99745,-1
2012,Charlton,00540000,43872,36750,0.19,36750,0.19
2012,Chatham,00550000,9849196,4715148,1.09,5616589,0.75
2012,Chelmsford,00560000,53901189,45821657,0.18,48069618,0.12
