SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2012,ABINGTON,00010000,2031.7,90.8,2122.5
2012,ACTON,00020000,2525.8,32.2,2558
2012,"ACTON BOXBOROUGH",06000000,2905.2,94.9,3000.1
2012,ACUSHNET,00030000,994.7,269.1,1263.8
2012,"ADAMS CHESHIRE",06030000,1459.3,135.4,1594.7
2012,AGAWAM,00050000,3946,130.2,4076.2
2012,AMESBURY,00070000,2325.8,168,2493.8
2012,AMHERST,00080000,1214.7,83.7,1298.4
2012,"AMHERST PELHAM",06050000,1535.6,142.6,1678.2
2012,ANDOVER,00090000,6272.9,100.2,6373.1
2012,ARLINGTON,00100000,4878,126.6,5004.6
2012,"ASHBURNHAM WESTMINSTER",06100000,2258.9,92.4,2351.3
2012,ASHLAND,00140000,2576.1,116,2692.1
2012,"ASSABET VALLEY",08010000,1053.8,1,1054.8
2012,"ATHOL ROYALSTON",06150000,1517.1,366.4,1883.5
2012,ATTLEBORO,00160000,5820.9,413.5,6234.4
2012,AUBURN,00170000,2331.5,95.3,2426.8
2012,AVON,00180000,748.5,6.9,755.4
2012,"AYER SHIRLEY",06160000,1646,300.7,1946.7
2012,BARNSTABLE,00200000,4147.4,1429.9,5577.3
2012,BEDFORD,00230000,2460.3,99.1,2559.4
2012,BELCHERTOWN,00240000,2496.3,128.7,2625
2012,BELLINGHAM,00250000,2479.3,124.4,2603.7
2012,BELMONT,00260000,3959.7,68.3,4028
2012,BERKLEY,00270000,882.7,11.2,893.9
2012,"BERKSHIRE HILLS",06180000,1340.7,126.2,1466.9
2012,BERLIN,00280000,216.6,10.1,226.7
2012,"BERLIN BOYLSTON",06200000,418.8,87,505.8
2012,BEVERLY,00300000,4273.3,256.8,4530.1
2012,BILLERICA,00310000,5689,301.6,5990.6
2012,"BLACKSTONE MILLVILLE",06220000,1920.8,74.7,1995.5
2012,"BLACKSTONE VALLEY",08050000,1158,0,1158
2012,"BLUE HILLS",08060000,819.6,1,820.6
2012,BOSTON,00350000,56026.2,8742.1,64768.3
2012,BOURNE,00360000,2159.3,145.5,2304.8
2012,BOXBOROUGH,00370000,472.2,9.8,482
2012,BOXFORD,00380000,826.3,13.5,839.8
2012,BOYLSTON,00390000,383.7,38.1,421.8
2012,BRAINTREE,00400000,5540.3,120.6,5660.9
2012,BREWSTER,00410000,488.8,14.6,503.4
2012,"BRIDGEWATER RAYNHAM",06250000,5526,217.1,5743.1
2012,BRIMFIELD,00430000,325.8,4.9,330.7
2012,"BRISTOL COUNTY",09100000,443.5,0,443.5
2012,"BRISTOL PLYMOUTH",08100000,1248.3,3,1251.3
2012,BROCKTON,00440000,16064.5,603,16667.5
2012,BROOKFIELD,00450000,324.5,8.9,333.4
2012,BROOKLINE,00460000,6873.7,80.3,6954
2012,BURLINGTON,00480000,3619.7,96.3,3716
2012,CAMBRIDGE,00490000,6094.4,566.5,6660.9
2012,CANTON,00500000,3218.5,54.5,3273
2012,"CAPE COD",08150000,658,0,658
2012,CARLISLE,00510000,643.1,11,654.1
2012,CARVER,00520000,1828.6,57.5,1886.1
2012,"CENTRAL BERKSHIRE",06350000,1835.3,165.3,2000.6
2012,CHATHAM,00550000,636.6,87.8,724.4
2012,CHELMSFORD,00560000,5192.6,253.7,5446.3
2012,CHELSEA,00570000,5680.6,402.9,6083.5
2012,"CHESTERFIELD GOSHEN",06320000,174.6,18.4,193
2012,CHICOPEE,00610000,7636.2,257.8,7894
2012,CLARKSBURG,00630000,180.4,66.1,246.5
2012,CLINTON,00640000,1924.6,289.2,2213.8
2012,COHASSET,00650000,1534.3,23.8,1558.1
2012,CONCORD,00670000,1986,48.1,2034.1
2012,"CONCORD CARLISLE",06400000,1202.2,40.4,1242.6
2012,CONWAY,00680000,181.6,18.4,200
2012,DANVERS,00710000,3602.4,121.8,3724.2
2012,DARTMOUTH,00720000,3834.2,47.1,3881.3
2012,DEDHAM,00730000,2817.9,105.8,2923.7
2012,DEERFIELD,00740000,460.5,17.4,477.9
2012,"DENNIS YARMOUTH",06450000,3004.3,524.5,3528.8
2012,"DIGHTON REHOBOTH",06500000,3147,67.1,3214.1
2012,DOUGLAS,00770000,1659.2,55.2,1714.4
2012,DOVER,00780000,521.5,11,532.5
2012,"DOVER SHERBORN",06550000,1181.3,31.8,1213.1
2012,DRACUT,00790000,3957.7,131,4088.7
2012,"DUDLEY CHARLTON",06580000,4142.1,88.2,4230.3
2012,DUXBURY,00820000,3179.1,34.7,3213.8
2012,"EAST BRIDGEWATER",00830000,2278.3,78.6,2356.9
2012,"EAST LONGMEADOW",00870000,2789.5,92.7,2882.2
2012,EASTHAM,00850000,206.6,20.1,226.7
2012,EASTHAMPTON,00860000,1597.2,316,1913.2
2012,EASTON,00880000,3873,59.2,3932.2
2012,EDGARTOWN,00890000,340.8,81.3,422.1
2012,ERVING,00910000,150,120.6,270.6
2012,"ESSEX COUNTY",09130000,475.5,0,475.5
2012,EVERETT,00930000,6395.1,596,6991.1
2012,FAIRHAVEN,00940000,1966.3,48.9,2015.2
2012,"FALL RIVER",00950000,9938.7,875.1,10813.8
2012,FALMOUTH,00960000,3528.8,171.4,3700.2
2012,"FARMINGTON RIVER",06620000,151.1,115.4,266.5
2012,FITCHBURG,00970000,4880.7,727.4,5608.1
2012,FLORIDA,00980000,102.7,16.9,119.6
2012,FOXBOROUGH,00990000,2750.7,143.3,2894
2012,FRAMINGHAM,01000000,8123.2,518.7,8641.9
2012,FRANKLIN,01010000,5922.8,527.5,6450.3
2012,"FRANKLIN COUNTY",08180000,489.7,2,491.7
2012,"FREETOWN LAKEVILLE",06650000,3088.6,43.7,3132.3
2012,FRONTIER,06700000,649.2,80.1,729.3
2012,GARDNER,01030000,2487.1,180,2667.1
2012,GATEWAY,06720000,1071,110.1,1181.1
2012,GEORGETOWN,01050000,1604.5,55,1659.5
2012,"GILL MONTAGUE",06740000,1030.8,229.3,1260.1
2012,GLOUCESTER,01070000,3072.1,438.7,3510.8
2012,GRAFTON,01100000,2882.4,106.6,2989
2012,GRANBY,01110000,1093.5,56.7,1150.2
2012,GRANVILLE,01120000,146.6,80.5,227.1
2012,"GREATER FALL RIVER",08210000,1389.9,1,1390.9
2012,"GREATER LAWRENCE",08230000,1243.8,163.8,1407.6
2012,"GREATER LOWELL",08280000,2105.9,48.7,2154.6
2012,"GREATER NEW BEDFORD",08250000,2116,0.5,2116.5
2012,GREENFIELD,01140000,2085.2,493.1,2578.3
2012,"GROTON DUNSTABLE",06730000,2656.5,119.4,2775.9
2012,HADLEY,01170000,705.8,91.2,797
2012,HALIFAX,01180000,596.3,20,616.3
2012,"HAMILTON WENHAM",06750000,1942,34.2,1976.2
2012,"HAMPDEN WILBRAHAM",06800000,3446.3,73.4,3519.7
2012,HAMPSHIRE,06830000,792.7,101.7,894.4
2012,HANCOCK,01210000,48.5,66,114.5
2012,HANOVER,01220000,2747.8,49.4,2797.2
2012,HARVARD,01250000,1257,54,1311
2012,HARWICH,01260000,1285,256.8,1541.8
2012,HATFIELD,01270000,485.5,57.2,542.7
2012,HAVERHILL,01280000,7091,1204.1,8295.1
2012,HAWLEMONT,06850000,104.3,18.3,122.6
2012,HINGHAM,01310000,4134.9,78.2,4213.1
2012,HOLBROOK,01330000,1184.3,69,1253.3
2012,HOLLAND,01350000,222.2,4.3,226.5
2012,HOLLISTON,01360000,2844.1,68.2,2912.3
2012,HOLYOKE,01370000,5720.5,977.1,6697.6
2012,HOPEDALE,01380000,1276.9,69.2,1346.1
2012,HOPKINTON,01390000,3402.8,79.7,3482.5
2012,HUDSON,01410000,2936,143.8,3079.8
2012,HULL,01420000,1095.2,62.6,1157.8
2012,IPSWICH,01440000,2100.1,43.7,2143.8
2012,"KING PHILIP",06900000,2107.3,74.8,2182.1
2012,KINGSTON,01450000,1171.5,35.4,1206.9
2012,LANESBOROUGH,01480000,243.1,46.5,289.6
2012,LAWRENCE,01490000,12895,1175.8,14070.8
2012,LEE,01500000,792.8,84.8,877.6
2012,LEICESTER,01510000,1757.4,121.9,1879.3
2012,LENOX,01520000,794.2,48.6,842.8
2012,LEOMINSTER,01530000,6114.4,509.6,6624
2012,LEVERETT,01540000,149.7,9,158.7
2012,LEXINGTON,01550000,6437.7,96.4,6534.1
2012,LINCOLN,01570000,1160.2,9.9,1170.1
2012,"LINCOLN SUDBURY",06950000,1564.5,53.7,1618.2
2012,LITTLETON,01580000,1619.2,147.1,1766.3
2012,LONGMEADOW,01590000,2927.3,72.1,2999.4
2012,LOWELL,01600000,13518.1,1055.8,14573.9
2012,LUDLOW,01610000,2865.7,104.3,2970
2012,LUNENBURG,01620000,1639.5,124.4,1763.9
2012,LYNN,01630000,13661.9,877.7,14539.6
2012,LYNNFIELD,01640000,2263.6,35.8,2299.4
2012,MALDEN,01650000,6556.6,864.9,7421.5
2012,"MANCHESTER ESSEX",06980000,1549.1,30.6,1579.7
2012,MANSFIELD,01670000,4617.3,192.9,4810.2
2012,MARBLEHEAD,01680000,3177.2,193.7,3370.9
2012,MARION,01690000,469.2,5.4,474.6
2012,MARLBOROUGH,01700000,4587.9,472.5,5060.4
2012,MARSHFIELD,01710000,4560.4,98.5,4658.9
2012,"MARTHAS VINEYARD",07000000,666.9,48.1,715
2012,MASCONOMET,07050000,2061.2,34.7,2095.9
2012,MASHPEE,01720000,1744.2,115.6,1859.8
2012,MATTAPOISETT,01730000,513.9,12.2,526.1
2012,MAYNARD,01740000,1308.3,96,1404.3
2012,MEDFIELD,01750000,2832.1,27.9,2860
2012,MEDFORD,01760000,4799.1,448.9,5248
2012,MEDWAY,01770000,2568.3,99.2,2667.5
2012,MELROSE,01780000,3670.6,312.4,3983
2012,"MENDON UPTON",07100000,2560.2,113.5,2673.7
2012,METHUEN,01810000,7126.6,214.1,7340.7
2012,MIDDLEBOROUGH,01820000,3321.7,108.7,3430.4
2012,MIDDLETON,01840000,806.1,9.9,816
2012,MILFORD,01850000,4139.5,215,4354.5
2012,MILLBURY,01860000,1769.1,45.8,1814.9
2012,MILLIS,01870000,1449.6,69.5,1519.1
2012,MILTON,01890000,3866,64.8,3930.8
2012,MINUTEMAN,08300000,683.5,2.4,685.9
2012,"MOHAWK TRAIL",07170000,1050.8,130.7,1181.5
2012,MONSON,01910000,1305.8,58.5,1364.3
2012,MONTACHUSETT,08320000,1401.5,31,1432.5
2012,"MOUNT GREYLOCK",07150000,581,34.6,615.6
2012,NAHANT,01960000,211.3,157.1,368.4
2012,NANTUCKET,01970000,1330.5,11,1341.5
2012,NARRAGANSETT,07200000,1445,138,1583
2012,NASHOBA,07250000,3467.3,122.9,3590.2
2012,"NASHOBA VALLEY",08520000,691.7,3.7,695.4
2012,NATICK,01980000,4928.1,149.8,5077.9
2012,NAUSET,06600000,1524.9,133.2,1658.1
2012,NEEDHAM,01990000,5437.7,78.9,5516.6
2012,"NEW BEDFORD",02010000,12541.4,720.6,13262
2012,"NEW SALEM WENDELL",07280000,131.9,11.9,143.8
2012,NEWBURYPORT,02040000,2325.9,260.1,2586
2012,NEWTON,02070000,12024.8,174.3,12199.1
2012,NORFOLK,02080000,968,11.8,979.8
2012,"NORFOLK COUNTY",09150000,478.9,0,478.9
2012,"NORTH ADAMS",02090000,1547.2,203.3,1750.5
2012,"NORTH ANDOVER",02110000,4719.8,84.2,4804
2012,"NORTH ATTLEBOROUGH",02120000,4643.3,124.3,4767.6
2012,"NORTH BROOKFIELD",02150000,571.6,124.3,695.9
2012,"NORTH MIDDLESEX",07350000,3780.4,209.4,3989.8
2012,"NORTH READING",02170000,2607.4,44.1,2651.5
2012,"NORTH SHORE",08540000,459.7,5.6,465.3
2012,NORTHAMPTON,02100000,2704.7,312.4,3017.1
2012,"NORTHAMPTON SMITH",04060000,429.1,0,429.1
2012,"NORTHBORO SOUTHBORO",07300000,1415.1,26.9,1442
2012,NORTHBOROUGH,02130000,1923.3,44.5,1967.8
2012,NORTHBRIDGE,02140000,2545.5,145.4,2690.9
2012,"NORTHEAST METROPOLITAN",08530000,1224.8,1.5,1226.3
2012,"NORTHERN BERKSHIRE",08510000,468.3,0,468.3
2012,NORTON,02180000,2663.6,263,2926.6
2012,NORWELL,02190000,2317,21.8,2338.8
2012,NORWOOD,02200000,3438.7,72.8,3511.5
2012,"OAK BLUFFS",02210000,384.9,46,430.9
2012,"OLD COLONY",08550000,562.5,0,562.5
2012,"OLD ROCHESTER",07400000,1152.4,6.1,1158.5
2012,ORANGE,02230000,715.8,39.6,755.4
2012,ORLEANS,02240000,204.8,2.5,207.3
2012,OXFORD,02260000,1951.4,107.5,2058.9
2012,PALMER,02270000,1570.4,99.9,1670.3
2012,PATHFINDER,08600000,653.4,3.8,657.2
2012,PEABODY,02290000,6053.5,226.7,6280.2
2012,PELHAM,02300000,127.7,1,128.7
2012,PEMBROKE,02310000,3339.7,77.1,3416.8
2012,PENTUCKET,07450000,3025,112,3137
2012,PETERSHAM,02340000,114,8.4,122.4
2012,PIONEER,07500000,1056.1,44.1,1100.2
2012,PITTSFIELD,02360000,6091,528,6619
2012,PLAINVILLE,02380000,788.4,16.3,804.7
2012,PLYMOUTH,02390000,7995.7,543.5,8539.2
2012,PLYMPTON,02400000,230.6,10.1,240.7
2012,PROVINCETOWN,02420000,105.7,63,168.7
2012,QUABBIN,07530000,2703.2,127.6,2830.8
2012,QUABOAG,07780000,1369.8,123.8,1493.6
2012,QUINCY,02430000,9137.8,167.6,9305.4
2012,"RALPH C MAHAR",07550000,829.5,108.5,938
2012,RANDOLPH,02440000,2989.5,405.1,3394.6
2012,READING,02460000,4452.7,75.1,4527.8
2012,REVERE,02480000,6513.1,253.6,6766.7
2012,RICHMOND,02490000,176.6,65.6,242.2
2012,ROCHESTER,02500000,543.9,11.3,555.2
2012,ROCKLAND,02510000,2224.8,125.6,2350.4
2012,ROCKPORT,02520000,922,39.6,961.6
2012,ROWE,02530000,69.1,28.2,97.3
2012,SALEM,02580000,4523.9,419.8,4943.7
2012,SANDWICH,02610000,3293.9,225.7,3519.6
2012,SAUGUS,02620000,2845.3,178.6,3023.9
2012,SAVOY,02630000,41,48.4,89.4
2012,SCITUATE,02640000,3211,52.9,3263.9
2012,SEEKONK,02650000,2129.5,39.5,2169
2012,SHARON,02660000,3402.7,67.5,3470.2
2012,"SHAWSHEEN VALLEY",08710000,1344.1,16.6,1360.7
2012,SHERBORN,02690000,405.3,6,411.3
2012,SHREWSBURY,02710000,5892.3,365.1,6257.4
2012,SHUTESBURY,02720000,151.3,10,161.3
2012,"SILVER LAKE",07600000,1879.7,24.2,1903.9
2012,SOMERSET,02730000,1851.7,42.7,1894.4
2012,"SOMERSET BERKLEY",07630000,966.1,45.5,1011.6
2012,SOMERVILLE,02740000,4863,539.8,5402.8
2012,"SOUTH HADLEY",02780000,1967.1,194,2161.1
2012,"SOUTH MIDDLESEX",08290000,653.8,0,653.8
2012,"SOUTH SHORE",08730000,601.1,1,602.1
2012,SOUTHAMPTON,02750000,549.5,37,586.5
2012,SOUTHBOROUGH,02760000,1446.2,41.7,1487.9
2012,SOUTHBRIDGE,02770000,2166,252.5,2418.5
2012,SOUTHEASTERN,08720000,1280.7,0,1280.7
