adminyear,grade,org_code,district,subject,tested,wptopdev,wpconvent,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2007,03,00000000,State,MATH,70280,,,0.92,0.77,0.83,0.76,0.88,0.79,1.43,0.83,0.88,0.73,0.87,0.76,0.74,0.52,0.73,1.27,0.95,0.88,0.81,0.38,0.89,0.59,1.15,0.9,0.55,0.73,0.78,0.8,0.83,1.54,0.62,0.76,0.85,0.85,1.29,,,,,,,,,,
2007,03,00000000,State,ELA,70254,,,0.79,0.96,0.85,0.88,0.88,0.76,0.84,0.85,0.89,0.78,0.71,0.85,0.7,0.57,0.92,0.83,0.72,0.85,0.81,0.8,2.51,0.79,0.76,0.66,0.88,0.91,0.77,0.63,0.91,0.87,0.74,0.78,2.08,0.71,0.71,0.73,0.74,0.78,0.79,0.85,0.7,0.88,,,
2007,04,00000000,State,MATH,69459,,,0.9,0.81,0.8,0.64,0.82,0.76,0.81,0.77,0.61,2.68,0.74,0.69,2.54,0.76,0.39,0.81,2.54,0.84,0.76,0.74,0.81,0.7,0.74,0.81,0.69,0.61,2.35,0.86,0.49,0.79,2.78,0.82,0.66,0.65,0.75,0.82,0.68,0.84,0.71,,,,,,
2007,04,00000000,State,ELA,69385,7.34,6.64,0.91,0.9,0.9,0.89,0.79,0.61,0.81,2.25,0.9,0.91,0.83,0.82,0.87,0.83,0.78,0.75,1.91,0.91,0.94,0.87,0.85,0.91,0.72,0.89,0.82,1.75,0.71,0.69,0.73,0.71,0.74,0.69,0.78,0.81,1.99,0.96,0.82,0.72,0.76,0.7,,,,,
2007,05,00000000,State,MATH,70128,,,0.91,0.88,0.74,0.79,0.66,0.77,0.75,0.77,0.74,3.28,0.7,0.65,2.63,0.78,0.61,0.71,1.52,0.87,0.85,0.73,0.75,0.6,0.73,0.85,0.54,0.65,2.51,0.74,0.53,0.72,2.01,0.83,0.52,0.64,0.64,0.68,0.77,0.65,0.57,,,,,,
2007,05,00000000,State,ELA,70149,,,0.72,0.68,0.76,0.86,0.84,0.77,0.88,0.76,2.14,0.75,0.83,0.78,0.79,0.73,0.81,0.74,0.67,2.48,0.92,0.81,0.88,0.78,0.83,0.86,0.81,0.8,2.18,0.86,0.76,0.68,0.8,0.88,0.68,0.72,0.69,1.91,0.74,0.8,0.73,0.74,,,,,
2007,05,00000000,State,SCI,70240,,,0.82,0.89,0.93,0.8,0.68,0.71,0.8,0.82,0.87,0.53,0.64,0.65,0.62,0.76,0.89,0.86,0.55,1.38,1.88,0.35,0.87,0.59,0.75,0.72,0.78,0.77,0.51,0.69,0.74,0.73,0.87,0.53,0.83,0.77,0.76,0.83,1.78,2.12,2.63,,,,,,
2007,06,00000000,State,MATH,71759,,,0.94,0.85,0.76,0.53,0.72,0.5,0.7,0.71,0.74,2.93,0.3,0.26,2.6,0.73,0.72,0.59,1.98,0.84,0.84,0.77,0.68,0.81,0.69,0.59,0.68,0.81,3.25,0.66,0.48,0.78,2.61,0.77,0.65,0.7,0.61,0.74,0.43,0.73,0.77,,,,,,
2007,06,00000000,State,ELA,71809,,,0.91,0.77,0.86,0.97,0.83,0.69,0.86,0.89,2.24,0.76,0.81,0.86,0.78,0.94,0.75,0.59,0.58,1.86,0.73,0.94,0.77,0.76,0.62,0.93,0.81,0.95,2.09,0.8,0.74,0.74,0.69,0.81,0.78,0.84,0.83,2.46,0.82,0.64,0.73,0.65,,,,,
2007,07,00000000,State,MATH,72512,,,0.88,0.76,0.52,0.69,0.69,0.65,0.67,0.62,2.45,0.54,0.78,0.61,0.76,0.53,0.84,0.86,0.53,0.74,0.42,0.86,0.83,2.63,0.81,0.75,0.57,0.53,0.72,2.96,1.76,0.8,0.44,0.56,0.47,0.62,0.69,0.66,0.5,0.6,2.67,,,,,,
2007,07,00000000,State,ELA,72566,7.02,6.28,0.87,0.9,0.88,0.9,0.68,0.77,0.78,0.83,2.22,0.92,0.74,0.56,0.69,0.73,0.69,0.89,0.76,2.56,0.93,0.73,0.82,0.89,0.88,0.84,0.74,0.8,2.13,0.77,0.81,0.8,0.92,0.83,0.93,0.89,0.83,2.07,0.72,0.83,0.91,0.92,,,,,
2007,08,00000000,State,MATH,73304,,,0.85,0.67,0.74,0.56,0.62,0.56,0.64,0.42,1.93,0.44,0.74,0.57,0.69,0.61,0.66,0.72,0.64,0.59,0.61,0.4,0.84,2.46,0.8,0.71,0.79,0.73,0.66,2.37,2.02,0.6,0.76,0.74,0.66,0.7,0.65,0.35,0.76,0.66,2.46,,,,,,
2007,08,00000000,State,ELA,73482,,,0.78,0.83,0.81,0.81,0.8,0.88,0.81,0.79,2.35,0.87,0.86,0.78,0.84,0.68,0.87,0.78,0.82,0.68,0.83,2.2,0.91,0.8,0.8,0.75,0.67,0.95,0.83,2.38,0.92,0.73,0.67,0.85,0.68,0.69,0.56,2.34,0.76,0.79,0.73,0.68,,,,,
2007,08,00000000,State,SCI,73300,,,0.85,0.76,0.73,0.78,0.59,0.73,0.64,0.55,0.77,0.56,0.48,0.46,0.72,0.59,0.53,0.78,0.69,2.33,1.71,0.9,0.65,0.5,0.5,0.7,0.43,0.51,0.61,0.87,0.6,0.87,0.65,0.58,0.59,0.58,0.61,0.82,1.85,1.77,2,,,,,,
2007,10,00000000,State,MATH,70934,,,0.87,0.84,0.6,0.69,0.79,0.8,0.71,0.73,0.64,0.69,0.67,0.84,0.57,0.7,0.84,0.76,2.01,0.74,0.63,3.09,2.19,0.77,0.71,0.84,0.45,0.48,0.61,0.52,0.81,0.59,2.89,0.74,0.78,0.75,0.78,0.78,0.58,0.77,0.54,0.62,2.48,2.11,,,
2007,10,00000000,State,ELA,71724,7.51,7.2,0.75,0.76,0.91,0.9,0.85,0.7,0.7,0.8,2.23,0.94,0.67,0.75,0.72,0.77,0.81,0.54,0.86,0.89,1.95,0.59,0.88,0.73,0.68,0.79,0.93,0.71,2.39,0.65,0.95,0.86,0.9,0.91,0.55,0.83,0.88,2.55,0.78,0.9,0.74,0.49,,,,,
2007,HS,00000000,State,BIO,65381,,,0.86,0.3,0.59,0.71,0.83,0.7,0.45,0.59,0.39,0.52,1.65,0.74,0.39,0.6,0.7,0.45,0.37,0.62,0.65,0.63,0.5,0.84,0.46,0.72,2.45,1.55,0.73,0.46,0.68,0.42,0.74,1.26,0.76,0.64,0.58,0.53,0.5,0.77,1.23,0.34,0.48,0.34,0.68,0.57,0.35
2007,HS,00000000,State,CHE,15560,,,0.87,0.78,0.81,0.62,0.45,0.48,0.66,0.68,0.48,0.67,1.61,0.62,0.42,0.55,0.57,0.63,0.3,0.48,0.39,0.64,0.43,0.52,0.75,0.56,1.46,1.13,0.58,0.49,0.44,0.72,0.53,1.2,0.63,0.38,0.47,0.73,0.34,0.35,1.99,0.5,0.44,0.41,0.5,0.58,0.47
2007,HS,00000000,State,PHY,18175,,,0.79,0.7,0.36,0.41,0.64,0.57,0.59,0.6,0.63,0.66,2.01,0.57,0.66,0.49,0.48,0.72,0.53,0.73,0.73,0.54,0.37,0.48,0.41,0.65,1.99,1.76,0.78,0.29,0.33,0.48,0.61,1.71,0.45,0.67,0.58,0.55,0.78,0.46,2.07,0.52,0.54,0.52,0.71,0.46,0.68
2007,HS,00000000,State,TEC,1971,,,0.67,0.56,0.84,0.5,0.65,0.74,0.76,0.58,0.55,0.45,2.32,0.52,0.55,0.62,0.65,0.35,0.74,0.52,0.74,0.67,0.58,0.57,0.59,0.54,1.48,0.74,0.61,0.7,0.49,0.53,0.46,0.72,0.27,1.13,0.7,0.5,0.46,1.93,2.36,0.49,0.4,0.49,0.42,0.41,0.68
2007,03,00010000,Abington,MATH,178,,,0.95,0.76,0.87,0.79,0.9,0.79,1.37,0.89,0.9,0.76,0.85,0.83,0.84,0.66,0.79,1.34,0.96,0.93,0.8,0.44,0.9,0.63,1.21,0.91,0.54,0.79,0.77,0.86,0.84,1.12,0.69,0.79,0.85,0.89,1.26,,,,,,,,,,
2007,03,00010000,Abington,ELA,177,,,0.84,0.97,0.85,0.92,0.87,0.82,0.83,0.85,0.88,0.86,0.71,0.84,0.75,0.58,0.93,0.88,0.74,0.88,0.81,0.82,2.58,0.81,0.71,0.68,0.86,0.93,0.74,0.67,0.95,0.9,0.76,0.79,2.05,0.7,0.73,0.66,0.74,0.73,0.8,0.85,0.66,0.88,,,
2007,04,00010000,Abington,MATH,213,,,0.89,0.76,0.73,0.54,0.85,0.69,0.82,0.69,0.56,2.42,0.68,0.76,2.3,0.62,0.45,0.81,2.62,0.85,0.77,0.69,0.81,0.77,0.74,0.75,0.66,0.55,2.27,0.89,0.43,0.76,2.59,0.85,0.61,0.64,0.77,0.87,0.59,0.83,0.78,,,,,,
2007,04,00010000,Abington,ELA,214,7.12,6.57,0.89,0.89,0.91,0.89,0.79,0.62,0.85,2.23,0.89,0.88,0.82,0.83,0.86,0.83,0.76,0.72,1.74,0.9,0.95,0.87,0.86,0.86,0.67,0.88,0.8,1.64,0.65,0.61,0.72,0.71,0.79,0.73,0.79,0.85,1.89,0.97,0.75,0.67,0.69,0.69,,,,,
2007,05,00010000,Abington,MATH,184,,,0.88,0.9,0.8,0.84,0.67,0.83,0.79,0.84,0.76,3.4,0.79,0.66,2.64,0.95,0.65,0.65,1.32,0.83,0.95,0.79,0.74,0.51,0.63,0.79,0.53,0.61,2.11,0.76,0.41,0.74,1.79,0.88,0.64,0.56,0.65,0.64,0.7,0.72,0.59,,,,,,
2007,05,00010000,Abington,ELA,183,,,0.7,0.7,0.77,0.84,0.86,0.77,0.89,0.8,2.03,0.79,0.92,0.77,0.8,0.72,0.79,0.69,0.63,2.28,0.91,0.87,0.88,0.77,0.85,0.87,0.76,0.78,1.95,0.9,0.79,0.68,0.81,0.87,0.77,0.81,0.69,1.78,0.72,0.83,0.76,0.74,,,,,
2007,05,00010000,Abington,SCI,184,,,0.88,0.85,0.92,0.78,0.63,0.71,0.78,0.83,0.9,0.54,0.5,0.64,0.54,0.81,0.93,0.83,0.49,1.38,1.91,0.27,0.93,0.41,0.62,0.74,0.81,0.77,0.51,0.67,0.73,0.92,0.9,0.53,0.88,0.77,0.74,0.79,1.73,2.05,2.68,,,,,,
2007,06,00010000,Abington,MATH,200,,,0.96,0.88,0.74,0.58,0.77,0.47,0.7,0.7,0.63,2.98,0.14,0.16,2.33,0.8,0.72,0.69,1.77,0.87,0.91,0.81,0.72,0.85,0.66,0.63,0.72,0.84,3.28,0.71,0.36,0.79,2.56,0.86,0.67,0.7,0.47,0.78,0.33,0.82,0.76,,,,,,
2007,06,00010000,Abington,ELA,201,,,0.91,0.82,0.92,0.99,0.92,0.72,0.89,0.9,2.36,0.79,0.83,0.89,0.83,0.97,0.82,0.61,0.59,1.95,0.83,0.98,0.8,0.83,0.7,0.95,0.84,0.93,2.12,0.88,0.77,0.8,0.7,0.88,0.82,0.87,0.8,2.57,0.88,0.73,0.72,0.64,,,,,
2007,07,00010000,Abington,MATH,201,,,0.92,0.87,0.3,0.63,0.73,0.83,0.49,0.58,2.47,0.52,0.79,0.62,0.7,0.56,0.89,0.89,0.46,0.85,0.42,0.95,0.67,2.69,0.85,0.82,0.68,0.41,0.68,3.04,1.26,0.85,0.37,0.69,0.43,0.47,0.67,0.72,0.38,0.65,2.63,,,,,,
2007,07,00010000,Abington,ELA,203,7.14,6.33,0.89,0.92,0.89,0.94,0.74,0.8,0.77,0.83,2.17,0.96,0.7,0.5,0.72,0.75,0.65,0.89,0.77,2.56,0.94,0.68,0.78,0.88,0.88,0.84,0.74,0.81,1.8,0.8,0.81,0.77,0.96,0.85,0.96,0.91,0.89,2.03,0.73,0.81,0.9,0.92,,,,,
2007,08,00010000,Abington,MATH,198,,,0.87,0.82,0.66,0.46,0.88,0.67,0.7,0.5,1.87,0.42,0.8,0.63,0.63,0.57,0.62,0.7,0.66,0.7,0.51,0.36,0.82,2.31,0.79,0.81,0.66,0.74,0.72,2.63,1.91,0.56,0.81,0.81,0.74,0.73,0.7,0.25,0.77,0.66,2.54,,,,,,
2007,08,00010000,Abington,ELA,198,,,0.79,0.89,0.79,0.84,0.86,0.91,0.83,0.84,2.5,0.91,0.85,0.81,0.85,0.73,0.88,0.8,0.86,0.71,0.83,2.27,0.95,0.76,0.78,0.75,0.71,0.92,0.89,2.32,0.92,0.8,0.74,0.89,0.75,0.8,0.58,2.39,0.77,0.79,0.7,0.61,,,,,
2007,08,00010000,Abington,SCI,198,,,0.86,0.81,0.75,0.8,0.61,0.88,0.71,0.5,0.84,0.52,0.42,0.46,0.56,0.62,0.58,0.81,0.66,2.29,1.38,0.94,0.6,0.54,0.57,0.7,0.33,0.41,0.56,0.93,0.67,0.92,0.7,0.53,0.65,0.54,0.59,0.87,1.67,1.68,2.48,,,,,,
2007,10,00010000,Abington,MATH,145,,,0.96,0.93,0.66,0.68,0.9,0.9,0.73,0.88,0.61,0.65,0.77,0.85,0.53,0.88,0.83,0.86,2.3,0.83,0.76,3.56,2.62,0.8,0.77,0.94,0.46,0.45,0.66,0.49,0.9,0.7,3.17,0.81,0.92,0.76,0.9,0.92,0.62,0.86,0.56,0.61,2.64,2.45,,,
2007,10,00010000,Abington,ELA,149,7.83,7.5,0.79,0.79,0.96,0.97,0.89,0.77,0.79,0.79,2.29,0.97,0.68,0.83,0.79,0.83,0.82,0.61,0.93,0.9,1.98,0.66,0.93,0.87,0.76,0.84,0.97,0.73,2.43,0.73,0.97,0.87,0.97,0.93,0.61,0.93,0.91,2.58,0.8,0.89,0.73,0.46,,,,,
2007,HS,00010000,Abington,BIO,145,,,0.93,0.22,0.68,0.74,0.87,0.83,0.53,0.57,0.48,0.68,1.68,0.84,0.45,0.74,0.73,0.59,0.35,0.71,0.76,0.77,0.52,0.91,0.52,0.79,2.77,1.85,0.78,0.51,0.85,0.51,0.81,1.12,0.83,0.7,0.65,0.54,0.64,0.81,1.36,0.35,0.54,0.33,0.81,0.66,0.51
2007,03,00020000,Acton,MATH,372,,,0.96,0.87,0.9,0.85,0.92,0.88,1.65,0.95,0.93,0.73,0.95,0.89,0.77,0.55,0.85,1.31,0.97,0.96,0.9,0.5,0.95,0.64,1.5,0.97,0.75,0.82,0.91,0.89,0.9,1.75,0.68,0.81,0.95,0.92,1.4,,,,,,,,,,
2007,03,00020000,Acton,ELA,370,,,0.91,0.99,0.93,0.95,0.92,0.85,0.96,0.93,0.94,0.92,0.77,0.91,0.8,0.71,0.97,0.93,0.83,0.96,0.91,0.92,2.96,0.91,0.91,0.84,0.97,0.95,0.84,0.75,0.96,0.92,0.84,0.83,2.23,0.86,0.82,0.83,0.87,0.92,0.92,0.92,0.77,0.96,,,
2007,04,00020000,Acton,MATH,378,,,0.94,0.93,0.92,0.74,0.87,0.87,0.93,0.84,0.79,3.16,0.83,0.87,3.04,0.88,0.54,0.89,2.95,0.93,0.83,0.83,0.93,0.78,0.88,0.95,0.8,0.75,2.76,0.92,0.61,0.9,3.39,0.91,0.76,0.8,0.86,0.94,0.82,0.95,0.8,,,,,,
2007,04,00020000,Acton,ELA,379,8.09,7.22,0.97,0.98,0.97,0.98,0.89,0.75,0.89,2.75,0.98,0.98,0.93,0.93,0.96,0.92,0.89,0.86,2.25,0.95,0.97,0.91,0.96,0.98,0.86,0.92,0.88,1.99,0.85,0.87,0.89,0.84,0.89,0.82,0.87,0.91,2.24,0.98,0.96,0.87,0.87,0.82,,,,,
2007,05,00020000,Acton,MATH,392,,,0.96,0.93,0.83,0.91,0.83,0.88,0.83,0.9,0.85,3.6,0.87,0.69,3.23,0.83,0.76,0.86,2.41,0.93,0.95,0.83,0.9,0.81,0.86,0.92,0.73,0.8,2.96,0.83,0.65,0.84,2.79,0.92,0.68,0.8,0.84,0.84,0.9,0.78,0.75,,,,,,
2007,05,00020000,Acton,ELA,391,,,0.86,0.76,0.89,0.94,0.93,0.89,0.92,0.9,2.59,0.88,0.91,0.87,0.84,0.86,0.93,0.86,0.88,3.12,0.95,0.89,0.95,0.9,0.91,0.92,0.94,0.91,2.77,0.93,0.87,0.83,0.91,0.92,0.84,0.91,0.84,2.48,0.87,0.87,0.82,0.92,,,,,
2007,05,00020000,Acton,SCI,392,,,0.93,0.96,0.95,0.82,0.81,0.79,0.89,0.92,0.91,0.71,0.75,0.71,0.74,0.78,0.94,0.91,0.67,2.17,2.48,0.66,0.9,0.77,0.8,0.77,0.83,0.88,0.62,0.84,0.85,0.82,0.94,0.6,0.9,0.83,0.82,0.88,2.44,2.59,3.05,,,,,,
