adminyear,grade,org_code,district,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,eayp_part_rate,mayp_part_rate,sayp_part_rate
2007,03,00010005,Abington,Center,"All Students",42,41,,,,,1,42,41,,,,,1,,,,,,,,100,100,
2007,03,00010005,Abington,Center,White,36,35,,,,,1,36,35,,,,,1,,,,,,,,100,100,
2007,04,00010005,Abington,Center,"All Students",52,50,,,,,2,52,50,,,,,2,,,,,,,,100,100,
2007,04,00010005,Abington,Center,White,46,44,,,,,2,46,44,,,,,2,,,,,,,,100,100,
2007,04,00010005,Abington,Center,"Special Ed",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2007,05,00010005,Abington,Center,"All Students",49,49,,,,,,49,49,,,,,,49,49,,,,,,100,100,100
2007,05,00010005,Abington,Center,White,47,47,,,,,,47,47,,,,,,47,47,,,,,,100,100,100
2007,06,00010005,Abington,Center,"All Students",56,54,,,,,2,56,54,,,,,2,,,,,,,,100,100,
2007,06,00010005,Abington,Center,White,54,52,,,,,2,54,52,,,,,2,,,,,,,,100,100,
2007,03,00010010,Abington,North,"All Students",44,41,,,,,3,44,41,,,,,3,,,,,,,,100,100,
2007,03,00010010,Abington,North,White,41,39,,,,,2,41,39,,,,,2,,,,,,,,100,100,
2007,04,00010010,Abington,North,"All Students",53,52,,,,,1,53,52,,,,,1,,,,,,,,100,100,
2007,04,00010010,Abington,North,White,52,51,,,,,1,52,51,,,,,1,,,,,,,,100,100,
2007,04,00010010,Abington,North,"Special Ed",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,05,00010010,Abington,North,"All Students",45,44,,,,,1,45,44,,,,,1,45,44,,,,,1,100,100,100
2007,05,00010010,Abington,North,White,43,42,,,,,1,43,42,,,,,1,43,42,,,,,1,100,100,100
2007,06,00010010,Abington,North,"All Students",53,50,,,,,3,53,49,,,1,,3,,,,,,,,100,98,
2007,06,00010010,Abington,North,White,53,50,,,,,3,53,49,,,1,,3,,,,,,,,100,98,
2007,03,00010015,Abington,Woodsdale,"All Students",92,90,,,1,,1,92,91,,,,,1,,,,,,,,99,100,
2007,03,00010015,Abington,Woodsdale,White,86,84,,,1,,1,86,85,,,,,1,,,,,,,,99,100,
2007,03,00010015,Abington,Woodsdale,"Special Ed",13,13,,,,,,13,13,,,,,,,,,,,,,100,100,
2007,04,00010015,Abington,Woodsdale,"All Students",109,108,,,,,1,109,107,1,,,,1,,,,,,,,100,100,
2007,04,00010015,Abington,Woodsdale,"Low Income",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,04,00010015,Abington,Woodsdale,White,106,106,,,,,,106,105,1,,,,,,,,,,,,100,100,
2007,04,00010015,Abington,Woodsdale,"Special Ed",18,17,,,,,1,18,16,1,,,,1,,,,,,,,100,100,
2007,05,00010015,Abington,Woodsdale,"All Students",95,88,5,,1,,1,95,89,5,,,,1,95,89,5,,,,1,99,100,100
2007,05,00010015,Abington,Woodsdale,"Low Income",10,10,,,,,,10,10,,,,,,10,10,,,,,,100,100,100
2007,05,00010015,Abington,Woodsdale,White,89,82,5,,1,,1,89,83,5,,,,1,89,83,5,,,,1,99,100,100
2007,05,00010015,Abington,Woodsdale,"Special Ed",18,12,5,,,,1,18,12,5,,,,1,18,12,5,,,,1,100,100,100
2007,06,00010015,Abington,Woodsdale,"All Students",94,92,1,,1,,,94,92,1,,1,,,,,,,,,,99,99,
2007,06,00010015,Abington,Woodsdale,White,88,87,,,1,,,88,87,,,1,,,,,,,,,,99,99,
2007,06,00010015,Abington,Woodsdale,"Special Ed",11,10,1,,,,,11,9,1,,1,,,,,,,,,,100,91,
2007,07,00010405,Abington,"Frolio Jr Hs","All Students",200,196,,,,,4,200,194,,,2,,4,,,,,,,,100,99,
2007,07,00010405,Abington,"Frolio Jr Hs","Low Income",21,21,,,,,,21,21,,,,,,,,,,,,,100,100,
2007,07,00010405,Abington,"Frolio Jr Hs",White,191,187,,,,,4,191,185,,,2,,4,,,,,,,,100,99,
2007,07,00010405,Abington,"Frolio Jr Hs","Special Ed",28,28,,,,,,28,28,,,,,,,,,,,,,100,100,
2007,08,00010405,Abington,"Frolio Jr Hs","All Students",197,195,,,,,2,197,195,,,,,2,197,195,,,,,2,100,100,100
2007,08,00010405,Abington,"Frolio Jr Hs","Low Income",17,17,,,,,,17,17,,,,,,17,17,,,,,,100,100,100
2007,08,00010405,Abington,"Frolio Jr Hs",White,191,189,,,,,2,191,189,,,,,2,191,189,,,,,2,100,100,100
2007,08,00010405,Abington,"Frolio Jr Hs","Special Ed",30,30,,,,,,30,30,,,,,,30,30,,,,,,100,100,100
2007,10,00010505,Abington,"Abington High","All Students",146,145,,,,,1,146,143,,2,1,,,,,,,,,,100,98,
2007,10,00010505,Abington,"Abington High","Low Income",18,18,,,,,,18,18,,,,,,,,,,,,,100,100,
2007,10,00010505,Abington,"Abington High",White,136,135,,,,,1,136,133,,2,1,,,,,,,,,,100,98,
2007,03,00020010,Acton,Merriam,"All Students",77,73,2,,,1,1,77,75,,,,1,1,,,,,,,,100,100,
2007,03,00020010,Acton,Merriam,Asian,14,11,1,,,1,1,14,12,,,,1,1,,,,,,,,100,100,
2007,03,00020010,Acton,Merriam,White,61,60,1,,,,,61,61,,,,,,,,,,,,,100,100,
2007,03,00020010,Acton,Merriam,"Special Ed",13,11,2,,,,,13,13,,,,,,,,,,,,,100,100,
2007,04,00020010,Acton,Merriam,"All Students",93,91,1,,,,1,93,91,1,,,,1,,,,,,,,100,100,
2007,04,00020010,Acton,Merriam,Asian,24,23,,,,,1,24,23,,,,,1,,,,,,,,100,100,
2007,04,00020010,Acton,Merriam,White,65,64,1,,,,,65,64,1,,,,,,,,,,,,100,100,
2007,04,00020010,Acton,Merriam,"Special Ed",11,10,1,,,,,11,10,1,,,,,,,,,,,,100,100,
2007,05,00020010,Acton,Merriam,"All Students",97,93,1,,,1,2,98,93,1,,,1,3,97,93,1,,,1,2,100,100,100
2007,05,00020010,Acton,Merriam,Asian,25,23,,,,1,1,25,23,,,,1,1,25,23,,,,1,1,100,100,100
2007,05,00020010,Acton,Merriam,White,68,66,1,,,,1,69,66,1,,,,2,68,66,1,,,,1,100,100,100
2007,05,00020010,Acton,Merriam,"Special Ed",20,19,1,,,,,20,19,1,,,,,20,19,1,,,,,100,100,100
2007,06,00020010,Acton,Merriam,"All Students",97,96,,,,,1,97,96,,,,,1,,,,,,,,100,100,
2007,06,00020010,Acton,Merriam,Asian,24,24,,,,,,24,24,,,,,,,,,,,,,100,100,
2007,06,00020010,Acton,Merriam,White,65,65,,,,,,65,65,,,,,,,,,,,,,100,100,
2007,06,00020010,Acton,Merriam,"Special Ed",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,03,00020015,Acton,McCarthy-Towne,"All Students",75,74,,,,1,,75,74,,,,1,,,,,,,,,100,100,
2007,03,00020015,Acton,McCarthy-Towne,Asian,10,9,,,,1,,10,9,,,,1,,,,,,,,,100,100,
2007,03,00020015,Acton,McCarthy-Towne,White,58,58,,,,,,58,58,,,,,,,,,,,,,100,100,
2007,03,00020015,Acton,McCarthy-Towne,"Special Ed",13,13,,,,,,13,13,,,,,,,,,,,,,100,100,
2007,04,00020015,Acton,McCarthy-Towne,"All Students",71,71,,,,,,71,69,,,2,,,,,,,,,,100,97,
2007,04,00020015,Acton,McCarthy-Towne,White,59,59,,,,,,59,57,,,2,,,,,,,,,,100,97,
2007,04,00020015,Acton,McCarthy-Towne,"Special Ed",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,05,00020015,Acton,McCarthy-Towne,"All Students",72,71,,,,1,,72,71,,,,1,,72,71,,,,1,,100,100,100
2007,05,00020015,Acton,McCarthy-Towne,White,53,53,,,,,,53,53,,,,,,53,53,,,,,,100,100,100
2007,05,00020015,Acton,McCarthy-Towne,"Special Ed",13,13,,,,,,13,13,,,,,,13,13,,,,,,100,100,100
2007,06,00020015,Acton,McCarthy-Towne,"All Students",73,72,,,,,1,73,72,,,,,1,,,,,,,,100,100,
