adminyear,org_code,district,grade,subject,group,eadv_num,eadv_per,epro_num,epro_per,eni_num,eni_per,ewf_num,ewf_per,madv_num,madv_per,mpro_num,mpro_per,mni_num,mni_per,mwf_num,mwf_per,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,etotal,mtotal,stotal,eayp_part_rate,mayp_part_rate,sayp_part_rate,ecpi,mcpi,scpi
2007,00000000,State,03,,"All Students",9912,14,32164,45,22803,32,6432,9,13396,19,29224,41,17201,24,11502,16,,,,,,,,,71311,71323,,100,100,,83.5,80.3,
2007,00000000,State,03,,"Non-Low Income",8930,18,25099,51,12612,26,2347,5,11846,24,22322,46,10228,21,4594,9,,,,,,,,,48988,48990,,100,100,,88.9,86.5,
2007,00000000,State,03,,"Low Income",982,4,7057,32,10181,46,4073,18,1547,7,6895,31,6966,31,6891,31,,,,,,,,,22293,22299,,100,100,,71.7,66.8,
2007,00000000,State,03,,Male,4298,12,16308,44,12258,33,3840,10,7174,20,14865,40,8715,24,5974,16,,,,,,,,,36704,36728,,100,100,,82.1,80.6,
2007,00000000,State,03,,Female,5614,16,15848,46,10535,30,2580,7,6219,18,14352,42,8479,25,5511,16,,,,,,,,,34577,34561,,100,100,,85.1,80,
2007,00000000,State,03,,Migrant,1,5,12,57,7,33,1,5,1,5,10,48,5,24,5,24,,,,,,,,,21,21,,100,100,,81,72.6,
2007,00000000,State,03,,"Native American",12,6,81,40,91,45,20,10,20,10,83,41,58,29,41,20,,,,,,,,,204,202,,100,99,,78.3,74.5,
2007,00000000,State,03,,Black,268,5,1716,31,2607,47,986,18,314,6,1637,29,1792,32,1832,33,,,,,,,,,5577,5575,,100,100,,71.5,64.6,
2007,00000000,State,03,,Asian,708,20,1518,44,964,28,266,8,1072,31,1363,39,627,18,392,11,,,,,,,,,3456,3454,,100,100,,85.5,86.1,
2007,00000000,State,03,,Hispanic/Latino,384,4,2698,28,4402,46,2157,22,637,7,2665,28,2946,31,3400,35,,,,,,,,,9641,9648,,100,100,,68.2,63.6,
2007,00000000,State,03,,White,8338,16,25460,50,14232,28,2858,6,11064,22,22875,45,11386,22,5567,11,,,,,,,,,50888,50892,,100,100,,87.7,84.8,
2007,00000000,State,03,,Hawaiian,23,14,79,48,53,32,11,7,42,25,63,38,41,25,21,13,,,,,,,,,166,167,,100,100,,86.1,83.5,
2007,00000000,State,03,,Multi-race,179,13,604,45,444,33,122,9,244,18,531,39,344,25,232,17,,,,,,,,,1349,1351,,100,100,,83,78.9,
2007,00000000,State,03,,"Formerly LEP",161,8,696,36,808,42,248,13,267,14,651,34,518,27,469,25,,,,,,,,,1913,1905,,100,100,,76.3,72.5,
2007,00000000,State,03,,LEP,98,2,949,20,2310,48,1442,30,234,5,1201,25,1431,30,1939,40,,,,,,,,,4799,4805,,100,100,,60.3,59.4,
2007,00000000,State,03,,"LEP/Formerly LEP",259,4,1645,25,3118,46,1690,25,501,7,1852,28,1949,29,2408,36,,,,,,,,,6712,6710,,100,100,,64.9,63.1,
2007,00000000,State,03,,"Special Ed",379,3,2930,24,5506,44,3575,29,576,5,2843,23,3702,30,5244,42,,,,,,,,,12390,12365,,100,100,,67.5,62.1,
