adminyear,grade,org_code,DistrictName,subject,tested,wptopdev,wpconvent,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2008,03,00000000,State,ELA,69192,,,0.62,0.77,0.82,0.75,0.88,0.84,0.8,0.77,0.73,0.88,0.67,0.9,0.77,0.87,0.74,0.62,0.7,0.91,0.87,0.77,1.6,0.67,0.76,0.75,0.86,0.92,0.93,0.85,0.86,0.84,0.92,0.88,0.69,1.93,0.91,0.77,0.68,0.69,0.59,0.6,0.61,0.8,,,
2008,03,00000000,State,MATH,69314,,,0.88,0.79,0.9,0.78,0.8,0.77,1.47,0.72,0.84,0.8,0.8,0.74,0.78,0.76,0.9,0.98,0.91,0.9,0.69,0.93,0.83,0.88,1.32,0.83,0.84,0.78,0.86,0.48,0.66,0.93,0.85,0.92,0.91,0.57,1.25,,,,,,,,,,
2008,04,00000000,State,ELA,69924,7.2,6.86,0.88,0.78,0.73,0.84,0.76,0.86,0.83,1.89,0.88,0.85,0.82,0.69,0.82,0.83,0.75,0.75,1.9,0.9,0.9,0.76,0.84,0.79,0.8,0.83,0.86,1.93,0.73,0.71,0.86,0.8,0.79,0.81,0.88,0.83,2.18,0.9,0.89,0.79,0.81,0.84,,,,,
2008,04,00000000,State,MATH,70211,,,0.94,0.9,0.91,0.92,0.86,0.94,0.56,0.81,0.8,2.58,0.86,0.35,1.72,0.66,0.82,0.54,1.88,0.9,0.79,0.82,0.91,0.62,0.63,0.85,0.83,0.8,2.47,0.72,0.65,0.26,2.15,0.89,0.9,0.76,0.62,0.8,0.73,0.86,0.8,,,,,,
2008,05,00000000,State,ELA,69460,,,0.79,0.83,0.8,0.79,0.73,0.72,0.89,2.06,0.7,0.75,0.74,0.8,0.81,0.75,0.62,0.68,0.88,1.87,0.87,0.81,0.68,0.67,0.73,0.81,0.72,0.81,2.02,0.77,0.78,0.87,0.75,0.91,0.9,0.85,2.11,0.8,0.75,0.85,0.9,0.74,,,,,
2008,05,00000000,State,MATH,69510,,,0.92,0.85,0.92,0.88,0.76,0.73,0.76,0.49,0.81,2.39,0.7,0.71,2.79,0.77,0.57,0.73,2.1,0.9,0.87,0.85,0.69,0.62,0.6,0.64,0.67,0.73,1.72,0.81,0.85,0.51,2.23,0.64,0.45,0.46,0.7,0.62,0.7,0.72,0.63,,,,,,
2008,05,00000000,State,SCI,69620,,,0.92,0.82,0.77,0.73,0.72,0.77,0.8,0.85,0.64,0.69,0.6,0.62,0.62,0.85,0.37,0.62,0.9,2.5,1.31,0.86,0.76,0.89,0.71,0.63,0.55,0.87,0.61,0.83,0.75,0.57,0.84,0.62,0.84,0.86,0.77,0.86,2.71,1.9,2.67,,,,,,
2008,06,00000000,State,ELA,70358,,,0.78,0.86,0.94,0.82,0.79,0.82,0.8,2.45,0.8,0.78,0.87,0.81,0.75,0.69,0.79,0.77,0.75,2.13,0.42,0.8,0.77,0.77,0.82,0.76,0.74,0.76,1.83,0.85,0.81,0.7,0.87,0.69,0.77,0.84,2.22,0.78,0.9,0.78,0.79,0.82,,,,,
2008,06,00000000,State,MATH,70405,,,0.93,0.85,0.81,0.86,0.81,0.82,0.73,0.63,0.53,2.98,0.78,0.88,2.47,0.83,0.82,0.7,2.52,0.9,0.87,0.82,0.82,0.73,0.76,0.88,0.75,0.74,2.89,0.65,0.65,0.59,1.95,0.76,0.68,0.74,0.78,0.57,0.82,0.63,0.86,,,,,,
2008,07,00000000,State,ELA,71702,7.26,6.85,0.88,0.92,0.94,0.68,0.79,0.95,0.86,2.27,0.9,0.93,0.68,0.87,0.76,0.75,0.71,0.77,2.09,0.8,0.79,0.76,0.89,0.73,0.88,0.94,0.68,2.08,0.7,0.65,0.89,0.78,0.72,0.78,0.88,0.94,2.34,0.87,0.74,0.8,0.85,0.76,,,,,
