adminyear,org_code,DistrictName,grade,group,eadv_num,eadv_per,epro_num,epro_per,eni_num,eni_per,ewf_num,ewf_per,madv_num,madv_per,mpro_num,mpro_per,mni_num,mni_per,mwf_num,mwf_per,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,etotal,mtotal,stotal,eayp_part_rate,mayp_part_rate,sayp_part_rate,ecpi,mcpi,scpi
2008,00000000,State,03,"All Students",10657,15,28553,41,23063,33,8011,11,17352,25,25501,36,17381,25,10159,14,,,,,,,,,70284,70393,,100,100,,81.5,81.5,
2008,00000000,State,03,"Non-Low Income",9613,20,22525,47,12856,27,2971,6,14816,31,18900,39,10201,21,4120,9,,,,,,,,,47965,48037,,100,100,,87.6,87.1,
2008,00000000,State,03,"Low Income",1043,5,6018,27,10194,46,5030,23,2533,11,6595,30,7174,32,6017,27,,,,,,,,,22285,22319,,99,100,,68.5,69.5,
2008,00000000,State,03,Male,4502,12,14297,40,12338,34,4885,14,8773,24,12871,36,8903,25,5545,15,,,,,,,,,36022,36092,,99,100,,79.6,81.2,
2008,00000000,State,03,Female,6154,18,14246,42,10712,31,3116,9,8576,25,12624,37,8472,25,4592,13,,,,,,,,,34228,34264,,100,100,,83.5,81.9,
2008,00000000,State,03,"Native American",17,8,68,33,99,49,20,10,33,16,69,34,66,33,34,17,,,,,,,,,204,202,,100,100,,76.1,75.9,
2008,00000000,State,03,Black,305,6,1478,27,2495,45,1262,23,548,10,1509,27,1813,33,1672,30,,,,,,,,,5540,5542,,99,100,,68.2,66.7,
2008,00000000,State,03,Asian,707,21,1409,41,992,29,323,9,1275,37,1230,36,641,19,297,9,,,,,,,,,3431,3443,,99,100,,84,87.8,
2008,00000000,State,03,Hispanic/Latino,408,4,2474,25,4546,45,2645,26,1098,11,2823,28,3164,31,3023,30,,,,,,,,,10073,10108,,99,99,,65.5,67.3,
2008,00000000,State,03,White,9001,18,22515,45,14403,29,3568,7,14017,28,19368,39,11298,23,4855,10,,,,,,,,,49487,49538,,100,100,,86.1,85.7,
2008,00000000,State,03,Hawaiian,6,9,29,42,29,42,5,7,15,21,25,35,18,25,13,18,,,,,,,,,69,71,,97,97,,82.2,79.2,
2008,00000000,State,03,Multi-race,212,15,570,39,486,34,178,12,363,25,471,32,375,26,243,17,,,,,,,,,1446,1452,,99,99,,80.8,80,
2008,00000000,State,03,"Formerly LEP",144,7,638,33,854,44,325,17,389,20,667,34,516,26,388,20,,,,,,,,,1961,1960,,100,100,,74.1,77,
2008,00000000,State,03,LEP,119,2,884,18,2241,45,1784,35,420,8,1295,26,1608,32,1741,34,,,,,,,,,5028,5064,,98,99,,57.7,63.1,
2008,00000000,State,03,"LEP/Formerly LEP",263,4,1522,22,3095,44,2109,30,809,12,1962,28,2124,30,2129,30,,,,,,,,,6989,7024,,99,99,,62.3,67,
2008,00000000,State,03,"Special Ed",348,3,2362,20,5092,42,4306,36,809,7,2662,22,3694,30,4967,41,,,,,,,,,12108,12132,,99,99,,63.7,63.6,
2008,00000000,State,03,"Non-Title 1",9356,20,22020,47,12626,27,3223,7,14402,30,18461,39,10044,21,4407,9,,,,,,,,,47225,47314,,100,100,,87.4,86.8,
