adminyear,grade,org_code,DistrictName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,03,00000000,State,"All Students",71423,69428,1247,225,66,457,,71535,69580,1211,179,53,512,,,,,,,,,100,100,
2009,03,00000000,State,"Low Income",24111,23006,663,106,34,302,,24199,23128,641,64,30,336,,,,,,,,,99,100,
2009,03,00000000,State,"Native American",156,154,1,,,1,,157,154,1,,,2,,,,,,,,,100,100,
2009,03,00000000,State,Black,5475,5220,139,23,5,88,,5486,5228,134,14,9,101,,,,,,,,,99,100,
2009,03,00000000,State,Asian,3908,3749,40,17,3,99,,3933,3773,38,9,2,111,,,,,,,,,99,100,
2009,03,00000000,State,Hispanic/Latino,10889,10302,302,69,17,199,,10978,10408,295,39,15,221,,,,,,,,,99,100,
2009,03,00000000,State,White,49114,48174,724,110,39,67,,49120,48208,702,111,26,73,,,,,,,,,100,100,
2009,03,00000000,State,Hawaiian,97,89,6,2,,,,99,91,7,1,,,,,,,,,,,98,99,
2009,03,00000000,State,Multi-race,1733,1695,29,4,2,3,,1730,1693,28,5,1,3,,,,,,,,,100,100,
2009,03,00000000,State,"LEP/Formerly LEP",8026,7358,159,63,5,441,,8129,7451,158,19,8,493,,,,,,,,,99,100,
2009,03,00000000,State,"Special Ed",12300,10902,1247,109,33,9,,12314,10966,1211,97,27,13,,,,,,,,,99,99,
2009,04,00000000,State,"All Students",71314,69185,1286,259,121,463,,71414,69409,1300,88,98,519,,,,,,,,,99,100,
2009,04,00000000,State,"Low Income",23707,22542,656,127,48,334,,23766,22638,672,38,48,370,,,,,,,,,99,100,
2009,04,00000000,State,"Native American",201,198,3,,,,,203,197,3,,1,2,,,,,,,,,100,100,
2009,04,00000000,State,Black,5702,5424,143,33,11,91,,5722,5452,147,12,11,100,,,,,,,,,99,100,
2009,04,00000000,State,Asian,3576,3442,41,9,3,81,,3598,3459,39,6,,94,,,,,,,,,100,100,
2009,04,00000000,State,Hispanic/Latino,10452,9849,289,70,19,225,,10481,9892,296,23,23,247,,,,,,,,,99,100,
2009,04,00000000,State,White,49745,48695,766,136,85,63,,49784,48838,772,43,61,70,,,,,,,,,100,100,
2009,04,00000000,State,Hawaiian,70,65,2,3,,,,71,69,1,1,,,,,,,,,,,96,99,
2009,04,00000000,State,Multi-race,1524,1471,39,8,3,3,,1527,1480,39,3,2,3,,,,,,,,,99,100,
2009,04,00000000,State,"LEP/Formerly LEP",7126,6440,166,60,9,451,,7171,6477,168,18,4,504,,,,,,,,,99,100,
2009,04,00000000,State,"Special Ed",12834,11395,1286,87,54,12,,12842,11443,1300,42,45,12,,,,,,,,,99,99,
2009,05,00000000,State,"All Students",72342,70384,1277,172,76,433,,72450,70497,1296,103,80,474,,72440,70539,1147,162,131,461,,100,100,100
2009,05,00000000,State,"Low Income",23732,22628,645,96,34,329,,23828,22723,655,58,38,354,,23818,22732,592,84,68,342,,99,100,99
2009,05,00000000,State,"Native American",182,177,4,,1,,,181,177,4,,,,,181,177,3,,1,,,99,100,99
2009,05,00000000,State,Black,5806,5538,134,27,8,99,,5824,5551,139,18,14,102,,5823,5551,129,27,15,101,,99,99,99
2009,05,00000000,State,Asian,3635,3507,46,16,,66,,3644,3519,46,6,1,72,,3642,3518,44,8,2,70,,100,100,100
2009,05,00000000,State,Hispanic/Latino,10124,9576,277,49,16,206,,10204,9666,278,19,15,226,,10199,9657,257,34,35,216,,99,100,99
2009,05,00000000,State,White,51031,50068,782,78,49,54,,51054,50090,793,57,48,66,,51052,50140,682,88,76,66,,100,100,100
2009,05,00000000,State,Hawaiian,70,66,3,,,1,,70,66,3,,,1,,70,66,3,,,1,,100,100,100
2009,05,00000000,State,Multi-race,1449,1411,28,2,2,6,,1450,1409,30,3,2,6,,1450,1411,26,5,2,6,,100,100,100
2009,05,00000000,State,"LEP/Formerly LEP",6413,5800,134,52,6,421,,6475,5860,129,21,5,460,,6469,5859,120,31,13,446,,99,100,99
2009,05,00000000,State,"Special Ed",13698,12310,1277,59,40,12,,13703,12304,1296,46,43,14,,13701,12416,1147,72,52,14,,99,99,99
2009,06,00000000,State,"All Students",71759,69818,1181,236,107,417,,71806,69828,1257,164,103,454,,,,,,,,,100,100,
2009,06,00000000,State,"Low Income",23322,22268,550,148,44,312,,23352,22290,580,87,53,342,,,,,,,,,99,99,
2009,06,00000000,State,"Native American",224,211,7,3,1,2,,224,212,8,1,1,2,,,,,,,,,98,99,
2009,06,00000000,State,Black,5780,5521,121,39,5,94,,5780,5517,129,27,6,101,,,,,,,,,99,99,
2009,06,00000000,State,Asian,3527,3394,35,14,5,79,,3535,3405,36,7,4,83,,,,,,,,,99,100,
2009,06,00000000,State,Hispanic/Latino,9859,9344,238,77,19,181,,9881,9382,248,42,16,193,,,,,,,,,99,99,
2009,06,00000000,State,White,50847,49876,751,93,75,52,,50871,49851,805,79,73,63,,,,,,,,,100,100,
2009,06,00000000,State,Hawaiian,79,71,3,1,,4,,79,72,3,,,4,,,,,,,,,99,100,
2009,06,00000000,State,Multi-race,1406,1368,23,9,2,4,,1410,1369,25,8,3,5,,,,,,,,,99,99,
2009,06,00000000,State,"LEP/Formerly LEP",5617,5020,118,66,6,407,,5671,5082,123,22,4,440,,,,,,,,,99,100,
2009,06,00000000,State,"Special Ed",13546,12202,1181,106,44,13,,13536,12127,1257,91,46,15,,,,,,,,,99,99,
2009,07,00000000,State,"All Students",72797,70473,1224,478,169,453,,72879,70686,1289,279,137,488,,,,,,,,,99,99,
2009,07,00000000,State,"Low Income",23286,21985,600,289,72,340,,23343,22118,629,161,69,366,,,,,,,,,98,99,
2009,07,00000000,State,"Native American",200,190,5,3,,2,,200,190,5,2,,3,,,,,,,,,99,99,
2009,07,00000000,State,Black,5974,5641,151,65,16,101,,6006,5678,153,48,16,111,,,,,,,,,99,99,
2009,07,00000000,State,Asian,3633,3490,36,22,5,80,,3644,3500,37,11,2,94,,,,,,,,,99,100,
2009,07,00000000,State,Hispanic/Latino,9996,9325,284,145,31,211,,10027,9405,288,94,22,218,,,,,,,,,98,99,
2009,07,00000000,State,White,51544,50418,729,232,110,55,,51564,50518,782,114,93,57,,,,,,,,,99,100,
2009,07,00000000,State,Hawaiian,103,97,2,1,1,2,,100,96,2,,,2,,,,,,,,,98,100,
2009,07,00000000,State,Multi-race,1296,1269,10,10,5,2,,1298,1268,15,10,3,2,,,,,,,,,99,99,
2009,07,00000000,State,"LEP/Formerly LEP",4981,4310,136,89,13,433,,5046,4392,139,43,10,462,,,,,,,,,98,99,
2009,07,00000000,State,"Special Ed",13483,11970,1224,190,84,15,,13481,11975,1289,138,67,12,,,,,,,,,98,98,
