adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,03,00010005,Abington,Center,"All Students",48,46,1,,,,1,48,46,1,,,,1,,,,,,,,100,100,
2009,03,00010005,Abington,Center,"Low Income",15,14,1,,,,,15,14,1,,,,,,,,,,,,100,100,
2009,03,00010005,Abington,Center,White,43,42,1,,,,,43,42,1,,,,,,,,,,,,100,100,
2009,04,00010005,Abington,Center,"All Students",42,38,,1,,,3,42,38,,1,,,3,,,,,,,,98,98,
2009,04,00010005,Abington,Center,"Low Income",10,8,,,,,2,10,8,,,,,2,,,,,,,,100,100,
2009,04,00010005,Abington,Center,White,37,33,,1,,,3,37,33,,1,,,3,,,,,,,,97,97,
2009,04,00010005,Abington,Center,"Special Ed",11,9,,1,,,1,11,9,,1,,,1,,,,,,,,91,91,
2009,05,00010005,Abington,Center,"All Students",44,42,,,,,2,44,41,,,1,,2,44,41,,,1,,2,100,98,98
2009,05,00010005,Abington,Center,"Low Income",11,11,,,,,,11,10,,,1,,,11,10,,,1,,,100,91,91
2009,05,00010005,Abington,Center,White,39,37,,,,,2,39,37,,,,,2,39,37,,,,,2,100,100,100
2009,06,00010005,Abington,Center,"All Students",52,47,,2,1,,2,52,48,,2,,,2,,,,,,,,94,96,
2009,06,00010005,Abington,Center,White,46,41,,2,1,,2,46,42,,2,,,2,,,,,,,,93,96,
2009,06,00010005,Abington,Center,"Special Ed",11,10,,1,,,,11,10,,1,,,,,,,,,,,91,91,
2009,03,00010010,Abington,North,"All Students",50,45,,,1,,4,50,45,,,1,,4,,,,,,,,98,98,
2009,03,00010010,Abington,North,"Low Income",14,12,,,,,2,14,12,,,,,2,,,,,,,,100,100,
2009,03,00010010,Abington,North,White,46,43,,,1,,2,46,43,,,1,,2,,,,,,,,98,98,
2009,04,00010010,Abington,North,"All Students",42,42,,,,,,42,42,,,,,,,,,,,,,100,100,
2009,04,00010010,Abington,North,White,39,39,,,,,,39,39,,,,,,,,,,,,,100,100,
2009,05,00010010,Abington,North,"All Students",47,45,,,,,2,47,45,,,,,2,47,45,,,,,2,100,100,100
2009,05,00010010,Abington,North,"Low Income",11,11,,,,,,11,11,,,,,,11,11,,,,,,100,100,100
2009,05,00010010,Abington,North,White,43,43,,,,,,43,43,,,,,,43,43,,,,,,100,100,100
2009,06,00010010,Abington,North,"All Students",53,51,,,,,2,53,51,,,,,2,,,,,,,,100,100,
2009,06,00010010,Abington,North,White,51,50,,,,,1,51,50,,,,,1,,,,,,,,100,100,
2009,06,00010010,Abington,North,"Special Ed",11,10,,,,,1,11,10,,,,,1,,,,,,,,100,100,
2009,03,00010015,Abington,Woodsdale,"All Students",101,100,,,,,1,101,98,,2,,,1,,,,,,,,100,98,
2009,03,00010015,Abington,Woodsdale,"Low Income",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2009,03,00010015,Abington,Woodsdale,White,93,92,,,,,1,93,90,,2,,,1,,,,,,,,100,98,
2009,03,00010015,Abington,Woodsdale,"Special Ed",12,12,,,,,,12,12,,,,,,,,,,,,,100,100,
