Year,org_code,DistrictName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2010,00000000,State,03,"All Students",71349,69337,1285,174,49,504,71353,69266,1286,151,51,599," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,03,"Low Income",25710,24561,649,88,24,388,25678,24477,653,64,27,457," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,03,"Native American",160,154,4,1," ",1,160,154,4,1," ",1," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,03,Black,5633,5343,142,28,4,116,5644,5342,140,17,7,138," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,03,Asian,4102,3938,49,17," ",98,4110,3936,49,12," ",113," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,03,Hispanic/Latino,10932,10377,294,43,7,211,10889,10293,299,40,7,250," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,03,White,48397,47456,758,77,35,71,48408,47456,755,76,35,86," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,03,Hawaiian,94,90,3," "," ",1,95,91,3," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,03,Multi-race,1994,1948,30,8,3,5,1999,1956,31,5,2,5," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,03,"LEP/Formerly LEP",8554,7864,147,47,2,494,8569,7811,147,25,4,582," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,03,"Special Ed",12679,11248,1285,101,26,19,12662,11231,1286,92,30,23," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,04,"All Students",71658,69479,1434,168,69,508,71696,69510,1416,110,68,592," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,04,"Low Income",25516,24214,783,96,34,389,25496,24184,775,63,33,441," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,04,"Native American",150,147,2,1," "," ",154,150,2," "," ",2," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,04,Black,5636,5344,157,24,10,101,5646,5335,157,22,10,122," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,04,Asian,3993,3805,52,11,3,122,4014,3812,49,9,3,141," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,04,Hispanic/Latino,10874,10234,360,52,15,213,10838,10202,352,28,12,244," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,04,White,49128,48135,818,71,39,65,49164,48189,812,50,40,73," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,04,Hawaiian,98,92,4," "," ",2,99,91,5," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,04,Multi-race,1744,1690,38,9,2,5,1740,1694,36,1,3,6," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,04,"LEP/Formerly LEP",8003,7244,195,52,9,503,8028,7235,183,23,5,582," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,04,"Special Ed",13219,11657,1434,72,46,10,13197,11683,1416,45,43,10," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,05,"All Students",71668,69697,1322,130,61,458,71684,69586,1366,117,80,535,71749,69754,1183,175,99,538," ",100,100,100
2010,00000000,State,05,"Low Income",25175,24021,691,80,27,356,25146,23919,707,70,41,409,25207,24034,614,101,46,412," ",100,100,99
2010,00000000,State,05,"Native American",185,182,3," "," "," ",185,181,2,1,1," ",185,182,2,1," "," "," ",100,99,99
2010,00000000,State,05,Black,5817,5540,155,12,9,101,5832,5527,160,15,10,120,5843,5550,144,20,9,120," ",100,100,100
2010,00000000,State,05,Asian,3652,3501,43,8," ",100,3656,3499,41,6," ",110,3656,3497,41,7," ",111," ",100,100,100
2010,00000000,State,05,Hispanic/Latino,10578,10025,318,45,9,181,10552,9971,327,27,14,213,10608,10038,291,46,17,216," ",99,100,99
2010,00000000,State,05,White,49759,48811,772,62,43,71,49780,48775,803,64,54,84,49780,48852,678,96,71,83," ",100,100,100
2010,00000000,State,05,Hawaiian,64,59,3,1," ",1,65,59,3,1," ",2,65,60,2,1," ",2," ",98,98,98
2010,00000000,State,05,Multi-race,1577,1546,28,2," ",1,1577,1542,30,3,1,1,1576,1544,25,4,2,1," ",100,100,100
2010,00000000,State,05,"LEP/Formerly LEP",6939,6266,168,51,4,450,6964,6244,167,24,9,520,7012,6287,155,36,11,523," ",99,100,99
2010,00000000,State,05,"Special Ed",13311,11892,1322,58,29,10,13276,11799,1366,58,40,13,13290,11975,1183,72,47,13," ",99,99,99
2010,00000000,State,06,"All Students",72897,70929,1246,192,64,466,72973,70873,1307,155,79,559," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,06,"Low Income",25350,24172,638,121,31,388,25399,24150,668,91,35,455," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,06,"Native American",169,165,3,1," "," ",170,167,3," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,06,Black,5947,5669,150,21,5,102,5969,5663,155,25,7,119," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,06,Asian,3675,3524,46,15," ",90,3682,3521,47,10,1,103," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,06,Hispanic/Latino,10500,9937,261,77,14,211,10532,9941,269,45,15,262," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,06,White,51004,50070,755,73,45,61,51026,50026,801,72,55,72," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,06,Hawaiian,61,59,2," "," "," ",61,59,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,06,Multi-race,1488,1456,26,5," ",1,1492,1459,27,3,1,2," "," "," "," "," "," "," ",100,100," "
2010,00000000,State,06,"LEP/Formerly LEP",5975,5320,123,68,6,458,6047,5335,127,31,8,546," "," "," "," "," "," "," ",98,99," "
2010,00000000,State,06,"Special Ed",13760,12377,1246,80,37,20,13776,12324,1307,84,37,24," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,"All Students",72361,70146,1204,340,135,536,72465,70168,1284,257,140,616," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,"Low Income",24816,23506,597,212,61,440,24905,23542,627,166,61,509," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,"Native American",229,219,7,1,1,1,231,221,6,2," ",2," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,Black,5904,5605,124,44,6,125,5935,5606,133,40,8,148," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,Asian,3658,3505,43,15,1,94,3684,3518,42,13,3,108," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,07,Hispanic/Latino,10166,9526,261,113,24,242,10209,9554,273,85,22,275," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,White,50814,49756,733,158,100,67,50820,49743,788,114,101,74," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,07,Hawaiian,80,76,3,1," "," ",79,76,3," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,00000000,State,07,Multi-race,1460,1417,28,8,3,4,1461,1415,32,3,6,5," "," "," "," "," "," "," ",99,99," "
2010,00000000,State,07,"LEP/Formerly LEP",5200,4480,134,52,11,523,5284,4489,139,43,13,600," "," "," "," "," "," "," ",98,99," "
2010,00000000,State,07,"Special Ed",13439,11991,1204,172,54,18,13433,11935,1284,132,64,18," "," "," "," "," "," "," ",98,99," "
2010,00000000,State,08,"All Students",73311,71039,1199,387,148,538,73406,70897,1284,433,185,607,73395,70879,1147,565,198,606," ",99,99,99
2010,00000000,State,08,"Low Income",24707,23376,601,219,52,459,24770,23267,637,271,80,515,24766,23227,578,364,84,513," ",99,99,98
2010,00000000,State,08,"Native American",192,186,5,1," "," ",191,180,5,4," ",2,191,180,5,4," ",2," ",99,98,98
2010,00000000,State,08,Black,6016,5667,168,55,12,114,6035,5662,180,52,13,128,6031,5650,159,82,12,128," ",99,99,98
2010,00000000,State,08,Asian,3714,3551,38,14,3,108,3723,3553,38,12,3,117,3723,3550,34,16,6,117," ",99,100,99
2010,00000000,State,08,Hispanic/Latino,10184,9524,260,126,17,257,10214,9485,265,154,22,288,10214,9463,251,188,24,288," ",99,98,98
2010,00000000,State,08,White,51714,50659,705,178,114,58,51757,50579,770,195,144,69,51751,50596,677,258,153,67," ",99,99,99
2010,00000000,State,08,Hawaiian,105,98,2,5," "," ",105,97,2,6," "," ",105,97,2,6," "," "," ",95,94,94
2010,00000000,State,08,Multi-race,1329,1304,14,8,2,1,1334,1303,17,10,3,1,1334,1307,12,11,3,1," ",99,99,99
2010,00000000,State,08,"LEP/Formerly LEP",4537,3816,126,58,2,535,4616,3833,130,48,6,599,4615,3814,125,73,7,596," ",98,99,98
2010,00000000,State,08,"Special Ed",13174,11665,1199,219,69,22,13200,11544,1284,252,94,26,13195,11610,1147,318,94,26," ",98,97,97
2010,00000000,State,10,"All Students",74865,69472,901,1549,188,615,74761,69500,905,1430,221,662,75166,67555,693,1462,58,501,4897,98,98,98
2010,00000000,State,10,"Low Income",24016,20972,391,842,69,501,23974,20978,391,774,84,547,24167,20338,313,836,17,411,2252,96,96,96
2010,00000000,State,10,"Native American",202,184,4,6," ",1,200,180,4,8,1,1,200,174,4,7," ",1,14,96,95,97
2010,00000000,State,10,Black,6694,5715,101,258,23,196,6689,5705,102,256,27,215,6731,5462,85,218,8,164,794,95,96,97
2010,00000000,State,10,Asian,3712,3438,47,49,4,107,3716,3446,46,42,6,106,3708,3267,36,56,2,88,259,98,99,98
2010,00000000,State,10,Hispanic/Latino,10300,8734,175,464,17,252,10281,8763,172,413,30,274,10413,8378,131,445,6,202,1251,95,95,96
2010,00000000,State,10,White,52549,50109,562,729,140,54,52471,50107,568,677,153,61,52617,49077,430,701,39,44,2326,98,98,99
2010,00000000,State,10,Hawaiian,72,67,1,1," "," ",72,66,2,1," "," ",74,64,2,3," "," ",5,99,99,96
2010,00000000,State,10,Multi-race,1246,1155,7,41,4,4,1240,1159,7,32,4,4,1256,1133,5,31,2,2,83,96,97,97
2010,00000000,State,10,"LEP/Formerly LEP",4465,3292,84,233,4,606,4516,3337,84,198,14,645,4517,2798,63,314,2,490,850,93,95,93
2010,00000000,State,10,"Special Ed",12964,10570,901,674,82,10,12900,10596,905,622,85,12,13021,10625,693,610,22,8,1063,94,94,95
2010,00010000,Abington,03,"All Students",166,159,5,2," "," ",167,158,5,2,1,1," "," "," "," "," "," "," ",99,98," "
2010,00010000,Abington,03,"Low Income",32,31,1," "," "," ",32,31,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,03,White,156,151,3,2," "," ",156,150,3,2,1," "," "," "," "," "," "," "," ",99,98," "
2010,00010000,Abington,03,"Special Ed",22,16,5,1," "," ",22,16,5,1," "," "," "," "," "," "," "," "," ",95,95," "
2010,00010000,Abington,04,"All Students",197,188,9," "," "," ",197,189,8," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,04,"Low Income",42,39,3," "," "," ",42,40,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,04,Hispanic/Latino,14,11,3," "," "," ",14,11,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,04,White,179,173,6," "," "," ",179,174,5," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,04,"Special Ed",32,23,9," "," "," ",32,24,8," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,05,"All Students",175,169,3,2,1," ",175,170,3,1," ",1,175,171,1,2," ",1," ",98,99,99
2010,00010000,Abington,05,"Low Income",26,25,1," "," "," ",26,25,1," "," "," ",26,25," ",1," "," "," ",100,100,96
2010,00010000,Abington,05,White,163,158,3,1,1," ",163,159,3,1," "," ",163,160,1,2," "," "," ",99,99,99
2010,00010000,Abington,05,"Special Ed",28,24,3," ",1," ",28,25,3," "," "," ",28,27,1," "," "," "," ",96,100,100
2010,00010000,Abington,06,"All Students",176,174,1,1," "," ",176,174,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2010,00010000,Abington,06,"Low Income",37,37," "," "," "," ",37,37," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,06,White,158,156,1,1," "," ",158,156,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2010,00010000,Abington,06,"Special Ed",24,22,1,1," "," ",24,22,1,1," "," "," "," "," "," "," "," "," ",96,96," "
2010,00010000,Abington,07,"All Students",213,208,4," "," ",1,211,206,4," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,07,"Low Income",26,23,3," "," "," ",25,23,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,07,Hispanic/Latino,10,8,1," "," ",1,10,9," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,07,White,200,198,2," "," "," ",198,195,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,07,"Special Ed",45,41,4," "," "," ",44,40,4," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010000,Abington,08,"All Students",188,181,6," ",1," ",188,180,6,1,1," ",187,181,4,1,1," "," ",99,99,99
2010,00010000,Abington,08,"Low Income",17,17," "," "," "," ",17,16," "," ",1," ",17,16," "," ",1," "," ",100,94,94
2010,00010000,Abington,08,White,173,166,6," ",1," ",173,165,6,1,1," ",173,167,4,1,1," "," ",99,99,99
2010,00010000,Abington,08,"Special Ed",38,32,6," "," "," ",38,32,6," "," "," ",38,34,4," "," "," "," ",100,100,100
2010,00010000,Abington,10,"All Students",135,128,3,2,2," ",135,130,3,1,1," ",135,115,2,2," "," ",16,97,99,99
2010,00010000,Abington,10,"Low Income",15,14,1," "," "," ",15,14,1," "," "," ",15,12,1," "," "," ",2,100,100,100
2010,00010000,Abington,10,Hispanic/Latino,10,10," "," "," "," ",10,10," "," "," "," ",10,6," "," "," "," ",4,100,100,100
2010,00010000,Abington,10,White,117,110,3,2,2," ",117,112,3,1,1," ",116,103,2,2," "," ",9,97,98,98
2010,00010000,Abington,10,"Special Ed",27,22,3,1,1," ",28,23,3,1,1," ",27,19,2,2," "," ",4,93,93,93
2010,00020000,Acton,03,"All Students",370,365,3,2," "," ",370,365,3,2," "," "," "," "," "," "," "," "," ",99,99," "
2010,00020000,Acton,03,Asian,102,100,1,1," "," ",102,100,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2010,00020000,Acton,03,Hispanic/Latino,12,11," ",1," "," ",12,11," ",1," "," "," "," "," "," "," "," "," ",92,92," "
2010,00020000,Acton,03,White,242,240,2," "," "," ",242,240,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,03,Multi-race,11,11," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,03,"LEP/Formerly LEP",15,14," ",1," "," ",15,14," ",1," "," "," "," "," "," "," "," "," ",93,93," "
2010,00020000,Acton,03,"Special Ed",53,48,3,2," "," ",53,48,3,2," "," "," "," "," "," "," "," "," ",96,96," "
2010,00020000,Acton,04,"All Students",366,361,1,1," ",3,365,360,2," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,04,"Low Income",15,12," ",1," ",2,15,13," "," "," ",2," "," "," "," "," "," "," ",93,100," "
2010,00020000,Acton,04,Asian,82,81," "," "," ",1,82,81," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,04,White,254,251,1," "," ",2,253,249,2," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,04,Multi-race,19,18," ",1," "," ",19,19," "," "," "," "," "," "," "," "," "," "," ",95,100," "
2010,00020000,Acton,04,"LEP/Formerly LEP",17,14," "," "," ",3,17,14," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00020000,Acton,04,"Special Ed",65,63,1,1," "," ",65,63,2," "," "," "," "," "," "," "," "," "," ",98,100," "
