Year,org_code,DistrictName,SchoolName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2010,00010005,Abington,Center,03,"All Students",63,59," ",1," "," ",3,63,58," ",1,1," ",3," "," "," "," "," "," "," ",98,97," "
2010,00010005,Abington,Center,03,"Low Income",14,12," "," "," "," ",2,14,12," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,03,White,60,56," ",1," "," ",3,60,55," ",1,1," ",3," "," "," "," "," "," "," ",98,97," "
2010,00010005,Abington,Center,04,"All Students",57,53,2," "," "," ",2,57,53,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,04,"Low Income",22,19,1," "," "," ",2,22,19,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,04,White,52,50,1," "," "," ",1,52,50,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,04,"Special Ed",11,8,2," "," "," ",1,11,8,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,05,"All Students",58,55," ",1," "," ",2,58,55," ",1," "," ",2,58,54," ",2," "," ",2,98,98,97
2010,00010005,Abington,Center,05,"Low Income",13,12," "," "," "," ",1,13,12," "," "," "," ",1,13,11," ",1," "," ",1,100,100,92
2010,00010005,Abington,Center,05,White,51,49," ",1," "," ",1,51,49," ",1," "," ",1,51,48," ",2," "," ",1,98,98,96
2010,00010005,Abington,Center,05,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2010,00010005,Abington,Center,06,"All Students",59,56," "," "," "," ",3,59,56," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,06,"Low Income",15,14," "," "," "," ",1,15,14," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,00010005,Abington,Center,06,White,53,51," "," "," "," ",2,53,51," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,03,"All Students",96,95,1," "," "," "," ",97,95,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,03,"Low Income",18,17,1," "," "," "," ",18,17,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,03,White,91,90,1," "," "," "," ",91,90,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,03,"Special Ed",10,9,1," "," "," "," ",10,9,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,00010015,Abington,Woodsdale,04,"All Students",137,132,3," "," "," ",2,137,133,2," "," "," ",2," "," "," "," "," "," "," ",100,100," "
