Year,org_code,DistrictName,Grade,Group,eadv_num,eadv_per,epro_num,epro_per,eni_num,eni_per,ewf_num,ewf_per,madv_num,madv_per,mpro_num,mpro_per,mni_num,mni_per,mwf_num,mwf_per,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,etotal,mtotal,stotal,eayp_part_rate,mayp_part_rate,sayp_part_rate,ecpi,mcpi,scpi,esgp,msgp,esgp_incl,msgp_incl
2010,00000000,State,03,"All Students",10128,14,34284,49,20850,30,5360,8,17937,25,28057,40,16962,24,7596,11," "," "," "," "," "," "," "," ",70622,70552," ",100,100," ",85.8,83.8," "," "," "," "," "
2010,00000000,State,03,"Non-Low Income",8709,19,24976,55,9968,22,1759,4,15122,33,19490,43,8325,18,2485,5," "," "," "," "," "," "," "," ",45412,45422," ",100,100," ",91.2,90," "," "," "," "," "
2010,00000000,State,03,"Low Income",1419,6,9308,37,10882,43,3601,14,2815,11,8567,34,8637,34,5111,20," "," "," "," "," "," "," "," ",25210,25130," ",100,100," ",76.1,72.6," "," "," "," "," "
2010,00000000,State,03,Male,4244,12,17088,47,11600,32,3387,9,9353,26,14246,39,8573,24,4111,11," "," "," "," "," "," "," "," ",36319,36283," ",100,100," ",84.1,84," "," "," "," "," "
2010,00000000,State,03,Female,5883,17,17191,50,9239,27,1969,6,8582,25,13804,40,8381,24,3476,10," "," "," "," "," "," "," "," ",34282,34243," ",100,100," ",87.7,83.6," "," "," "," "," "
2010,00000000,State,03,"Native American",16,10,63,40,62,39,17,11,26,16,53,34,52,33,27,17," "," "," "," "," "," "," "," ",158,158," ",99,99," ",80.7,75.3," "," "," "," "," "
2010,00000000,State,03,Black,319,6,1964,36,2382,43,820,15,477,9,1710,31,2006,37,1289,24," "," "," "," "," "," "," "," ",5485,5482," ",99,100," ",75.6,69," "," "," "," "," "
2010,00000000,State,03,Asian,737,18,1946,49,1070,27,234,6,1580,40,1508,38,673,17,224,6," "," "," "," "," "," "," "," ",3987,3985," ",99,100," ",87.7,90.2," "," "," "," "," "
2010,00000000,State,03,Hispanic/Latino,494,5,3527,33,4807,45,1843,17,1052,10,3370,32,3653,34,2517,24," "," "," "," "," "," "," "," ",10671,10592," ",100,100," ",73,69.8," "," "," "," "," "
2010,00000000,State,03,White,8239,17,25780,53,11886,25,2309,5,14253,30,20654,43,10012,21,3292,7," "," "," "," "," "," "," "," ",48214,48211," ",100,100," ",89.7,88.1," "," "," "," "," "
2010,00000000,State,03,Hawaiian,10,11,44,47,30,32,9,10,24,26,37,39,23,24,10,11," "," "," "," "," "," "," "," ",93,94," ",100,100," ",83.3,85.1," "," "," "," "," "
2010,00000000,State,03,Multi-race,311,16,951,48,598,30,118,6,521,26,714,36,530,27,222,11," "," "," "," "," "," "," "," ",1978,1987," ",99,100," ",86.8,82," "," "," "," "," "
2010,00000000,State,03,"Formerly LEP",192,9,936,45,804,38,168,8,485,23,796,38,546,26,260,12," "," "," "," "," "," "," "," ",2100,2087," ",100,100," ",82.9,81.6," "," "," "," "," "
2010,00000000,State,03,LEP,123,2,1474,25,2993,51,1321,22,458,8,1692,29,2132,36,1589,27," "," "," "," "," "," "," "," ",5911,5871," ",99,100," ",65.8,65.6," "," "," "," "," "
