Year,org_code,DistrictName,SchoolName,Subject,Group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal,sayp_part_rate,scpi
2010,00000000,State,State,BIO,"All Students",9273,17,25067,46,12500,23,7307,13,54147,97,82.1
2010,00000000,State,State,BIO,"Non-Low Income",8266,23,18727,52,6333,18,2407,7,35733,98,89.4
2010,00000000,State,State,BIO,"Low Income",1007,5,6340,34,6167,33,4900,27,18414,95,68
2010,00000000,State,State,BIO,Male,4794,17,12495,45,6193,23,3984,15,27466,96,81.8
2010,00000000,State,State,BIO,Female,4478,17,12567,47,6293,24,3302,12,26640,97,82.6
2010,00000000,State,State,BIO,"Native American",10,6,70,43,49,30,34,21,163,94,74.5
2010,00000000,State,State,BIO,Black,200,4,1488,32,1637,36,1261,27,4586,95,66.5
2010,00000000,State,State,BIO,Asian,857,33,1006,39,452,17,288,11,2603,98,86.1
2010,00000000,State,State,BIO,Hispanic/Latino,313,4,2194,27,2729,34,2810,35,8046,94,61
2010,00000000,State,State,BIO,White,7710,21,19831,53,7309,19,2725,7,37575,98,88.5
2010,00000000,State,State,BIO,Hawaiian,9,14,27,43,16,25,11,17,63,95,78.2
2010,00000000,State,State,BIO,Multi-race,170,17,430,43,272,27,120,12,992,96,81.2
2010,00000000,State,State,BIO,"Formerly LEP",34,3,300,29,383,37,315,31,1032,96,63.4
2010,00000000,State,State,BIO,LEP,30,1,238,10,680,30,1345,59,2293,90,43.7
2010,00000000,State,State,BIO,"LEP/Formerly LEP",64,2,538,16,1063,32,1660,50,3325,92,49.8
2010,00000000,State,State,BIO,"Special Ed",210,2,2367,23,3641,36,3961,39,10179,93,60.6
2010,00000000,State,State,BIO,"Non-Title 1",8882,20,21687,50,8584,20,4177,10,43330,97,86.4
2010,00000000,State,State,BIO,"Title 1",391,4,3380,31,3916,36,3130,29,10817,94,65
2010,00000000,State,State,CHE,"All Students",393,22,465,26,420,23,512,29,1790,99,70.6
2010,00000000,State,State,CHE,"Non-Low Income",358,28,395,31,296,23,215,17,1264,99,79.5
2010,00000000,State,State,CHE,"Low Income",35,7,70,13,124,24,297,56,526,99,49.2
2010,00000000,State,State,CHE,Male,223,25,240,27,186,21,239,27,888,99,74
2010,00000000,State,State,CHE,Female,170,19,224,25,234,26,270,30,898,99,67.4
2010,00000000,State,State,CHE,Black,16,7,36,17,58,27,107,49,217,100,52.9
2010,00000000,State,State,CHE,Asian,48,39,31,25,18,15,25,20,122,100,79.5
2010,00000000,State,State,CHE,Hispanic/Latino,14,6,31,13,60,24,143,58,248,98,46.7
2010,00000000,State,State,CHE,White,297,26,352,31,271,24,222,19,1142,99,78.1
2010,00000000,State,State,CHE,Multi-race,18,36,12,24,11,22,9,18,50,98,79.5
2010,00000000,State,State,CHE,"Formerly LEP",1,5,2,10,2,10,16,76,21,100,41.7
2010,00000000,State,State,CHE,LEP,1,1,10,9,34,32,61,58,106,99,44.3
2010,00000000,State,State,CHE,"LEP/Formerly LEP",2,2,12,9,36,28,77,61,127,99,43.9
2010,00000000,State,State,CHE,"Special Ed",8,3,20,7,47,17,200,73,275,98,51.5
2010,00000000,State,State,CHE,"Non-Title 1",388,26,452,31,364,25,272,18,1476,99,78.2
2010,00000000,State,State,CHE,"Title 1",5,2,13,4,56,18,240,76,314,98,35.3
2010,00000000,State,State,PHY,"All Students",3058,16,7399,39,5724,30,2608,14,18789,98,78.3
2010,00000000,State,State,PHY,"Non-Low Income",2819,23,5744,47,3018,25,705,6,12286,99,87.1
2010,00000000,State,State,PHY,"Low Income",239,4,1655,25,2706,42,1903,29,6503,97,61.6
2010,00000000,State,State,PHY,Male,1774,19,3672,39,2744,29,1339,14,9529,98,78.9
2010,00000000,State,State,PHY,Female,1282,14,3725,40,2976,32,1266,14,9249,99,77.7
2010,00000000,State,State,PHY,"Native American",0,0,15,38,18,45,7,18,40,100,69.4
2010,00000000,State,State,PHY,Black,71,3,560,23,1071,44,743,30,2445,98,59.3
2010,00000000,State,State,PHY,Asian,306,31,377,38,239,24,80,8,1002,99,85.6
2010,00000000,State,State,PHY,Hispanic/Latino,79,3,583,22,1101,41,926,34,2689,95,57.8
