Year,Org_code,DistrictName,SchoolName,Subject,Group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal,sayp_part_rate,scpi
2011,00000000,State,State,BIO,"All Students",12210,25,22663,46,10148,21,4350,9,49371,98,86.4
2011,00000000,State,State,BIO,"Non-Low Income",10823,32,16366,49,4794,14,1404,4,33387,99,91.4
2011,00000000,State,State,BIO,"Low Income",1387,9,6297,39,5354,33,2946,18,15984,96,76.2
2011,00000000,State,State,BIO,Male,6227,25,11180,45,4984,20,2399,10,24790,97,86.2
2011,00000000,State,State,BIO,Female,5979,24,11462,47,5135,21,1917,8,24493,98,86.6
2011,00000000,State,State,BIO,"High Needs",1730,8,8138,39,7141,34,4003,19,21012,96,75.9
2011,00000000,State,State,BIO,"Native American",13,11,55,46,32,27,20,17,120,97,77.7
2011,00000000,State,State,BIO,Black,266,7,1477,40,1245,34,661,18,3649,96,74.7
2011,00000000,State,State,BIO,Asian,1142,43,961,36,386,15,162,6,2651,98,87.1
2011,00000000,State,State,BIO,Hispanic/Latino,410,6,2153,33,2331,35,1694,26,6588,95,70.1
2011,00000000,State,State,BIO,White,10152,29,17522,50,5935,17,1702,5,35311,98,90.2
2011,00000000,State,State,BIO,Hawaiian,11,19,29,49,12,20,7,12,59,94,86
2011,00000000,State,State,BIO,Multi-race,212,23,445,49,178,20,70,8,905,97,88.3
2011,00000000,State,State,BIO,"Formerly LEP",47,6,285,34,318,38,180,22,830,98,72.1
2011,00000000,State,State,BIO,LEP,42,2,333,18,616,33,858,46,1849,92,56.4
2011,00000000,State,State,BIO,"LEP/Formerly LEP",89,3,618,23,934,35,1038,39,2679,94,61.1
2011,00000000,State,State,BIO,"Special Ed",356,4,2403,28,3146,37,2538,30,8443,95,69.8
2011,00000000,State,State,BIO,"Non-Title 1",11620,28,19645,48,7098,17,2669,7,41032,98,88.9
2011,00000000,State,State,BIO,"Title 1",590,7,3018,36,3050,37,1681,20,8339,95,72
2011,00000000,State,State,CHE,"All Students",324,25,399,30,327,25,259,20,1309,100,78.6
2011,00000000,State,State,CHE,"Non-Low Income",302,31,331,34,215,22,121,12,969,100,84.9
2011,00000000,State,State,CHE,"Low Income",22,6,68,20,112,33,138,41,340,99,61.1
2011,00000000,State,State,CHE,Male,179,28,181,29,134,21,139,22,633,99,78.1
2011,00000000,State,State,CHE,Female,145,22,217,32,192,29,117,17,671,100,79
2011,00000000,State,State,CHE,"High Needs",31,7,92,19,144,30,209,44,476,99,62.9
2011,00000000,State,State,CHE,Black,13,9,25,18,55,39,49,35,142,99,62.2
2011,00000000,State,State,CHE,Asian,38,42,32,36,15,17,5,6,90,100,89.7
2011,00000000,State,State,CHE,Hispanic/Latino,10,6,29,17,52,31,76,46,167,99,57.8
2011,00000000,State,State,CHE,White,252,29,297,34,194,22,122,14,865,100,84.2
2011,00000000,State,State,CHE,Multi-race,9,26,13,38,8,24,4,12,34,100,89.5
2011,00000000,State,State,CHE,LEP,3,4,10,13,25,31,42,53,80,100,50.4
2011,00000000,State,State,CHE,"LEP/Formerly LEP",3,3,11,12,27,30,48,54,89,100,50.6
2011,00000000,State,State,CHE,"Special Ed",6,3,17,10,34,19,119,68,176,99,64.8
2011,00000000,State,State,CHE,"Non-Title 1",323,28,389,33,278,24,172,15,1162,100,83.3
2011,00000000,State,State,CHE,"Title 1",1,1,10,7,49,33,87,59,147,99,44.8
