Year,Org_code,DistrictName,SchoolName,Grade,Subject,tested,wptopdev,wpcompconv,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2011,00010003,Abington,"Abington ECC",03,ELA,152," "," ",0.92,0.91,0.72,0.91,0.96,0.84,0.72,0.86,0.7,0.94,1.94,0.81,0.66,0.78,0.94,0.94,1.13,0.92,0.86,0.68,0.84,0.55,0.6,0.66,1.25,0.89,0.93,0.77,0.86,0.73,0.76,0.77,0.76,0.89,0.88,1.23,1.18,0.59,0.59,0.68,0.72," "," "," "," "
2011,00010003,Abington,"Abington ECC",03,MATH,152," "," ",0.74,0.86,0.53,0.32,0.68,0.57,0.39,0.79,0.56,0.63,1.31,0.53,0.64,0.5,0.78,0.64,0.8,1.13,0.78,0.79,0.52,1.49,0.86,0.78,0.72,0.44,0.86,0.76,0.89,0.79,1.49,0.86,0.7,0.73,0.33,0.91," "," "," "," "," "," "," "," "," "
2011,00010015,Abington,Woodsdale,04,ELA,148,6.27,6.19,0.77,0.78,0.7,0.52,0.93,0.77,0.8,0.91,0.67,0.81,1.78,0.8,0.86,0.66,0.56,0.66,0.8,0.88,0.79,0.86,0.95,0.85,2.64,0.79,0.67,0.59,0.87,0.91,1.72,0.88,0.79,0.83,0.86,0.72,0.91,0.86,0.84,0.95,0.7,2.01," "," "," "," "," "
2011,00010015,Abington,Woodsdale,04,MATH,147," "," ",0.74,0.84,0.48,0.24,0.91,0.54,2.76,0.84,0.83,0.62,0.78,0.85,0.86,0.84,0.67,0.34,0.75,1.81,0.44,0.46,0.77,0.96,0.65,0.9,0.82,0.92,0.81,0.94,0.9,2.82,0.85,0.71,0.92,0.76,0.52,0.69,0.58,0.67,0.77,0.53,0.92,2.64," "," "," "
2011,00010015,Abington,Woodsdale,05,ELA,182," "," ",0.74,0.72,0.85,0.69,0.86,0.71,0.92,0.64,0.74,0.6,1.7,0.81,0.6,0.88,0.85,0.68,0.79,0.85,0.89,0.91,0.69,0.93,2.46,0.84,0.88,0.92,0.69,0.9,0.9,0.77,0.66,0.74,0.47,1.88,0.81,0.87,0.76,0.59,0.87,2.05," "," "," "," "," "
2011,00010015,Abington,Woodsdale,05,MATH,181," "," ",0.95,0.54,0.65,0.92,0.76,0.75,0.7,2.74,0.93,0.85,0.88,0.5,0.64,0.77,0.81,0.67,0.54,0.68,0.92,0.5,2.8,0.89,0.92,0.7,0.46,0.88,0.75,0.68,0.7,0.47,3.44,0.9,0.87,0.73,0.67,0.57,0.62,0.92,0.65,2.08,0.51,0.55," "," "," "
2011,00010015,Abington,Woodsdale,05,SCI,183," "," ",0.44,0.39,0.84,0.74,0.49,0.71,0.77,2.37,0.43,0.86,0.69,0.87,0.81,0.7,0.38,0.8,0.84,0.74,0.54,0.92,2.33,0.84,0.69,0.85,0.84,0.36,0.83,0.73,0.55,0.57,0.61,1.92,0.88,0.95,0.85,0.49,0.91,0.7,0.84,0.52,0.75,1.54," "," "," "
2011,00010015,Abington,Woodsdale,06,ELA,158," "," ",0.85,0.72,0.75,0.84,0.9,2.04,0.94,0.75,0.85,0.89,0.69,0.7,0.82,0.69,0.82,0.93,2.2,0.94,0.8,0.96,0.88,0.89,0.82,2.62,0.79,0.92,0.63,0.73,0.81,0.85,0.79,0.77,0.63,0.93,2.31,0.69,0.61,0.68,0.67,0.91," "," "," "," "," "
2011,00010015,Abington,Woodsdale,06,MATH,158," "," ",0.73,0.88,0.58,0.48,0.3,0.56,0.73,0.89,0.47,1.84,0.61,0.78,0.58,0.8,0.91,0.72,3.18,0.75,0.79,0.6,0.58,0.95,0.82,0.81,0.83,0.65,0.72,2.82,0.75,0.56,0.53,0.86,0.85,0.62,0.91,0.72,0.78,0.49,0.78,0.47,0.84,2.69," "," "," "
2011,00010405,Abington,"Frolio Middle School",07,ELA,157,7.06,6.9,0.86,0.69,0.97,0.94,0.89,0.88,2.6,0.78,0.87,0.81,0.75,0.75,2.01,0.69,0.8,0.75,0.94,0.67,0.94,0.77,0.93,0.77,0.9,0.8,0.82,0.68,0.48,0.82,2.17,0.8,0.92,0.63,0.82,0.76,0.78,0.61,0.92,0.9,0.8,2.22," "," "," "," "," "
