Year,Grade,Org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,03,00000000,State,"All Students",70741,68693,1291,180,55,522," ",70815,68763,1280,134,44,596," "," "," "," "," "," "," "," ",100,100," "
2011,03,00000000,State,"Low Income",25980,24835,659,90,23,373," ",26002,24865,652,53,17,416," "," "," "," "," "," "," "," ",100,100," "
2011,03,00000000,State,"Native American",168,163,5," "," "," "," ",166,161,4,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,03,00000000,State,Black,5593,5334,139,27,2,91," ",5611,5341,138,19,2,111," "," "," "," "," "," "," "," ",99,100," "
2011,03,00000000,State,Asian,4223,4052,71,16,3,81," ",4236,4062,69,10,2,93," "," "," "," "," "," "," "," ",99,100," "
2011,03,00000000,State,Hispanic/Latino,11602,10979,301,48,12,262," ",11643,11022,300,27,8,288," "," "," "," "," "," "," "," ",99,100," "
2011,03,00000000,State,White,47101,46162,738,82,37,82," ",47098,46167,734,73,30,94," "," "," "," "," "," "," "," ",100,100," "
2011,03,00000000,State,Hawaiian,78,74,1,1," ",2," ",80,74,1,1," ",4," "," "," "," "," "," "," "," ",99,99," "
2011,03,00000000,State,Multi-race,1952,1908,33,6,1,4," ",1952,1912,31,3,2,4," "," "," "," "," "," "," "," ",100,100," "
2011,03,00000000,State,"LEP/Formerly LEP",9250,8487,153,77,13,520," ",9312,8540,149,26,8,591," "," "," "," "," "," "," "," ",99,100," "
2011,03,00000000,State,"Special Ed",12878,11454,1291,79,30,24," ",12872,11482,1280,65,20,27," "," "," "," "," "," "," "," ",99,99," "
2011,04,00000000,State,"All Students",71716,69507,1415,212,116,468," ",71847,69683,1421,120,74,552," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,"Low Income",26388,25095,754,130,44,367," ",26442,25170,754,70,32,418," "," "," "," "," "," "," "," ",99,100," "
2011,04,00000000,State,"Native American",164,160,4," "," "," "," ",162,158,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,Black,5750,5465,164,35,10,76," ",5778,5504,160,18,2,94," "," "," "," "," "," "," "," ",99,100," "
2011,04,00000000,State,Asian,4152,4000,54,17,1,80," ",4165,4010,50,7,1,97," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,Hispanic/Latino,11201,10535,332,75,10,251," ",11247,10577,334,30,18,291," "," "," "," "," "," "," "," ",99,100," "
2011,04,00000000,State,White,48308,47253,823,83,93,56," ",48343,47339,833,57,52,62," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,Hawaiian,97,92,4," "," ",1," ",100,93,3," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,Multi-race,2019,1982,29,2,2,4," ",2023,1979,32,7,1,4," "," "," "," "," "," "," "," ",100,100," "
2011,04,00000000,State,"LEP/Formerly LEP",8416,7689,179,83,6,461," ",8505,7763,174,26,5,540," "," "," "," "," "," "," "," ",99,100," "
2011,04,00000000,State,"Special Ed",13667,12084,1415,79,59,32," ",13680,12145,1421,43,37,37," "," "," "," "," "," "," "," ",99,99," "
2011,05,00000000,State,"All Students",72083,69986,1412,163,82,444," ",72180,70050,1417,109,76,532," ",72171,70146,1240,161,99,529," ",100,100,100
2011,05,00000000,State,"Low Income",26234,24981,772,93,41,350," ",26280,25016,779,58,32,398," ",26275,25066,695,79,41,397," ",99,100,100
2011,05,00000000,State,"Native American",149,144,2," "," ",3," ",151,144,2,1," ",4," ",151,143,2,1,1,4," ",100,99,99
2011,05,00000000,State,Black,5812,5514,161,26,4,107," ",5835,5522,161,21,5,126," ",5834,5528,148,27,4,127," ",99,100,99
2011,05,00000000,State,Asian,4036,3904,49,13,2,68," ",4052,3909,48,7,2,86," ",4050,3909,48,7,2,84," ",100,100,100
2011,05,00000000,State,Hispanic/Latino,11127,10491,354,58,12,216," ",11148,10514,347,33,9,249," ",11147,10524,324,38,19,246," ",99,100,99
2011,05,00000000,State,White,49099,48129,800,62,62,46," ",49129,48157,812,45,58,57," ",49125,48233,679,83,72,58," ",100,100,100
2011,05,00000000,State,Hawaiian,96,90,4," ",1,1," ",97,91,5," "," ",1," ",97,92,4," "," ",1," ",99,100,100
2011,05,00000000,State,Multi-race,1736,1692,36,4,1,3," ",1739,1694,36,1,2,6," ",1739,1698,30,4,1,6," ",100,100,100
2011,05,00000000,State,"LEP/Formerly LEP",7867,7155,191,79,7,439," ",7932,7189,185,36,5,521," ",7930,7191,179,38,8,518," ",99,99,99
2011,05,00000000,State,"Special Ed",13863,12344,1412,49,35,27," ",13875,12361,1417,38,32,31," ",13869,12500,1240,58,45,30," ",99,99,99
2011,06,00000000,State,"All Students",72282,70232,1262,162,108,521," ",72365,70193,1349,142,101,586," "," "," "," "," "," "," "," ",100,100," "
2011,06,00000000,State,"Low Income",26265,25038,674,92,57,407," ",26300,25010,716,83,44,452," "," "," "," "," "," "," "," ",99,100," "
2011,06,00000000,State,"Native American",175,170,4," "," ",1," ",175,169,5," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,06,00000000,State,Black,6024,5705,158,30,11,120," ",6044,5722,166,19,4,133," "," "," "," "," "," "," "," ",99,100," "
2011,06,00000000,State,Asian,3678,3541,45,11,2,80," ",3701,3557,44,8,5,88," "," "," "," "," "," "," "," ",100,100," "
2011,06,00000000,State,Hispanic/Latino,10930,10334,294,48,20,236," ",10966,10351,300,40,19,259," "," "," "," "," "," "," "," ",99,99," "
2011,06,00000000,State,White,49793,48852,720,71,70,80," ",49800,48775,790,69,70,98," "," "," "," "," "," "," "," ",100,100," "
2011,06,00000000,State,Hawaiian,64,60,2," "," ",2," ",64,60,2," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00000000,State,Multi-race,1591,1544,38,2,5,2," ",1583,1531,40,6,3,3," "," "," "," "," "," "," "," ",100,99," "
2011,06,00000000,State,"LEP/Formerly LEP",6627,5918,154,45,4,508," ",6707,5965,159,21,5,561," "," "," "," "," "," "," "," ",99,100," "
2011,06,00000000,State,"Special Ed",13692,12308,1262,63,42,20," ",13695,12232,1349,57,41,22," "," "," "," "," "," "," "," ",99,99," "
2011,07,00000000,State,"All Students",73429,71062,1198,392,180,597," ",73556,71237,1258,230,154,677," "," "," "," "," "," "," "," ",99,99," "
2011,07,00000000,State,"Low Income",26075,24639,637,255,67,477," ",26158,24763,672,137,58,528," "," "," "," "," "," "," "," ",99,99," "
2011,07,00000000,State,"Native American",175,173,2," "," "," "," ",174,171,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00000000,State,Black,6098,5742,150,55,6,145," ",6123,5772,153,30,9,159," "," "," "," "," "," "," "," ",99,99," "
2011,07,00000000,State,Asian,3745,3584,47,25,1,88," ",3777,3610,49,7,2,109," "," "," "," "," "," "," "," ",99,100," "
2011,07,00000000,State,Hispanic/Latino,10876,10170,261,135,30,280," ",10922,10244,264,84,22,308," "," "," "," "," "," "," "," ",98,99," "
2011,07,00000000,State,White,50940,49843,711,170,138,78," ",50961,49884,760,107,116,94," "," "," "," "," "," "," "," ",99,100," "
2011,07,00000000,State,Hawaiian,61,58,2," ",1," "," ",61,59,2," "," "," "," "," "," "," "," "," "," "," ",98,100," "
2011,07,00000000,State,Multi-race,1501,1465,22,7,4,3," ",1505,1471,24,2,5,3," "," "," "," "," "," "," "," ",99,100," "
2011,07,00000000,State,"LEP/Formerly LEP",5497,4668,133,101,12,583," ",5588,4755,136,32,9,656," "," "," "," "," "," "," "," ",98,99," "
2011,07,00000000,State,"Special Ed",13946,12484,1198,170,61,33," ",13957,12501,1258,104,55,39," "," "," "," "," "," "," "," ",98,99," "
2011,08,00000000,State,"All Students",72787,70506,1177,380,187,537," ",72871,70498,1242,362,178,591," ",72846,70481,1088,495,197,585," ",99,99,99
2011,08,00000000,State,"Low Income",25208,23900,587,221,74,426," ",25228,23868,618,217,68,457," ",25216,23861,531,292,79,453," ",99,99,99
2011,08,00000000,State,"Native American",207,199,6,1," ",1," ",207,198,6,1,1,1," ",206,198,5,1,1,1," ",100,99,99
2011,08,00000000,State,Black,5983,5683,129,45,3,123," ",6002,5685,137,36,6,138," ",6000,5685,114,53,12,136," ",99,99,99
2011,08,00000000,State,Asian,3787,3633,48,20,5,81," ",3802,3652,46,10,5,89," ",3801,3650,46,9,7,89," ",99,100,100
2011,08,00000000,State,Hispanic/Latino,10370,9701,266,125,25,253," ",10391,9685,282,129,19,276," ",10385,9680,245,167,21,272," ",98,99,98
2011,08,00000000,State,White,50869,49759,706,180,147,77," ",50891,49741,745,176,145,84," ",50879,49730,660,252,152,85," ",99,99,99
2011,08,00000000,State,Hawaiian,79,77,1,1," "," "," ",80,79,1," "," "," "," ",80,79,1," "," "," "," ",99,100,100
2011,08,00000000,State,Multi-race,1469,1435,19,8,7," "," ",1468,1433,23,10,2," "," ",1467,1435,15,13,4," "," ",99,99,99
2011,08,00000000,State,"LEP/Formerly LEP",4780,4041,125,78,6,530," ",4834,4075,130,43,8,578," ",4834,4081,115,53,12,573," ",98,99,99
2011,08,00000000,State,"Special Ed",13444,11996,1177,176,79,16," ",13445,11926,1242,188,72,17," ",13429,12008,1088,236,80,17," ",98,98,98
2011,10,00000000,State,"All Students",71787,69121,901,1103,209,454," ",71648,68905,900,1114,247,483," ",71086,64910,657,1025,39,540,3915,98,98,99
2011,10,00000000,State,"Low Income",23133,21660,421,601,89,363," ",23030,21527,419,616,89,380," ",22380,19094,309,619,19,430,1909,97,97,98
2011,10,00000000,State,"Native American",188,183,1,3,1," "," ",192,184,1,7," "," "," ",188,172,1,2," "," ",13,98,96,99
2011,10,00000000,State,Black,6325,5915,108,156,14,132," ",6311,5883,107,164,15,142," ",6035,5044,78,136,2,170,605,97,97,98
2011,10,00000000,State,Asian,3797,3614,24,30,6,123," ",3807,3619,25,25,9,129," ",3795,3348,14,60,2,126,245,99,99,98
2011,10,00000000,State,Hispanic/Latino,9506,8802,202,325,40,138," ",9433,8747,203,299,37,148," ",9068,7437,146,318,10,174,983,96,97,97
2011,10,00000000,State,White,50437,49138,544,559,141,55," ",50365,48992,545,588,181,59," ",50427,47609,407,485,23,61,1842,99,99,99
2011,10,00000000,State,Hawaiian,86,82,2,2," "," "," ",85,84,1," "," "," "," ",81,66," ",4," "," ",11,98,100,95
2011,10,00000000,State,Multi-race,1380,1328,12,28,7,5," ",1375,1324,12,31,5,3," ",1360,1234,11,20,2,6,87,98,97,99
2011,10,00000000,State,"LEP/Formerly LEP",4166,3463,89,152,14,449," ",4162,3478,90,103,15,477," ",3795,2410,64,206,3,531,581,96,97,95
2011,10,00000000,State,"Special Ed",12436,10896,901,549,82,9," ",12392,10871,900,532,81,9," ",11583,9695,657,399,11,8,813,95,95,97
2011,03,00010000,Abington,"All Students",162,158,1,1," ",2," ",162,158,1,1," ",2," "," "," "," "," "," "," "," ",99,99," "
2011,03,00010000,Abington,"Low Income",38,38," "," "," "," "," ",38,38," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00010000,Abington,White,151,149,1,1," "," "," ",151,149,1,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2011,03,00010000,Abington,"Special Ed",29,27,1,1," "," "," ",29,27,1,1," "," "," "," "," "," "," "," "," "," ",97,97," "
2011,04,00010000,Abington,"All Students",159,156,2,1," "," "," ",159,153,2,2,2," "," "," "," "," "," "," "," "," ",99,97," "
2011,04,00010000,Abington,"Low Income",42,42," "," "," "," "," ",42,42," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00010000,Abington,White,146,145," ",1," "," "," ",146,143," ",1,2," "," "," "," "," "," "," "," "," ",99,98," "
2011,04,00010000,Abington,"Special Ed",25,23,2," "," "," "," ",25,22,2," ",1," "," "," "," "," "," "," "," "," ",100,96," "
2011,05,00010000,Abington,"All Students",189,185,4," "," "," "," ",189,184,5," "," "," "," ",189,186,3," "," "," "," ",100,100,100
2011,05,00010000,Abington,"Low Income",36,36," "," "," "," "," ",36,35,1," "," "," "," ",36,36," "," "," "," "," ",100,100,100
2011,05,00010000,Abington,Hispanic/Latino,13,11,2," "," "," "," ",13,11,2," "," "," "," ",13,11,2," "," "," "," ",100,100,100
2011,05,00010000,Abington,White,174,172,2," "," "," "," ",174,171,3," "," "," "," ",174,173,1," "," "," "," ",100,100,100
2011,05,00010000,Abington,"Special Ed",29,25,4," "," "," "," ",29,24,5," "," "," "," ",29,26,3," "," "," "," ",100,100,100
2011,06,00010000,Abington,"All Students",166,163,1," ",2," "," ",166,163,1,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2011,06,00010000,Abington,"Low Income",32,32," "," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00010000,Abington,Hispanic/Latino,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00010000,Abington,White,155,152,1," ",2," "," ",155,152,1,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2011,06,00010000,Abington,"Special Ed",29,28,1," "," "," "," ",29,28,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00010000,Abington,"All Students",166,165," ",1," "," "," ",166,166," "," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,07,00010000,Abington,"Low Income",31,30," ",1," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",97,100," "
2011,07,00010000,Abington,White,149,148," ",1," "," "," ",149,149," "," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,07,00010000,Abington,"Special Ed",24,24," "," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00010000,Abington,"All Students",209,202,5,2," "," "," ",209,199,5,2,3," "," ",209,199,5,2,3," "," ",99,98,98
2011,08,00010000,Abington,"Low Income",26,24,2," "," "," "," ",26,24,2," "," "," "," ",26,24,2," "," "," "," ",100,100,100
2011,08,00010000,Abington,Hispanic/Latino,10,9,1," "," "," "," ",10,9,1," "," "," "," ",10,9,1," "," "," "," ",100,100,100
2011,08,00010000,Abington,White,196,191,3,2," "," "," ",196,188,3,2,3," "," ",196,188,3,2,3," "," ",99,97,97
2011,08,00010000,Abington,"Special Ed",42,36,5,1," "," "," ",42,36,5,1," "," "," ",42,36,5,1," "," "," ",98,98,98
2011,10,00010000,Abington,"All Students",147,144,1,2," "," "," ",146,144,1,1," "," "," ",146,127,1,3," "," ",15,99,99,98
2011,10,00010000,Abington,"Low Income",21,20,1," "," "," "," ",20,19,1," "," "," "," ",20,16,1," "," "," ",3,100,100,100
2011,10,00010000,Abington,White,138,135,1,2," "," "," ",137,135,1,1," "," "," ",137,121,1,3," "," ",12,99,99,98
2011,10,00010000,Abington,"Special Ed",19,16,1,2," "," "," ",19,17,1,1," "," "," ",19,14,1,2," "," ",2,89,95,89
2011,03,00020000,Acton,"All Students",349,347,2," "," "," "," ",349,347,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00020000,Acton,"Low Income",12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00020000,Acton,Asian,99,98,1," "," "," "," ",99,98,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00020000,Acton,White,222,221,1," "," "," "," ",222,221,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00020000,Acton,Multi-race,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00020000,Acton,"LEP/Formerly LEP",22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
