Year,Org_code,DistrictName,SchoolName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,00010003,Abington,"Abington ECC",03,"All Students",160,152," "," "," ",2,6,160,152," "," "," ",2,6," "," "," "," "," "," "," ",99,100," "
2011,00010003,Abington,"Abington ECC",03,"Low Income",38,37," "," "," "," ",1,38,37," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00010003,Abington,"Abington ECC",03,White,149,147," "," "," "," ",2,149,147," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00010003,Abington,"Abington ECC",03,"Special Ed",27,23," "," "," "," ",4,27,23," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2011,00010015,Abington,Woodsdale,04,"All Students",154,148," ",1," "," ",5,154,147," ",2,1," ",4," "," "," "," "," "," "," ",99,98," "
2011,00010015,Abington,Woodsdale,04,"Low Income",42,38," "," "," "," ",4,42,38," "," "," "," ",4," "," "," "," "," "," "," ",100,100," "
2011,00010015,Abington,Woodsdale,04,White,143,140," ",1," "," ",2,143,139," ",1,1," ",2," "," "," "," "," "," "," ",99,99," "
2011,00010015,Abington,Woodsdale,04,"Special Ed",21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00010015,Abington,Woodsdale,05,"All Students",186,182,1," "," "," ",3,186,181,2," "," "," ",3,186,183," "," "," "," ",3,100,100,100
2011,00010015,Abington,Woodsdale,05,"Low Income",36,35," "," "," "," ",1,36,34,1," "," "," ",1,36,35," "," "," "," ",1,100,100,100
2011,00010015,Abington,Woodsdale,05,Hispanic/Latino,11,10," "," "," "," ",1,11,10," "," "," "," ",1,11,10," "," "," "," ",1,100,100,100
2011,00010015,Abington,Woodsdale,05,White,173,170,1," "," "," ",2,173,169,2," "," "," ",2,173,171," "," "," "," ",2,100,100,100
2011,00010015,Abington,Woodsdale,05,"Special Ed",26,25,1," "," "," "," ",26,24,2," "," "," "," ",26,26," "," "," "," "," ",100,100,100
2011,00010015,Abington,Woodsdale,06,"All Students",164,158," "," ",2," ",4,164,158," ",1,1," ",4," "," "," "," "," "," "," ",99,99," "
2011,00010015,Abington,Woodsdale,06,"Low Income",31,29," "," "," "," ",2,31,29," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2011,00010015,Abington,Woodsdale,06,White,154,148," "," ",2," ",4,154,148," ",1,1," ",4," "," "," "," "," "," "," ",99,99," "
2011,00010015,Abington,Woodsdale,06,"Special Ed",27,27," "," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,00010405,Abington,"Frolio Middle School",07,"All Students",164,157," ",1," "," ",6,164,158," "," "," "," ",6," "," "," "," "," "," "," ",99,100," "
2011,00010405,Abington,"Frolio Middle School",07,"Low Income",31,29," ",1," "," ",1,31,30," "," "," "," ",1," "," "," "," "," "," "," ",97,100," "
2011,00010405,Abington,"Frolio Middle School",07,White,147,141," ",1," "," ",5,147,142," "," "," "," ",5," "," "," "," "," "," "," ",99,100," "
2011,00010405,Abington,"Frolio Middle School",07,"Special Ed",23,22," "," "," "," ",1,23,22," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2011,00010405,Abington,"Frolio Middle School",08,"All Students",205,199,2,2," "," ",2,205,196,2,2,3," ",2,205,196,2,2,3," ",2,99,98,98
