Year,Org_code,DistrictName,SchoolName,Subject,Group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2012,00000000,State,State,BIO,"All Students",12688,26,22531,46,10162,21,3732,8,49113
2012,00000000,State,State,BIO,"Non-Low Income",11026,34,15734,49,4552,14,1110,3,32422
2012,00000000,State,State,BIO,"Low Income",1662,10,6797,41,5610,34,2618,16,16687
2012,00000000,State,State,BIO,Male,6332,26,11064,45,5005,20,2119,9,24520
2012,00000000,State,State,BIO,Female,6356,26,11467,47,5157,21,1609,7,24589
2012,00000000,State,State,BIO,"High Needs",2041,9,8639,40,7376,34,3534,16,21590
2012,00000000,State,State,BIO,"Native American",20,13,61,40,51,33,21,14,153
2012,00000000,State,State,BIO,"African American",318,8,1533,41,1284,34,610,16,3745
2012,00000000,State,State,BIO,Asian,1197,45,951,35,366,14,172,6,2686
2012,00000000,State,State,BIO,Hispanic/Latino,493,7,2311,34,2537,38,1397,21,6738
2012,00000000,State,State,BIO,White,10406,30,17189,49,5675,16,1459,4,34729
2012,00000000,State,State,BIO,"Hawaiian/Pacific Islander",15,25,27,44,12,20,7,11,61
2012,00000000,State,State,BIO,"Multi-Race (non-Hispanic/Latino)",239,24,459,46,237,24,62,6,997
2012,00000000,State,State,BIO,"Former ELL",105,11,362,39,347,37,119,13,933
2012,00000000,State,State,BIO,"English Language Learner (ELL)",43,2,368,18,802,39,867,42,2080
2012,00000000,State,State,BIO,"ELL and Former ELL",148,5,730,24,1149,38,986,33,3013
2012,00000000,State,State,BIO,"Students with Disabilities",386,5,2455,29,3180,38,2310,28,8331
2012,00000000,State,State,BIO,"Non-Title I",11982,30,19080,47,6982,17,2355,6,40399
2012,00000000,State,State,BIO,"Title I",706,8,3451,40,3180,37,1373,16,8710
2012,00000000,State,State,CHE,"All Students",391,28,466,33,319,23,235,17,1411
2012,00000000,State,State,CHE,"Non-Low Income",336,32,374,36,220,21,114,11,1044
2012,00000000,State,State,CHE,"Low Income",55,15,92,25,99,27,120,33,366
2012,00000000,State,State,CHE,Male,220,31,233,33,129,18,125,18,707
2012,00000000,State,State,CHE,Female,171,24,233,33,190,27,110,16,704
2012,00000000,State,State,CHE,"High Needs",69,13,135,25,140,26,192,36,536
2012,00000000,State,State,CHE,"African American",22,11,48,24,70,35,58,29,198
2012,00000000,State,State,CHE,Asian,42,38,47,42,17,15,6,5,112
2012,00000000,State,State,CHE,Hispanic/Latino,17,11,26,16,39,25,77,48,159
2012,00000000,State,State,CHE,White,292,33,327,37,185,21,87,10,891
2012,00000000,State,State,CHE,"Multi-Race (non-Hispanic/Latino)",17,36,18,38,7,15,5,11,47
2012,00000000,State,State,CHE,"English Language Learner (ELL)",1,1,17,18,17,18,62,64,97
2012,00000000,State,State,CHE,"ELL and Former ELL",3,3,20,19,19,18,62,60,104
2012,00000000,State,State,CHE,"Students with Disabilities",15,9,31,18,40,23,87,50,173
2012,00000000,State,State,CHE,"Non-Title I",387,31,451,36,265,21,134,11,1237
2012,00000000,State,State,CHE,"Title I",4,2,15,9,54,31,100,58,173
2012,00000000,State,State,PHY,"All Students",3496,20,7448,43,4574,26,1923,11,17441
2012,00000000,State,State,PHY,"Non-Low Income",3117,28,5390,48,2187,20,462,4,11156
2012,00000000,State,State,PHY,"Low Income",379,6,2058,33,2387,38,1461,23,6285
2012,00000000,State,State,PHY,Male,1999,22,3694,41,2211,25,1050,12,8954
