Year,Org_code,DistrictName,SchoolName,Subject,Grade,tested,wptopdev,wpcompconv,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2012,00010003,Abington,"Beaver Brook Elementary School",ELA,03,167," "," ",0.72,0.82,0.86,0.95,0.82,0.66,0.84,0.83,0.89,0.72,1.26,1.23,0.83,0.7,0.81,0.59,0.72,0.82,0.83,0.94,0.7,0.82,0.8,0.72,0.78,0.8,0.66,2.08,0.94,0.64,0.57,0.73,0.84,1.26,0.84,0.86,0.46,0.83,0.67,0.77,1.14," "," "," "," "
2012,00010003,Abington,"Beaver Brook Elementary School",MATH,03,167," "," ",0.87,0.91,0.37,0.96,1.14,0.67,0.78,0.75,0.87,0.94,0.69,0.95,0.68,0.61,0.78,0.81,0.77,0.41,0.88,0.78,0.62,0.84,0.84,0.82,0.82,0.83,0.84,0.83,0.58,0.85,1.19,0.78,0.75,0.85,0.91,1.2," "," "," "," "," "," "," "," "," "
2012,00010003,Abington,"Beaver Brook Elementary School",ELA,04,151,6.31,6.21,0.85,0.9,0.83,0.89,0.83,1.79,0.79,0.73,0.59,0.81,0.77,0.77,0.81,0.79,0.82,0.86,1.88,0.72,0.81,0.92,0.94,0.77,0.7,2.23,0.81,0.73,0.74,0.64,0.78,0.69,0.74,0.68,0.77,0.7,1.64,0.85,0.88,0.76,0.64,0.64," "," "," "," "," "
2012,00010003,Abington,"Beaver Brook Elementary School",MATH,04,152," "," ",0.91,0.74,0.72,0.66,0.81,0.72,2.15,0.43,0.79,0.8,0.51,0.77,0.66,0.62,0.56,0.76,0.88,0.57,2.92,0.85,0.5,0.88,0.74,0.61,0.84,0.86,0.5,0.66,0.76,2.39,0.84,0.61,0.61,0.66,0.51,0.7,0.65,0.7,0.8,0.52,0.56,2.82," "," "," "
2012,00010015,Abington,"Woodsdale Elementary School",ELA,05,150," "," ",0.92,0.92,0.78,0.7,0.93,0.86,2.57,0.77,0.9,0.85,0.55,0.61,0.93,0.95,0.95,0.69,0.87,2.16,0.64,0.94,0.61,0.77,0.65,1.92,0.86,0.82,0.85,0.63,0.79,0.63,0.68,0.88,0.85,0.78,2.06,0.63,0.71,0.73,0.63,0.63," "," "," "," "," "
2012,00010015,Abington,"Woodsdale Elementary School",MATH,05,150," "," ",0.85,0.83,0.72,0.52,2.31,0.84,0.65,0.69,0.76,0.66,0.85,0.57,0.76,0.73,0.91,0.74,0.48,0.71,0.64,0.74,2.11,0.95,0.95,0.55,0.84,0.73,0.54,0.67,0.62,0.78,0.74,2.34,0.82,0.84,0.66,0.7,0.83,0.95,0.75,2.67,0.79,0.66," "," "," "
2012,00010015,Abington,"Woodsdale Elementary School",SCI,05,150," "," ",0.97,0.81,0.64,0.9,0.91,0.74,1.55,0.94,0.41,0.83,0.36,0.55,0.87,0.54,0.85,0.81,0.85,0.75,0.6,0.66,1.77,0.61,0.47,0.73,0.77,0.6,0.47,0.92,0.62,0.69,0.77,0.87,2.46,0.91,0.57,0.25,0.87,0.89,0.57,0.88,0.71,1.61," "," "," "
2012,00010015,Abington,"Woodsdale Elementary School",ELA,06,178," "," ",0.63,0.8,0.89,0.6,0.86,0.82,2.49,0.87,0.63,0.8,0.88,0.68,0.91,0.84,0.69,0.6,0.74,2.19,0.9,0.52,0.63,0.71,0.74,2.18,0.9,0.88,0.88,0.65,0.95,0.8,0.84,0.93,0.64,0.92,2.3,0.6,0.7,0.78,0.95,0.71," "," "," "," "," "
2012,00010015,Abington,"Woodsdale Elementary School",MATH,06,178," "," ",0.93,0.97,0.87,0.93,0.7,0.64,0.78,0.62,0.73,0.78,0.62,2.67,0.81,0.74,0.75,0.9,0.17,2.68,0.89,0.52,0.48,0.75,0.84,0.73,0.7,2.79,0.58,0.81,0.81,0.69,0.92,0.62,0.76,0.75,0.79,0.68,0.81,0.86,0.86,0.89,0.81,2.71," "," "," "
2012,00010405,Abington,"Frolio Middle School",ELA,07,161,6.63,6.58,0.78,0.63,0.83,0.8,0.74,0.89,2.52,0.93,0.9,0.83,0.69,0.84,0.88,0.92,0.75,0.71,0.58,0.95,2.51,0.85,0.63,0.7,0.74,0.94,1.93,0.8,0.92,0.69,0.51,0.63,0.79,0.71,0.85,0.91,2.2,0.83,0.7,0.45,0.44,0.68," "," "," "," "," "
2012,00010405,Abington,"Frolio Middle School",MATH,07,163," "," ",0.77,0.81,0.69,0.63,0.72,0.58,0.47,3.01,0.61,0.75,2.26,0.85,0.63,0.51,0.66,0.67,0.53,0.45,0.85,0.6,0.43,0.86,0.51,0.7,0.84,0.81,0.74,0.68,0.83,0.64,0.65,0.76,0.64,0.51,0.67,0.4,0.61,0.64,2.18,0.56,0.72,2.66," "," "," "
