Year,Org_code,DistrictName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,00000000,State,03,"All Students",01,71333,69439,1270,160,68,396," ",71437,69510,1253,131,69,474," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,03,"Students with Disabilities",02,12962,11556,1270,73,33,30," ",12959,11557,1253,76,42,31," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,03,"ELL and Former ELL",03,9283,8682,147,61,6,387," ",9358,8722,139,27,7,463," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,03,"Low Income",04,26870,25748,714,83,32,293," ",26923,25771,702,62,37,351," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,03,"African American",05,5687,5442,154,27,6,58," ",5703,5455,156,11,8,73," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,03,Asian,06,4459,4318,49,22,1,69," ",4474,4326,47,18,3,80," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,03,Hispanic/Latino,07,11794,11209,324,41,14,206," ",11848,11242,319,27,14,246," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,03,"Native American",08,191,189,2," "," "," "," ",190,188,1,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2012,00000000,State,03,White,09,46853,45977,709,66,44,57," ",46874,45995,696,74,40,69," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,03,"Hawaiian/Pacific Islander",10,79,71,3," ",1,4," ",78,71,3," "," ",4," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,03,"Multi-Race (non-Hispanic/Latino)",11,2249,2217,24,4,2,2," ",2249,2217,26," ",4,2," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,04,"All Students",01,70987,68873,1391,206,111,406," ",71094,69032,1393,110,87,472," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,04,"Students with Disabilities",02,13426,11886,1391,80,47,22," ",13434,11928,1393,53,37,23," "," "," "," "," "," "," "," ",99,99," "
2012,00000000,State,04,"ELL and Former ELL",03,8719,8067,169,75,10,398," ",8783,8128,165,23,10,457," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,"Low Income",04,26526,25318,756,116,44,292," ",26592,25417,742,51,43,339," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,"African American",05,5806,5547,157,29,7,66," ",5814,5559,156,15,7,77," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,Asian,06,4274,4098,82,15,8,71," ",4292,4114,80,11,2,85," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,Hispanic/Latino,07,11419,10832,316,52,11,208," ",11468,10890,312,19,10,237," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,"Native American",08,163,157,5,1," "," "," ",163,158,5," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,04,White,09,47172,46153,789,95,80,55," ",47205,46219,797,59,64,66," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,04,"Hawaiian/Pacific Islander",10,72,70," "," "," ",2," ",73,71," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,04,"Multi-Race (non-Hispanic/Latino)",11,2060,1998,39,14,5,4," ",2057,2003,40,6,4,4," "," "," "," "," "," "," "," ",99,100," "
2012,00000000,State,05,"All Students",01,72094,69989,1434,137,113,421," ",72174,70035,1449,98,94,498," ",72170,70107,1266,172,125,500," ",100,100,100
2012,00000000,State,05,"Students with Disabilities",02,13899,12347,1434,44,45,29," ",13895,12336,1449,43,39,28," ",13894,12476,1266,69,55,28," ",99,99,99
2012,00000000,State,05,"ELL and Former ELL",03,7754,7091,179,59,9,416," ",7816,7119,177,25,5,490," ",7814,7123,159,34,6,492," ",99,100,99
2012,00000000,State,05,"Low Income",04,27006,25797,774,75,45,315," ",27036,25804,778,51,40,363," ",27035,25863,668,94,46,364," ",100,100,99
2012,00000000,State,05,"African American",05,5980,5712,184,17,7,60," ",5988,5720,180,10,5,73," ",5988,5717,164,26,8,73," ",100,100,99
2012,00000000,State,05,Asian,06,4186,4047,50,7,4,78," ",4203,4056,47,6,3,91," ",4201,4055,45,7,3,91," ",100,100,100
2012,00000000,State,05,Hispanic/Latino,07,11190,10558,349,42,25,216," ",11229,10586,348,21,13,261," ",11231,10606,308,38,16,263," ",99,100,100
2012,00000000,State,05,"Native American",08,161,155,6," "," "," "," ",161,157,4," "," "," "," ",161,156,4,1," "," "," ",100,100,99
2012,00000000,State,05,White,09,48361,47352,808,66,73,62," ",48374,47352,830,57,70,65," ",48370,47407,709,95,94,65," ",100,100,100
2012,00000000,State,05,"Hawaiian/Pacific Islander",10,92,85,3,1," ",3," ",92,86,3," "," ",3," ",92,86,3," "," ",3," ",99,100,100
2012,00000000,State,05,"Multi-Race (non-Hispanic/Latino)",11,2090,2053,29,4,3,1," ",2097,2056,32,4,2,3," ",2097,2058,28,5,3,3," ",100,100,100
2012,00000000,State,06,"All Students",01,72314,70239,1350,173,125,427," ",72397,70258,1382,142,120,495," "," "," "," "," "," "," "," ",100,100," "
2012,00000000,State,06,"Students with Disabilities",02,13800,12311,1350,75,44,20," ",13809,12292,1382,66,48,21," "," "," "," "," "," "," "," ",99,99," "
