Year,Org_code,DistrictName,SchoolName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,00010003,Abington,"Beaver Brook Elementary School",03,"All Students",01,176,167,1," "," ",2,6,176,167,1," "," ",2,6," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",03,"Students with Disabilities",02,25,24,1," "," "," "," ",25,24,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",03,"Low Income",04,34,29," "," "," "," ",5,34,29," "," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",03,White,09,167,159,1," "," ",2,5,167,159,1," "," ",2,5," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",04,"All Students",01,158,151,3," ",1,1,2,158,152,2," ",1,1,2," "," "," "," "," "," "," ",99,99," "
2012,00010003,Abington,"Beaver Brook Elementary School",04,"Students with Disabilities",02,24,21,3," "," "," "," ",24,22,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",04,"Low Income",04,40,36,2," "," ",1,1,40,37,1," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2012,00010003,Abington,"Beaver Brook Elementary School",04,White,09,149,143,3," ",1," ",2,149,144,2," ",1," ",2," "," "," "," "," "," "," ",99,99," "
2012,00010015,Abington,"Woodsdale Elementary School",05,"All Students",01,153,150," ",1," "," ",2,152,150," "," "," "," ",2,152,150," "," "," "," ",2,99,100,100
2012,00010015,Abington,"Woodsdale Elementary School",05,"Students with Disabilities",02,30,27," ",1," "," ",2,30,28," "," "," "," ",2,30,28," "," "," "," ",2,97,100,100
2012,00010015,Abington,"Woodsdale Elementary School",05,"Low Income",04,44,42," ",1," "," ",1,44,43," "," "," "," ",1,44,43," "," "," "," ",1,98,100,100
