adminyear,org_code,DistrictName,subject,group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2013,00000000,State,BIO,"All Students",15196,31,20634,42,9746,20,3763,8,49339
2013,00000000,State,BIO,"Non-Low Income",13016,40,13914,43,4191,13,1098,3,32219
2013,00000000,State,BIO,"Low Income",2178,13,6706,39,5510,32,2624,15,17018
2013,00000000,State,BIO,Male,7401,30,10174,41,4938,20,2212,9,24725
2013,00000000,State,BIO,Female,7795,32,10450,43,4785,19,1534,6,24564
2013,00000000,State,BIO,"High Needs",2579,12,8533,39,7235,33,3530,16,21877
2013,00000000,State,BIO,"Native American",20,15,64,47,38,28,13,10,135
2013,00000000,State,BIO,"African American",416,11,1487,39,1280,34,623,16,3806
2013,00000000,State,BIO,Asian,1395,50,873,32,370,13,131,5,2769
2013,00000000,State,BIO,Hispanic/Latino,688,10,2360,34,2446,36,1371,20,6865
2013,00000000,State,BIO,White,12349,36,15380,45,5318,15,1500,4,34547
2013,00000000,State,BIO,"Hawaiian/Pacific Islander",21,40,20,38,5,10,6,12,52
2013,00000000,State,BIO,"Multi-Race (non-Hispanic/Latino)",305,29,436,41,244,23,78,7,1063
2013,00000000,State,BIO,"Former ELL",109,10,432,38,414,37,170,15,1125
2013,00000000,State,BIO,"English Language Learner (ELL)",39,2,300,15,803,40,855,43,1997
2013,00000000,State,BIO,"ELL and Former ELL",148,5,732,23,1217,39,1025,33,3122
2013,00000000,State,BIO,everELL,973,14,2185,32,2252,33,1401,21,6811
2013,00000000,State,BIO,"Students with Disabilities",417,5,2387,29,3165,38,2264,27,8233
2013,00000000,State,BIO,"Non-Title I",13883,35,16715,43,6370,16,2200,6,39168
2013,00000000,State,BIO,"Title I",1311,13,3905,39,3331,33,1522,15,10069
2013,00000000,State,CHE,"All Students",346,29,436,36,253,21,170,14,1205
2013,00000000,State,CHE,"Non-Low Income",309,35,339,38,154,17,82,9,884
2013,00000000,State,CHE,"Low Income",36,11,97,30,98,31,88,28,319
2013,00000000,State,CHE,Male,168,28,222,37,119,20,85,14,594
2013,00000000,State,CHE,Female,178,29,214,35,133,22,85,14,610
2013,00000000,State,CHE,"High Needs",46,11,117,27,130,30,141,32,434
2013,00000000,State,CHE,"African American",18,11,46,28,54,33,44,27,162
2013,00000000,State,CHE,Asian,46,46,31,31,16,16,6,6,99
