adminyear,org_code,DistrictName,SchoolName,subject,group,sadv_num,sadv_per,spro_num,spro_per,sni_num,sni_per,swf_num,swf_per,stotal
2013,00010505,Abington,"Abington High",BIO,"All Students",36,33,51,46,16,15,7,6,110
2013,00010505,Abington,"Abington High",BIO,"Non-Low Income",31,39,37,47,9,11,2,3,79
2013,00010505,Abington,"Abington High",BIO,"Low Income",5,16,14,45,7,23,5,16,31
2013,00010505,Abington,"Abington High",BIO,Male,21,36,26,45,7,12,4,7,58
2013,00010505,Abington,"Abington High",BIO,Female,15,29,25,48,9,17,3,6,52
2013,00010505,Abington,"Abington High",BIO,"High Needs",6,17,15,42,9,25,6,17,36
2013,00010505,Abington,"Abington High",BIO,White,36,36,45,45,12,12,7,7,100
2013,00010505,Abington,"Abington High",BIO,"Students with Disabilities",1,8,1,8,5,38,6,46,13
2013,00010505,Abington,"Abington High",BIO,"Non-Title I",36,33,51,46,16,15,7,6,110
2013,00050505,Agawam,"Agawam High",BIO,"All Students",27,63,6,14,2,5,8,19,43
2013,00050505,Agawam,"Agawam High",BIO,"Non-Low Income",20,74,5,19,0,0,2,7,27
2013,00050505,Agawam,"Agawam High",BIO,"Low Income",7,44,1,6,2,13,6,38,16
2013,00050505,Agawam,"Agawam High",BIO,Male,6,50,1,8,2,17,3,25,12
2013,00050505,Agawam,"Agawam High",BIO,Female,21,68,5,16,0,0,5,16,31
2013,00050505,Agawam,"Agawam High",BIO,"High Needs",7,39,1,6,2,11,8,44,18
2013,00050505,Agawam,"Agawam High",BIO,White,26,68,4,11,1,3,7,18,38
2013,00050505,Agawam,"Agawam High",BIO,"Non-Title I",27,63,6,14,2,5,8,19,43
2013,00050505,Agawam,"Agawam High",PHY,"All Students",46,18,119,45,80,31,17,6,262
2013,00050505,Agawam,"Agawam High",PHY,"Non-Low Income",38,20,89,47,50,26,12,6,189
2013,00050505,Agawam,"Agawam High",PHY,"Low Income",8,11,30,41,30,41,5,7,73
2013,00050505,Agawam,"Agawam High",PHY,Male,31,23,65,48,34,25,6,4,136
2013,00050505,Agawam,"Agawam High",PHY,Female,15,12,54,43,46,37,11,9,126
2013,00050505,Agawam,"Agawam High",PHY,"High Needs",8,9,34,37,42,45,9,10,93
2013,00050505,Agawam,"Agawam High",PHY,Hispanic/Latino,2,15,2,15,8,62,1,8,13
2013,00050505,Agawam,"Agawam High",PHY,White,43,18,111,46,69,29,16,7,239
2013,00050505,Agawam,"Agawam High",PHY,everELL,2,14,5,36,6,43,1,7,14
2013,00050505,Agawam,"Agawam High",PHY,"Students with Disabilities",0,0,8,22,23,62,6,16,37
2013,00050505,Agawam,"Agawam High",PHY,"Non-Title I",46,18,119,45,80,31,17,6,262
2013,00050505,Agawam,"Agawam High",TEC,"All Students",1,4,11,42,14,54,0,0,26
2013,00050505,Agawam,"Agawam High",TEC,"Non-Low Income",0,0,6,46,7,54,0,0,13
2013,00050505,Agawam,"Agawam High",TEC,"Low Income",1,8,5,38,7,54,0,0,13
2013,00050505,Agawam,"Agawam High",TEC,Male,1,6,8,44,9,50,0,0,18
2013,00050505,Agawam,"Agawam High",TEC,"High Needs",1,6,6,38,9,56,0,0,16
2013,00050505,Agawam,"Agawam High",TEC,White,0,0,10,43,13,57,0,0,23
2013,00050505,Agawam,"Agawam High",TEC,"Non-Title I",1,4,11,42,14,54,0,0,26
2013,00070505,Amesbury,"Amesbury High",BIO,"All Students",65,37,77,43,31,17,5,3,178
2013,00070505,Amesbury,"Amesbury High",BIO,"Non-Low Income",63,45,59,42,15,11,3,2,140
2013,00070505,Amesbury,"Amesbury High",BIO,"Low Income",2,5,18,47,16,42,2,5,38
2013,00070505,Amesbury,"Amesbury High",BIO,Male,33,35,43,46,16,17,1,1,93
2013,00070505,Amesbury,"Amesbury High",BIO,Female,32,38,34,40,15,18,4,5,85
2013,00070505,Amesbury,"Amesbury High",BIO,"High Needs",3,5,23,42,24,44,5,9,55
2013,00070505,Amesbury,"Amesbury High",BIO,White,62,39,67,42,25,16,5,3,159
2013,00070505,Amesbury,"Amesbury High",BIO,"Students with Disabilities",1,3,9,31,14,48,5,17,29
2013,00070505,Amesbury,"Amesbury High",BIO,"Non-Title I",65,37,77,43,31,17,5,3,178
2013,00090505,Andover,"Andover High",PHY,"All Students",177,40,192,44,70,16,1,0,440
2013,00090505,Andover,"Andover High",PHY,"Non-Low Income",174,42,181,44,60,14,0,0,415
2013,00090505,Andover,"Andover High",PHY,"Low Income",3,12,11,44,10,40,1,4,25
2013,00090505,Andover,"Andover High",PHY,Male,99,46,88,41,26,12,0,0,213
2013,00090505,Andover,"Andover High",PHY,Female,78,34,104,46,44,19,1,0,227
2013,00090505,Andover,"Andover High",PHY,"High Needs",9,11,37,45,35,43,1,1,82
2013,00090505,Andover,"Andover High",PHY,Asian,41,65,17,27,5,8,0,0,63
2013,00090505,Andover,"Andover High",PHY,Hispanic/Latino,1,6,6,33,10,56,1,6,18
2013,00090505,Andover,"Andover High",PHY,White,129,38,159,47,50,15,0,0,338
2013,00090505,Andover,"Andover High",PHY,"Multi-Race (non-Hispanic/Latino)",5,38,6,46,2,15,0,0,13
2013,00090505,Andover,"Andover High",PHY,everELL,2,13,6,38,7,44,1,6,16
2013,00090505,Andover,"Andover High",PHY,"Students with Disabilities",5,8,28,44,30,47,1,2,64
2013,00090505,Andover,"Andover High",PHY,"Non-Title I",177,40,192,44,70,16,1,0,440
2013,00100505,Arlington,"Arlington High",BIO,"All Students",1,8,6,46,5,38,1,8,13
2013,00100505,Arlington,"Arlington High",BIO,"Non-Title I",1,8,6,46,5,38,1,8,13
2013,00100505,Arlington,"Arlington High",PHY,"All Students",145,49,117,39,34,11,1,0,297
2013,00100505,Arlington,"Arlington High",PHY,"Non-Low Income",137,52,104,39,25,9,0,0,266
2013,00100505,Arlington,"Arlington High",PHY,"Low Income",8,26,13,42,9,29,1,3,31
2013,00100505,Arlington,"Arlington High",PHY,Male,72,51,58,41,10,7,1,1,141
2013,00100505,Arlington,"Arlington High",PHY,Female,73,47,59,38,24,15,0,0,156
2013,00100505,Arlington,"Arlington High",PHY,"High Needs",14,21,29,44,22,33,1,2,66
2013,00100505,Arlington,"Arlington High",PHY,"African American",2,17,7,58,3,25,0,0,12
2013,00100505,Arlington,"Arlington High",PHY,Asian,23,68,9,26,2,6,0,0,34
2013,00100505,Arlington,"Arlington High",PHY,Hispanic/Latino,2,17,9,75,1,8,0,0,12
2013,00100505,Arlington,"Arlington High",PHY,White,117,50,91,39,27,11,1,0,236
2013,00100505,Arlington,"Arlington High",PHY,"ELL and Former ELL",3,27,6,55,1,9,1,9,11
2013,00100505,Arlington,"Arlington High",PHY,everELL,19,49,15,38,4,10,1,3,39
2013,00100505,Arlington,"Arlington High",PHY,"Students with Disabilities",5,14,15,43,15,43,0,0,35
2013,00100505,Arlington,"Arlington High",PHY,"Non-Title I",145,49,117,39,34,11,1,0,297
2013,00140505,Ashland,"Ashland High",BIO,"All Students",88,48,75,41,18,10,3,2,184
2013,00140505,Ashland,"Ashland High",BIO,"Non-Low Income",83,50,67,40,14,8,2,1,166
2013,00140505,Ashland,"Ashland High",BIO,"Low Income",5,28,8,44,4,22,1,6,18
2013,00140505,Ashland,"Ashland High",BIO,Male,45,47,40,42,8,8,2,2,95
2013,00140505,Ashland,"Ashland High",BIO,Female,43,48,35,39,10,11,1,1,89
2013,00140505,Ashland,"Ashland High",BIO,"High Needs",8,20,19,48,10,25,3,8,40
2013,00140505,Ashland,"Ashland High",BIO,White,77,48,68,42,13,8,3,2,161
2013,00140505,Ashland,"Ashland High",BIO,"Students with Disabilities",3,12,12,46,8,31,3,12,26
2013,00140505,Ashland,"Ashland High",BIO,"Non-Title I",88,48,75,41,18,10,3,2,184
2013,00160505,Attleboro,"Attleboro High",BIO,"All Students",1,5,2,11,2,11,14,74,19
2013,00160505,Attleboro,"Attleboro High",BIO,"Non-Low Income",1,9,2,18,1,9,7,64,11
2013,00160505,Attleboro,"Attleboro High",BIO,Male,1,8,2,15,0,0,10,77,13
2013,00160505,Attleboro,"Attleboro High",BIO,"High Needs",0,0,1,6,1,6,14,88,16
2013,00160505,Attleboro,"Attleboro High",BIO,White,1,7,1,7,2,14,10,71,14
2013,00160505,Attleboro,"Attleboro High",BIO,"Students with Disabilities",0,0,1,7,0,0,13,93,14
2013,00160505,Attleboro,"Attleboro High",BIO,"Non-Title I",1,5,2,11,2,11,14,74,19
2013,00160505,Attleboro,"Attleboro High",PHY,"All Students",72,18,198,49,115,28,22,5,407
2013,00160505,Attleboro,"Attleboro High",PHY,"Non-Low Income",61,23,139,53,57,22,7,3,264
2013,00160505,Attleboro,"Attleboro High",PHY,"Low Income",11,8,59,41,58,41,15,10,143
2013,00160505,Attleboro,"Attleboro High",PHY,Male,42,19,111,50,54,25,13,6,220
2013,00160505,Attleboro,"Attleboro High",PHY,Female,30,16,87,47,61,33,9,5,187
2013,00160505,Attleboro,"Attleboro High",PHY,"High Needs",11,6,66,39,73,43,20,12,170
2013,00160505,Attleboro,"Attleboro High",PHY,"African American",0,0,12,55,8,36,2,9,22
2013,00160505,Attleboro,"Attleboro High",PHY,Asian,7,35,5,25,8,40,0,0,20
2013,00160505,Attleboro,"Attleboro High",PHY,Hispanic/Latino,3,7,14,33,19,45,6,14,42
2013,00160505,Attleboro,"Attleboro High",PHY,White,60,20,153,51,73,24,13,4,299
2013,00160505,Attleboro,"Attleboro High",PHY,"Multi-Race (non-Hispanic/Latino)",2,10,12,60,6,30,0,0,20
2013,00160505,Attleboro,"Attleboro High",PHY,"English Language Learner (ELL)",0,0,1,8,9,75,2,17,12
2013,00160505,Attleboro,"Attleboro High",PHY,"ELL and Former ELL",1,6,2,11,13,72,2,11,18
2013,00160505,Attleboro,"Attleboro High",PHY,everELL,7,14,19,38,20,40,4,8,50
