adminyear,grade,org_code,DistrictName,SchoolName,subject,tested,wptopdev,wpcompconv,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45
2013,03,00010003,Abington,"Beaver Brook Elementary School",ELA,154,,,0.89,0.9,0.79,0.94,0.65,0.86,0.66,0.85,0.88,0.83,1.48,0.73,0.89,0.9,0.82,0.79,0.55,1.18,0.69,0.89,0.79,0.69,0.88,1.45,0.74,0.95,0.94,0.66,0.92,0.93,0.71,0.86,0.67,0.81,1.13,1.26,0.71,0.76,0.54,0.63,0.81,,,,
2013,03,00010003,Abington,"Beaver Brook Elementary School",MTH,154,,,0.88,0.78,0.71,0.47,0.71,0.88,0.84,1.34,0.82,0.68,0.65,0.77,0.16,0.82,0.38,0.17,0.84,1.64,0.69,0.67,0.66,0.92,0.86,0.84,0.66,1.26,0.63,0.68,0.9,0.8,0.75,0.85,0.97,0.64,0.69,0.67,,,,,,,,,
2013,04,00010003,Abington,"Beaver Brook Elementary School",ELA,172,5.97,5.9,0.72,0.84,0.81,0.72,0.75,0.77,2.03,0.7,0.73,0.73,0.69,0.72,1.87,0.8,0.77,0.87,0.87,0.7,0.83,0.9,0.85,0.67,0.7,0.85,0.69,0.82,0.86,0.72,1.92,0.72,0.72,0.74,0.72,0.76,0.91,0.75,0.42,0.92,0.87,1.69,,,,,
2013,04,00010003,Abington,"Beaver Brook Elementary School",MTH,172,,,0.84,0.65,0.99,0.53,0.84,0.83,1.49,0.71,0.73,0.76,0.58,0.62,0.88,0.81,0.73,0.88,0.63,0.44,0.41,0.78,1.54,0.74,0.58,0.83,0.7,0.61,0.67,0.92,0.96,1.95,0.94,0.69,0.63,0.42,0.61,0.77,1.66,0.84,0.9,0.52,0.71,0.76,,,
2013,05,00010015,Abington,"Woodsdale Elementary School",ELA,153,,,0.65,0.79,0.84,0.65,0.84,0.78,1.83,0.92,0.76,0.53,0.62,0.54,0.74,0.95,0.81,0.86,0.83,2.38,0.96,0.67,0.67,0.67,0.81,2.37,0.9,0.61,0.86,0.89,0.52,0.73,0.89,0.9,0.8,0.75,2.16,0.61,0.68,0.9,0.85,0.84,,,,,
2013,05,00010015,Abington,"Woodsdale Elementary School",MTH,153,,,0.91,0.8,0.69,0.42,2.41,0.8,0.88,0.66,0.5,0.74,0.93,0.82,0.85,0.82,0.58,0.84,0.71,0.62,2.13,0.61,0.63,0.99,0.78,0.76,0.83,0.94,0.71,0.93,0.84,0.89,0.68,2.3,0.61,0.84,0.82,0.91,0.97,0.8,0.52,0.7,0.76,2.38,,,
2013,05,00010015,Abington,"Woodsdale Elementary School",SCI,153,,,0.71,0.47,0.6,0.61,0.92,0.5,0.84,0.45,0.87,1.39,0.37,0.57,0.76,0.86,0.55,0.78,0.61,0.39,0.61,0.63,1.86,0.92,0.95,0.63,0.57,0.65,0.82,0.3,0.67,1.07,0.88,0.89,0.41,0.84,0.89,0.56,0.91,0.9,0.78,0.75,0.83,2.18,,,
2013,06,00010015,Abington,"Woodsdale Elementary School",ELA,149,,,0.97,0.74,0.96,0.89,0.84,2.91,0.85,0.58,0.9,0.71,0.84,0.7,2.23,0.78,0.85,0.79,0.79,0.94,0.8,0.93,0.7,0.83,0.75,2.36,0.83,0.47,0.86,0.52,0.66,0.87,0.69,0.61,0.72,0.86,1.98,0.81,0.64,0.64,0.92,0.69,,,,,
2013,06,00010015,Abington,"Woodsdale Elementary School",MTH,149,,,0.56,0.77,0.7,0.86,0.52,0.66,0.85,0.62,0.44,0.52,2.93,0.62,0.45,0.55,0.89,0.89,0.28,3.15,0.91,0.66,0.65,0.87,0.85,0.89,0.75,2.74,0.83,0.87,0.75,0.9,0.91,0.81,0.7,0.83,0.48,0.72,0.5,0.61,0.72,0.77,0.78,2.49,,,
2013,07,00010405,Abington,"Frolio Middle School",ELA,175,6.66,6.61,0.69,0.76,0.87,0.7,0.75,0.63,0.93,2.63,0.92,0.81,0.71,0.65,0.75,2.01,0.89,0.87,0.75,0.72,0.89,0.7,0.9,0.6,2.04,0.78,0.84,0.73,0.81,0.9,0.69,0.85,0.69,0.82,0.85,2.45,0.77,0.72,0.69,0.79,0.91,0.59,,,,,
2013,07,00010405,Abington,"Frolio Middle School",MTH,176,,,0.89,0.8,0.6,0.68,0.57,0.91,3.06,0.64,0.53,0.68,0.81,0.58,0.75,0.57,0.44,0.35,0.38,0.76,0.81,0.72,1.84,0.73,0.87,0.57,0.28,0.41,0.85,0.46,0.68,0.45,2.14,0.93,0.79,0.91,0.85,0.33,0.74,0.75,0.85,2.39,0.9,0.69,,,
2013,08,00010405,Abington,"Frolio Middle School",ELA,161,,,0.82,0.84,0.82,0.58,0.9,0.68,0.88,2.45,0.81,0.63,0.71,0.89,0.91,0.97,0.63,0.76,0.53,0.68,2.48,0.72,0.8,0.76,0.79,2.49,0.74,0.93,0.99,0.88,0.91,0.75,0.88,0.9,0.76,0.77,2.8,0.92,0.66,0.61,0.6,0.75,,,,,
2013,08,00010405,Abington,"Frolio Middle School",MTH,160,,,0.86,0.77,0.71,0.35,0.73,0.76,0.52,0.57,0.52,0.63,1.56,0.83,0.72,0.91,0.85,0.58,0.69,0.34,0.73,2.63,0.59,0.7,0.51,0.82,0.38,0.79,0.76,1.75,0.81,0.69,0.49,0.74,0.79,0.66,0.92,0.89,0.58,0.44,0.84,0.89,0.34,2.1,,,
2013,08,00010405,Abington,"Frolio Middle School",SCI,160,,,0.86,0.68,0.83,0.6,0.64,0.49,0.49,0.62,2.83,2.25,0.58,0.77,0.76,0.36,0.59,0.78,0.89,0.48,0.49,0.54,0.6,0.8,0.87,0.79,0.39,0.66,0.91,0.33,0.41,0.85,0.53,0.93,0.98,0.25,0.9,0.94,0.61,0.5,0.55,0.38,1.84,1.88,,,
2013,10,00010505,Abington,"Abington High",ELA,122,7.15,7.07,0.89,1,0.99,0.75,0.93,0.81,0.89,0.88,2.5,0.84,0.71,0.79,0.81,0.8,0.76,0.61,0.68,2.39,0.81,0.87,0.85,0.75,0.79,0.81,0.79,0.76,2.31,0.89,0.86,0.8,0.77,0.75,0.86,0.89,2.71,0.78,0.77,0.82,0.92,0.81,,,,,
2013,10,00010505,Abington,"Abington High",MTH,126,,,0.75,0.6,0.71,0.67,0.47,0.59,0.86,0.79,0.63,0.75,0.57,0.42,0.65,0.67,0.75,0.51,2.77,0.79,0.56,2.02,2.3,0.84,0.63,0.62,0.44,0.75,0.44,0.64,0.46,0.77,3.04,0.64,0.68,0.82,0.37,0.76,0.42,0.79,0.75,0.48,2.59,2.1,,,
2013,HS,00010505,Abington,"Abington High",BIO,110,,,0.87,0.7,0.93,0.89,0.9,0.69,0.79,0.66,0.46,0.5,0.69,2.14,0.69,0.74,0.8,0.68,0.62,0.77,0.83,0.6,0.79,0.9,1.41,0.72,0.86,0.73,0.56,0.95,0.88,0.57,0.82,2.08,0.7,0.76,0.96,0.77,0.83,0.61,0.84,0.64,0.69,0.62,0.93,2.63,2.73
2013,03,00020010,Acton,Merriam,ELA,92,,,0.88,0.93,0.78,0.96,0.74,0.76,0.8,0.91,0.95,0.84,1.89,0.8,0.91,0.99,0.88,0.86,0.74,1.14,0.82,0.98,0.75,0.86,0.91,1.64,0.88,0.99,0.95,0.76,0.98,0.93,0.7,0.9,0.85,0.91,1.21,1.21,0.76,0.8,0.67,0.73,0.92,,,,
2013,03,00020010,Acton,Merriam,MTH,92,,,0.96,0.78,0.76,0.6,0.84,0.91,0.86,1.61,0.88,0.87,0.88,0.71,0.47,0.98,0.35,0.57,0.92,1.78,0.88,0.83,0.82,0.95,0.9,0.88,0.85,1.63,0.73,0.86,0.93,0.89,0.77,0.93,1.43,0.75,0.82,0.65,,,,,,,,,
