adminyear,grade,org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2013,03,00000000,State,"All Students",71274,69307,1192,150,74,551,,71280,69415,1166,127,46,526,,,,,,,,,100,100,
2013,03,00000000,State,"Students with Disabilities",12384,11045,1192,80,40,27,,12386,11085,1166,81,28,26,,,,,,,,,99,99,
2013,03,00000000,State,"ELL and Former ELL",9596,8836,176,53,5,526,,9584,8891,160,25,5,503,,,,,,,,,99,100,
2013,03,00000000,State,"Low Income",28040,26851,689,75,33,392,,28042,26927,659,54,25,377,,,,,,,,,100,100,
2013,03,00000000,State,"High Needs",36027,34125,1182,135,50,535,,36024,34211,1156,111,34,512,,,,,,,,,99,100,
2013,03,00000000,State,"African American",5748,5510,130,20,4,84,,5757,5528,129,17,3,80,,,,,,,,,99,100,
2013,03,00000000,State,Asian,4522,4333,72,12,4,101,,4512,4336,70,9,2,95,,,,,,,,,99,100,
2013,03,00000000,State,Hispanic/Latino,12364,11759,301,45,10,249,,12360,11785,290,37,10,238,,,,,,,,,99,100,
2013,03,00000000,State,"Native American",169,163,2,1,,3,,168,163,2,,,3,,,,,,,,,99,100,
2013,03,00000000,State,White,45952,45103,629,69,50,101,,45952,45146,618,61,28,99,,,,,,,,,100,100,
2013,03,00000000,State,"Hawaiian/Pacific Islander",76,68,5,1,,2,,76,68,5,1,,2,,,,,,,,,99,99,
2013,03,00000000,State,"Multi-Race (non-Hispanic/Latino)",2406,2345,47,2,6,6,,2412,2356,46,2,3,5,,,,,,,,,100,100,
2013,04,00000000,State,"All Students",71557,69214,1391,258,152,542,,71601,69538,1365,98,81,519,,,,,,,,,99,100,
2013,04,00000000,State,"Students with Disabilities",13188,11631,1391,94,50,22,,13203,11732,1365,47,37,22,,,,,,,,,99,99,
2013,04,00000000,State,"ELL and Former ELL",8965,8176,166,76,13,534,,8974,8263,159,30,10,512,,,,,,,,,99,100,
2013,04,00000000,State,"Low Income",27443,26045,796,133,58,411,,27450,26189,776,58,37,390,,,,,,,,,99,100,
2013,04,00000000,State,"High Needs",35524,33329,1381,192,84,538,,35544,33534,1356,84,54,516,,,,,,,,,99,100,
2013,04,00000000,State,"African American",5770,5448,177,32,8,105,,5764,5472,177,12,1,102,,,,,,,,,99,100,
2013,04,00000000,State,Asian,4517,4321,54,25,5,112,,4527,4348,53,10,4,112,,,,,,,,,99,100,
2013,04,00000000,State,Hispanic/Latino,11903,11231,366,67,19,220,,11918,11319,354,21,14,210,,,,,,,,,99,100,
2013,04,00000000,State,"Native American",184,180,2,1,,1,,184,180,2,1,,1,,,,,,,,,99,99,
2013,04,00000000,State,White,46889,45795,751,126,117,100,,46898,45955,740,51,60,92,,,,,,,,,99,100,
2013,04,00000000,State,"Hawaiian/Pacific Islander",79,75,3,,,1,,78,75,3,,,,,,,,,,,,99,100,
2013,04,00000000,State,"Multi-Race (non-Hispanic/Latino)",2188,2145,32,7,3,1,,2191,2154,31,3,2,1,,,,,,,,,100,100,
2013,05,00000000,State,"All Students",71604,69486,1393,99,86,540,,71640,69500,1426,96,94,524,,71621,69566,1276,146,117,516,,100,100,100
2013,05,00000000,State,"Students with Disabilities",13471,11976,1393,43,35,24,,13466,11925,1426,54,39,22,,13461,12047,1276,73,43,22,,99,99,99
2013,05,00000000,State,"ELL and Former ELL",8054,7310,180,36,5,523,,8066,7355,176,23,4,508,,8066,7367,163,30,5,501,,99,100,100
2013,05,00000000,State,"Low Income",27376,26135,759,58,34,390,,27367,26134,761,50,42,380,,27361,26186,677,74,49,375,,100,100,100
2013,05,00000000,State,"High Needs",35417,33366,1388,82,50,531,,35421,33346,1421,81,57,516,,35411,33443,1271,117,72,508,,99,100,99
2013,05,00000000,State,"African American",6011,5703,174,17,1,116,,6010,5706,175,14,5,110,,6008,5718,158,15,7,110,,100,100,100
2013,05,00000000,State,Asian,4336,4162,81,4,2,87,,4340,4170,78,5,3,84,,4340,4168,77,8,4,83,,100,100,100
