FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_GRD_PK_CNT,WPI_GRD_K_CNT,WPI_GRD_1_CNT,WPI_GRD_2_CNT,WPI_GRD_3_CNT,WPI_GRD_4_CNT,WPI_GRD_5_CNT,WPI_GRD_6_CNT,WPI_GRD_7_CNT,WPI_GRD_8_CNT,WPI_GRD_9_CNT,WPI_GRD_10_CNT,WPI_GRD_11_CNT,WPI_GRD_12_CNT,WPI_GRD_SP_CNT,WPI_GNDR_TOTAL_CNT
1995,"State Totals",00000000,5,13984,77777,77584,73836,71607,71292,69001,67015,66603,63981,66585,60573,56133,51528,,895886
1995,ABINGTON,00010000,5,30,176,175,196,175,184,171,184,177,202,139,157,123,139,,2228
1995,"ABINGTON ECC",00010003,6,30,176,175,0,0,0,0,0,0,0,0,0,0,0,,381
1995,CENTER,00010005,6,0,0,0,55,40,51,58,61,0,0,0,0,0,0,,265
1995,NORTH,00010010,6,0,0,0,52,50,49,31,29,0,0,0,0,0,0,,211
1995,WOODSDALE,00010015,6,0,0,0,89,85,84,82,94,0,0,0,0,0,0,,434
1995,"FROLIO JR HS",00010405,6,0,0,0,0,0,0,0,0,177,202,0,0,0,0,,379
1995,"ABINGTON HIGH",00010505,6,0,0,0,0,0,0,0,0,0,0,139,157,123,139,,558
1995,ACTON,00020000,5,0,292,332,321,324,300,279,299,0,0,0,0,0,0,,2147
1995,MERRIAM,00020010,6,0,44,47,32,39,49,28,13,0,0,0,0,0,0,,252
1995,MCCARTHY-TOWNE,00020015,6,0,61,68,75,70,53,54,75,0,0,0,0,0,0,,456
1995,DOUGLAS,00020020,6,0,58,76,51,52,60,54,74,0,0,0,0,0,0,,425
1995,GATES,00020025,6,0,66,65,84,89,65,72,82,0,0,0,0,0,0,,523
1995,"LUTHER CONANT",00020030,6,0,63,76,79,74,73,71,55,0,0,0,0,0,0,,491
1995,ACUSHNET,00030000,5,24,94,109,111,106,114,115,102,138,122,0,0,0,0,,1035
1995,"ACUSHNET ELEMENTARY SCH",00030025,6,24,94,109,111,106,114,115,0,0,0,0,0,0,0,,673
1995,"ALBERT F FORD MIDDLE SCH",00030305,6,0,0,0,0,0,0,0,102,138,122,0,0,0,0,,362
1995,AGAWAM,00050000,5,0,326,310,332,334,308,342,334,357,327,352,287,287,252,,4179
1995,"CLIFFORD M GRANGER",00050010,6,0,107,98,88,89,101,0,0,0,0,0,0,0,0,,483
1995,"BENJAMIN J PHELPS",00050020,6,0,81,58,83,86,73,0,0,0,0,0,0,0,0,,412
1995,"ROBINSON PARK",00050025,6,0,82,94,90,86,70,0,0,0,0,0,0,0,0,,422
1995,"JAMES CLARK SCHOOL",00050030,6,0,56,60,71,73,64,0,0,0,0,0,0,0,0,,324
1995,"AGAWAM MIDDLE SCHOOL",00050303,6,0,0,0,0,0,0,342,334,0,0,0,0,0,0,,676
1995,"AGAWAM JUNIOR HIGH",00050405,6,0,0,0,0,0,0,0,0,357,327,0,0,0,0,,684
1995,"AGAWAM HIGH",00050505,6,0,0,0,0,0,0,0,0,0,0,352,287,287,252,,1178
1995,AMESBURY,00070000,5,51,251,281,232,276,230,213,197,190,181,173,142,151,141,,2709
1995,"HORACE MANN",00070003,6,25,166,71,0,0,0,0,0,0,0,0,0,0,0,,262
1995,"AMESBURY ELEMENTARY",00070005,6,26,85,210,128,100,0,0,0,0,0,0,0,0,0,,549
1995,"CHARLES C CASHMAN EL",00070010,6,0,0,0,104,176,230,213,0,0,0,0,0,0,0,,723
