FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_SPOP_FLNE_CNT,WPI_SPOP_FLNE_PCT,WPI_SPOP_LEP_CNT,WPI_SPOP_LEP_PCT,WPI_SPOP_SPED_CNT,WPI_SPOP_SPED_PCT,WPI_SPOP_FLUNCH_CNT,WPI_SPOP_FLUNCH_PCT,WPI_SPOP_FLUNCH_FR_CNT,WPI_SPOP_FLUNCH_FR_PCT,WPI_SPOP_FLUNCH_RP_CNT,WPI_SPOP_FLUNCH_RP_PCT,WPI_SPOP_HN_CNT,WPI_SPOP_HN_PCT
1995,"State Totals",00000000,5,111133,12.4,44209,4.9,151830,16.9,226258,25.3,,,,,,
1995,ABINGTON,00010000,5,11,0.5,3,0.1,402,18,221,9.9,,,,,,
1995,"ABINGTON ECC",00010003,6,0,0,0,0,0,0,35,9.2,,,,,,
1995,CENTER,00010005,6,3,1.1,2,0.8,0,0,57,21.5,,,,,,
1995,NORTH,00010010,6,0,0,0,0,0,0,44,20.9,,,,,,
1995,WOODSDALE,00010015,6,7,1.6,0,0,0,0,51,11.8,,,,,,
1995,"FROLIO JR HS",00010405,6,1,0.3,1,0.3,0,0,20,5.3,,,,,,
1995,"ABINGTON HIGH",00010505,6,0,0,0,0,0,0,14,2.5,,,,,,
1995,ACTON,00020000,5,150,7,25,1.2,318,14.8,76,3.5,,,,,,
1995,MERRIAM,00020010,6,24,9.5,0,0,0,0,1,0.4,,,,,,
1995,MCCARTHY-TOWNE,00020015,6,24,5.3,0,0,0,0,13,2.9,,,,,,
1995,DOUGLAS,00020020,6,34,8,22,5.2,0,0,13,3.1,,,,,,
1995,GATES,00020025,6,5,1,0,0,0,0,21,4,,,,,,
1995,"LUTHER CONANT",00020030,6,63,12.8,3,0.6,0,0,28,5.7,,,,,,
1995,ACUSHNET,00030000,5,14,1.4,0,0,113,10.9,144,13.9,,,,,,
1995,"ACUSHNET ELEMENTARY SCH",00030025,6,0,0,0,0,0,0,94,14,,,,,,
1995,"ALBERT F FORD MIDDLE SCH",00030305,6,14,3.9,0,0,0,0,50,13.8,,,,,,
1995,AGAWAM,00050000,5,108,2.6,27,0.6,865,20.7,485,11.6,,,,,,
1995,"CLIFFORD M GRANGER",00050010,6,25,5.2,1,0.2,0,0,68,14.1,,,,,,
1995,"BENJAMIN J PHELPS",00050020,6,7,1.7,2,0.5,0,0,68,16.5,,,,,,
1995,"ROBINSON PARK",00050025,6,12,2.8,6,1.4,0,0,76,18,,,,,,
1995,"JAMES CLARK SCHOOL",00050030,6,0,0,0,0,0,0,44,13.6,,,,,,
1995,"AGAWAM MIDDLE SCHOOL",00050303,6,4,0.6,4,0.6,0,0,87,12.9,,,,,,
1995,"AGAWAM JUNIOR HIGH",00050405,6,4,0.6,4,0.6,0,0,83,12.1,,,,,,
1995,"AGAWAM HIGH",00050505,6,56,4.8,10,0.8,0,0,59,5,,,,,,
1995,AMESBURY,00070000,5,14,0.5,9,0.3,430,15.9,465,17.2,,,,,,
1995,"HORACE MANN",00070003,6,0,0,0,0,0,0,15,5.7,,,,,,
1995,"AMESBURY ELEMENTARY",00070005,6,3,0.5,3,0.5,0,0,134,24.4,,,,,,
1995,"CHARLES C CASHMAN EL",00070010,6,6,0.8,2,0.3,0,0,159,22,,,,,,
1995,"AMESBURY MIDDLE",00070013,6,1,0.2,1,0.2,0,0,122,21.5,,,,,,
1995,"AMESBURY HIGH",00070505,6,4,0.7,3,0.5,0,0,35,5.8,,,,,,
1995,AMHERST,00080000,5,261,14.2,171,9.3,299,16.2,598,32.5,,,,,,
1995,"CROCKER FARM ELEMENTARY",00080009,6,52,13.9,35,9.4,0,0,112,30,,,,,,
1995,"FORT RIVER ELEMENTARY",00080020,6,71,11.8,66,11,0,0,184,30.6,,,,,,
1995,"MARKS MEADOW LABORATORY",00080030,6,60,23.3,30,11.7,0,0,130,50.6,,,,,,
1995,"WILDWOOD ELEMENTARY",00080050,6,78,12.8,40,6.5,0,0,172,28.2,,,,,,
1995,ANDOVER,00090000,5,214,4,30,0.6,600,11.3,180,3.4,,,,,,
1995,"BANCROFT ELEMENTARY",00090003,6,12,1.9,3,0.5,0,0,26,4.1,,,,,,
1995,"SHAWSHEEN EARLY CHILDHOOD",00090005,6,8,3,0,0,0,0,2,0.8,,,,,,
1995,"HENRY C SANBORN ELEM",00090010,6,21,4.4,0,0,0,0,0,0,,,,,,
1995,"SOUTH ELEMENTARY",00090020,6,15,3.3,0,0,0,0,7,1.5,,,,,,
1995,"WEST ELEMENTARY",00090025,6,72,7.8,9,1,0,0,66,7.2,,,,,,
1995,"DOHERTY MIDDLE",00090305,6,7,1.1,2,0.3,0,0,27,4.1,,,,,,
1995,"ANDOVER WEST MIDDLE",00090310,6,59,9.7,12,2,0,0,27,4.4,,,,,,
1995,"ANDOVER HIGH",00090505,6,20,1.6,4,0.3,0,0,25,2,,,,,,
1995,ARLINGTON,00100000,5,314,7.9,89,2.2,850,21.4,492,12.4,,,,,,
1995,"JOHN A BISHOP",00100005,6,8,2.2,1,0.3,0,0,25,6.8,,,,,,
1995,BRACKETT,00100010,6,9,2.5,5,1.4,0,0,10,2.8,,,,,,
1995,"CYRUS E DALLIN",00100025,6,19,4.8,2,0.5,0,0,40,10.1,,,,,,
1995,HARDY,00100030,6,79,21.5,20,5.4,0,0,51,13.9,,,,,,
1995,PEIRCE,00100045,6,25,9.7,5,1.9,0,0,43,16.7,,,,,,
1995,THOMPSON,00100050,6,50,14,13,3.6,0,0,125,35,,,,,,
1995,"M NORCROSS STRATTON",00100055,6,25,7.4,13,3.8,0,0,32,9.4,,,,,,
1995,"OTTOSON JR HIGH",00100410,6,36,6.4,7,1.2,0,0,84,14.8,,,,,,
1995,"ARLINGTON HIGH",00100505,6,63,6.6,23,2.4,0,0,82,8.6,,,,,,
1995,ASHLAND,00140000,5,40,2.2,10,0.5,298,16.2,175,9.5,,,,,,
