"Grades Offered by District Report",,
"District Code",District,"Grade List"
00010000,Abington,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00020000,Acton,"PK,K,1,2,3,4,5,6"
00030000,Acushnet,"PK,K,1,2,3,4,5,6,7,8"
00050000,Agawam,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00070000,Amesbury,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00080000,Amherst,"PK,K,1,2,3,4,5,6"
00090000,Andover,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00100000,Arlington,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00140000,Ashland,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00160000,Attleboro,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00170000,Auburn,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00180000,Avon,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00200000,Barnstable,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00230000,Bedford,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00240000,Belchertown,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00250000,Bellingham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00260000,Belmont,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00270000,Berkley,"PK,K,1,2,3,4,5,6,7,8"
00280000,Berlin,"PK,K,1,2,3,4,5"
00300000,Beverly,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00310000,Billerica,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00350000,Boston,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00360000,Bourne,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00370000,Boxborough,"PK,K,1,2,3,4,5,6"
00380000,Boxford,"PK,K,1,2,3,4,5,6"
00390000,Boylston,"PK,K,1,2,3,4,5"
00400000,Braintree,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00410000,Brewster,"PK,K,1,2,3,4,5"
00430000,Brimfield,"PK,K,1,2,3,4,5,6"
00440000,Brockton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00450000,Brookfield,"PK,K,1,2,3,4,5,6"
00460000,Brookline,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00480000,Burlington,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00490000,Cambridge,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00500000,Canton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00510000,Carlisle,"PK,K,1,2,3,4,5,6,7,8"
00520000,Carver,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00560000,Chelmsford,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00570000,Chelsea,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00610000,Chicopee,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00630000,Clarksburg,"K,1,2,3,4,5,6,7,8"
00640000,Clinton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00650000,Cohasset,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00670000,Concord,"PK,K,1,2,3,4,5,6,7,8"
00680000,Conway,"PK,K,1,2,3,4,5,6"
00710000,Danvers,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00720000,Dartmouth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00730000,Dedham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00740000,Deerfield,"PK,K,1,2,3,4,5,6"
00770000,Douglas,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00780000,Dover,"K,1,2,3,4,5"
00790000,Dracut,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00820000,Duxbury,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00830000,"East Bridgewater","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00850000,Eastham,"PK,K,1,2,3,4,5"
00860000,Easthampton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00870000,"East Longmeadow","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00880000,Easton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00890000,Edgartown,"PK,K,1,2,3,4,5,6,7,8"
00910000,Erving,"PK,K,1,2,3,4,5,6"
00930000,Everett,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00940000,Fairhaven,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00950000,"Fall River","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00960000,Falmouth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00970000,Fitchburg,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
00980000,Florida,"PK,K,1,2,3,4,5,6,7,8"
00990000,Foxborough,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01000000,Framingham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01010000,Franklin,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01030000,Gardner,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01050000,Georgetown,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01070000,Gloucester,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01090000,Gosnold,"3,4"
01100000,Grafton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01110000,Granby,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01140000,Greenfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01170000,Hadley,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01180000,Halifax,"K,1,2,3,4,5,6"
01210000,Hancock,"PK,K,1,2,3,4,5,6"
01220000,Hanover,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01250000,Harvard,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01270000,Hatfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01280000,Haverhill,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01310000,Hingham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01330000,Holbrook,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01350000,Holland,"PK,K,1,2,3,4,5,6"
01360000,Holliston,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01370000,Holyoke,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01380000,Hopedale,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01390000,Hopkinton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01410000,Hudson,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01420000,Hull,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01440000,Ipswich,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01450000,Kingston,"K,1,2,3,4,5,6"
01480000,Lanesborough,"K,1,2,3,4,5,6"
01490000,Lawrence,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01500000,Lee,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01510000,Leicester,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01520000,Lenox,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01530000,Leominster,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01540000,Leverett,"PK,K,1,2,3,4,5,6"
01550000,Lexington,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01570000,Lincoln,"PK,K,1,2,3,4,5,6,7,8"
01580000,Littleton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01590000,Longmeadow,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01600000,Lowell,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01610000,Ludlow,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01620000,Lunenburg,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01630000,Lynn,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
