"Grade Levels by District Report",,,
"District Code",District,"School Level Description","Number of Schools"
00010000,Abington,Elementary,3
00010000,Abington,"Middle/Junior High",1
00010000,Abington,Secondary,1
00020000,Acton,Elementary,5
00030000,Acushnet,Elementary,1
00030000,Acushnet,"Middle/Junior High",1
00050000,Agawam,Elementary,5
00050000,Agawam,"Middle/Junior High",2
00050000,Agawam,Secondary,1
00070000,Amesbury,Elementary,2
00070000,Amesbury,"Middle/Junior High",1
00070000,Amesbury,Secondary,1
00080000,Amherst,Elementary,3
00090000,Andover,Elementary,6
00090000,Andover,"Middle/Junior High",3
00090000,Andover,Secondary,1
00100000,Arlington,Elementary,8
00100000,Arlington,"Middle/Junior High",1
00100000,Arlington,Secondary,1
00140000,Ashland,Elementary,3
00140000,Ashland,"Middle/Junior High",1
00140000,Ashland,Secondary,1
00160000,Attleboro,Elementary,6
00160000,Attleboro,"Middle/Junior High",3
00160000,Attleboro,Secondary,1
00170000,Auburn,Elementary,4
00170000,Auburn,"Middle/Junior High",1
00170000,Auburn,Secondary,1
00180000,Avon,Elementary,1
00180000,Avon,Secondary,1
00200000,Barnstable,Elementary,5
00200000,Barnstable,"Middle/Junior High",1
00200000,Barnstable,Secondary,1
00230000,Bedford,Elementary,2
00230000,Bedford,"Middle/Junior High",1
00230000,Bedford,Secondary,1
00240000,Belchertown,Elementary,2
00240000,Belchertown,"Middle/Junior High",2
00240000,Belchertown,Secondary,1
00250000,Bellingham,Elementary,4
00250000,Bellingham,"Middle/Junior High",1
00250000,Bellingham,Secondary,2
00260000,Belmont,Elementary,4
00260000,Belmont,"Middle/Junior High",1
00260000,Belmont,Secondary,1
00270000,Berkley,Elementary,1
00270000,Berkley,"Middle/Junior High",1
00280000,Berlin,Elementary,1
00300000,Beverly,Elementary,5
00300000,Beverly,"Middle/Junior High",1
00300000,Beverly,Secondary,1
00310000,Billerica,Elementary,6
00310000,Billerica,"Middle/Junior High",2
00310000,Billerica,Secondary,1
00350000,Boston,Elementary,78
00350000,Boston,"Middle/Junior High",9
00350000,Boston,Secondary,31
00360000,Bourne,Elementary,2
00360000,Bourne,"Middle/Junior High",1
00360000,Bourne,Secondary,1
00370000,Boxborough,Elementary,1
00380000,Boxford,Elementary,2
00390000,Boylston,Elementary,1
00400000,Braintree,Elementary,7
00400000,Braintree,"Middle/Junior High",2
00400000,Braintree,Secondary,1
00410000,Brewster,Elementary,2
00430000,Brimfield,Elementary,1
00440000,Brockton,Elementary,13
00440000,Brockton,"Middle/Junior High",6
00440000,Brockton,Secondary,5
00450000,Brookfield,Elementary,1
00460000,Brookline,Elementary,11
00460000,Brookline,Secondary,1
00480000,Burlington,Elementary,4
00480000,Burlington,"Middle/Junior High",1
00480000,Burlington,Secondary,1
00490000,Cambridge,Elementary,12
00490000,Cambridge,"Middle/Junior High",4
00490000,Cambridge,Secondary,1
00500000,Canton,Elementary,4
00500000,Canton,"Middle/Junior High",1
00500000,Canton,Secondary,1
00510000,Carlisle,Elementary,1
00520000,Carver,Elementary,1
00520000,Carver,Secondary,1
00560000,Chelmsford,Elementary,5
