REC_YEAR	ORG_CODE	SCHOOL	MAT_ID	MAT_ABBREVIATION	MCORE_HS_GRAD	MCORE_COMPL	MCORE_PCT	SORT
2009	00000000		5	All Students	65897	47679	72.4	10
2009	00000000		11	Female	33066	24223	73.3	20
2009	00000000		10	Male	32831	23456	71.4	30
2009	00000000		12	High needs	27499	17509	63.7	40
2009	00000000		95	ELL	2776	1583	57	50
2009	00000000		9	Low income	21022	12895	61.3	60
2009	00000000		99	Students w/disabilities	10114	6672	66	70
2009	00000000		87	Afr. Amer./Black	5299	3319	62.6	80
2009	00000000		86	Amer. Ind. or Alaska Nat.	172	123	71.5	90
2009	00000000		88	Asian	3236	2407	74.4	100
2009	00000000		89	Hispanic/Latino	7019	4596	65.5	110
2009	00000000		92	Multi-race, Non-Hisp./Lat.	905	648	71.6	120
2009	00000000		91	Nat. Haw. or Pacif. Isl.	55	37	67.3	130
2009	00000000		90	White	49211	36549	74.3	140
2009	00010000	00010505	5	All Students	140	140	100	10
2009	00010000	00010505	11	Female	70	70	100	20
2009	00010000	00010505	10	Male	70	70	100	30
2009	00010000	00010505	12	High needs	28	28	100	40
2009	00010000	00010505	9	Low income	18	18	100	60
2009	00010000	00010505	99	Students w/disabilities	9	9	100	70
2009	00010000	00010505	89	Hispanic/Latino	9	9	100	110
2009	00010000	00010505	90	White	120	120	100	140
2009	00010000		5	All Students	142	142	100	10
2009	00010000		11	Female	71	71	100	20
2009	00010000		10	Male	71	71	100	30
2009	00010000		12	High needs	30	30	100	40
2009	00010000		9	Low income	19	19	100	60
2009	00010000		99	Students w/disabilities	11	11	100	70
2009	00010000		89	Hispanic/Latino	9	9	100	110
2009	00010000		90	White	122	122	100	140
2009	00050000	00050505	5	All Students	292	3	1	10
2009	00050000	00050505	11	Female	148	1	.7	20
2009	00050000	00050505	10	Male	144	2	1.4	30
2009	00050000	00050505	12	High needs	79	1	1.3	40
2009	00050000	00050505	95	ELL	6	0	0	50
2009	00050000	00050505	9	Low income	58	1	1.7	60
2009	00050000	00050505	99	Students w/disabilities	33	0	0	70
2009	00050000	00050505	89	Hispanic/Latino	9	1	11.1	110
2009	00050000	00050505	90	White	275	2	.7	140
2009	00050000		5	All Students	303	3	1	10
2009	00050000		11	Female	150	1	.7	20
2009	00050000		10	Male	153	2	1.3	30
2009	00050000		12	High needs	85	1	1.2	40
2009	00050000		95	ELL	6	0	0	50
2009	00050000		9	Low income	59	1	1.7	60
2009	00050000		99	Students w/disabilities	38	0	0	70
2009	00050000		89	Hispanic/Latino	10	1	10	110
2009	00050000		90	White	284	2	.7	140
2009	00070000	00070505	5	All Students	145	145	100	10
