FY_CODE,SCHOOL_NAME,DISTRICT_CODE,SCHOOL_CODE,PSR_GRD_PK_CNT,PSR_GRD_K_CNT,PSR_GRD_1_CNT,PSR_GRD_2_CNT,PSR_GRD_3_CNT,PSR_GRD_4_CNT,PSR_GRD_5_CNT,PSR_GRD_6_CNT,PSR_GRD_7_CNT,PSR_GRD_8_CNT,PSR_GRD_9_CNT,PSR_GRD_10_CNT,PSR_GRD_11_CNT,PSR_GRD_12_CNT,PSR_GRD_13_CNT,PSR_GRD_SP_CNT,PSR_GRD_TOTAL_CNT
2002,"State Totals",0000,00000000,8269,9772,9196,8987,8702,8670,8785,9383,9539,9441,11309,10986,10650,9751,372,211,134023
2002,"St Bridget",0001,00010815,0,30,30,31,26,28,30,29,30,22,0,0,0,0,0,0,256
2002,"The Victor School",0002,00020830,0,0,0,0,0,0,0,0,0,1,5,19,4,0,0,0,29
2002,"St Francis Xavier",0003,00030810,26,27,21,25,21,19,21,22,22,18,0,0,0,0,0,0,222
2002,"St Stanislaus Kostka",0004,00040810,33,16,15,18,19,18,9,17,18,15,0,0,0,0,0,0,178
2002,Harbor,0007,00070830,0,0,0,0,0,0,0,0,2,14,29,24,7,1,0,0,77
2002,"Sparhawk School",0007,00070865,0,7,14,3,8,11,12,11,16,9,6,0,0,0,0,0,97
2002,"The Common",0008,00080850,34,13,13,13,11,13,9,13,0,0,0,0,0,0,0,0,119
2002,"Andover Sch of Montessori",0009,00090805,78,37,20,18,17,20,10,7,2,1,0,0,0,0,0,0,210
2002,"Phillips Academy",0009,00090820,0,0,0,0,0,0,0,0,0,0,201,281,278,285,25,0,1070
2002,"The Pike School Inc",0009,00090825,18,33,36,36,38,40,40,60,60,55,8,0,0,0,0,0,424
2002,"Saint Augustine",0009,00090835,64,48,50,49,50,47,48,50,34,41,0,0,0,0,0,0,481
2002,"Prof Ctr for Hand Childrn",0009,00090850,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2002,"Arlington Catholic HS",0010,00100805,0,0,0,0,0,0,0,0,0,0,227,183,195,164,0,0,769
2002,"St Agnes Elementary",0010,00100810,0,37,40,43,46,43,47,46,50,38,0,0,0,0,0,0,390
2002,"Dearborn Academy",0010,00100815,0,0,0,1,0,3,6,5,15,21,24,17,21,15,0,0,128
2002,"Germaine Lawrence",0010,00100820,0,0,0,0,0,0,0,4,8,25,24,19,6,1,0,0,87
2002,"Ecole Bilingue",0010,00100838,79,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
2002,"Lesley Ellis",0010,00100842,40,37,17,16,0,0,0,0,0,0,0,0,0,0,0,0,110
2002,"Cushing Academy",0011,00110805,0,0,0,0,0,0,0,0,0,0,61,111,114,111,18,0,415
2002,"MetroWest Christian Acad",0014,00140830,30,28,24,15,11,18,11,6,7,7,0,0,0,0,0,0,157
2002,"New Covenant Christian",0014,00140850,0,11,6,8,12,6,9,8,10,10,0,0,0,0,0,0,80
2002,"Pincushion Hill Mont",0014,00140860,38,34,12,19,12,4,9,0,0,0,0,0,0,0,0,0,128
2002,"Bishop Feehan High School",0016,00160805,0,0,0,0,0,0,0,0,0,0,278,249,212,221,0,0,960
2002,"Dayspring Christian",0016,00160806,29,48,42,34,39,37,41,30,32,21,0,0,0,0,0,0,353
2002,"Hamilton Country Day",0016,00160807,0,0,2,2,5,4,7,4,0,0,0,0,0,0,0,0,24
2002,"St John The Evangelist",0016,00160810,0,30,30,29,29,30,30,31,27,25,0,0,0,0,0,0,261
2002,"Grace Baptist Christian Academy",0016,00160812,0,0,3,3,0,3,0,0,2,0,0,0,0,0,0,0,11
2002,"Academy of Early Learning",0020,00200805,40,20,12,10,9,2,1,0,0,0,0,0,0,0,0,0,94
2002,"Bayberry Christian School",0020,00200810,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,7
2002,"Faith Christian School",0020,00200825,24,14,9,7,2,2,0,1,1,0,1,1,0,1,0,0,63
2002,"Cape Cod Academy",0020,00200830,0,16,15,16,16,16,28,34,38,44,44,38,34,34,0,0,373
2002,"St Francis Xavier Prep",0020,00200840,0,0,0,0,0,0,51,55,62,40,0,0,0,0,0,0,208
2002,"Southeast Alternative School-Cape C",0020,00200850,0,0,0,0,0,0,0,0,0,2,1,6,0,2,0,0,11
2002,"Veritas Academy",0020,00200870,0,4,7,6,3,7,5,4,5,4,0,0,0,0,0,0,45
2002,"Stetson School Inc",0021,00210810,0,0,0,0,0,0,3,5,9,11,18,25,18,2,0,0,91
2002,"Tender Loving Care ELC",0025,00250850,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2002,Arlington,0026,00260805,0,0,0,0,0,0,0,0,0,0,4,17,10,7,0,0,38
2002,"Bartlett School",0026,00260808,11,16,13,10,15,12,6,9,0,0,0,0,0,0,0,0,92
2002,"Belmont Day",0026,00260810,22,24,24,24,24,24,25,23,0,0,0,0,0,0,0,0,190
2002,"Belmont Hill",0026,00260815,0,0,0,0,0,0,0,0,51,60,78,83,74,73,0,0,419
2002,"Cornerstone Christian Acd",0026,00260860,0,1,4,2,5,5,2,3,0,5,2,4,0,1,0,0,34
2002,"Southeast Alternative School-Berkle",0027,00270880,0,0,0,0,0,0,0,4,4,3,2,4,4,3,0,0,24
2002,"Full Circle",0029,00290805,19,4,5,5,9,9,4,2,0,0,0,0,0,0,0,0,57
2002,"Shore Country Day",0030,00300810,12,38,40,41,42,42,50,48,49,48,24,0,0,0,0,0,434
2002,"Children's Montessori",0030,00300812,76,33,18,19,11,19,9,4,8,4,0,0,0,0,0,0,201
2002,"St John the Evangelist",0030,00300815,21,25,27,31,30,30,26,29,28,30,0,0,0,0,0,0,277
2002,"Cape Ann Waldorf School",0030,00300822,30,30,17,18,9,16,19,9,21,16,0,0,0,0,0,0,185
2002,"St Mary Star of the Sea",0030,00300825,40,29,28,30,28,28,29,26,27,23,0,0,0,0,0,0,288
2002,"Covenant Christian Sch",0030,00300840,0,17,18,18,17,20,18,17,19,17,0,0,0,0,0,0,161
2002,"Glen Urquhart",0030,00300850,0,19,22,22,22,23,22,33,32,32,0,0,0,0,0,0,227
2002,Landmark,0030,00300920,0,0,0,0,6,8,14,25,39,43,64,76,83,66,0,0,424
2002,Advent,0035,00350702,0,18,20,20,21,19,21,14,0,0,0,0,0,0,0,0,133
2002,"Berea SDA Acad",0035,00350705,32,31,31,23,22,19,21,23,14,19,0,0,0,0,0,0,235
2002,"Blessed Sacrament Elem",0035,00350706,25,24,22,18,17,18,13,21,14,14,0,0,0,0,0,0,186
2002,"Boston College High",0035,00350710,0,0,0,0,0,0,0,0,0,0,348,351,308,279,0,0,1286
2002,"Cathedral Elementary",0035,00350714,0,22,27,25,26,24,23,24,20,19,0,0,0,0,0,0,210
2002,"Cathedral High",0035,00350716,0,0,0,0,0,0,0,0,0,0,82,61,65,37,0,0,245
