FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_PGRAD_4YRPRV_CNT,WPI_PGRAD_4YRPRV_PCT,WPI_PGRAD_4YRPUB_CNT,WPI_PGRAD_4YRPUB_PCT,WPI_PGRAD_2YRPRV_CNT,WPI_PGRAD_2YRPRV_PCT,WPI_PGRAD_2YRPUB_CNT,WPI_PGRAD_2YRPUB_PCT,WPI_PGRAD_PSTSEC_CNT,WPI_PGRAD_PSTSEC_PCT,WPI_PGRAD_WORK_CNT,WPI_PGRAD_WORK_PCT,WPI_PGRAD_MILIT_CNT,WPI_PGRAD_MILIT_PCT,WPI_PGRAD_OTHER_CNT,WPI_PGRAD_OTHER_PCT,WPI_PGRAD_UNKNOWN_CNT,WPI_PGRAD_UNKNOWN_PCT,WPI_PGRAD_TOTAL_CNT
1995,"State Totals",00000000,5,,29.9,,23,,4.5,,13.8,,2.5,,17.4,,2.8,,3.8,,2.3,47679
1995,ABINGTON,00010000,5,,42.1,,17.4,,5,,17.4,,4.1,,11.6,,2.5,,0,,0,121
1995,"ABINGTON ECC",00010003,6,,,,,,,,,,,,,,,,,,,
1995,CENTER,00010005,6,,,,,,,,,,,,,,,,,,,
1995,NORTH,00010010,6,,,,,,,,,,,,,,,,,,,
1995,WOODSDALE,00010015,6,,,,,,,,,,,,,,,,,,,
1995,"FROLIO JR HS",00010405,6,,,,,,,,,,,,,,,,,,,
1995,"ABINGTON HIGH",00010505,6,,42.1,,17.4,,5,,17.4,,4.1,,11.6,,2.5,,0,,0,121
1995,ACTON,00020000,5,,,,,,,,,,,,,,,,,,,
1995,MERRIAM,00020010,6,,,,,,,,,,,,,,,,,,,
1995,MCCARTHY-TOWNE,00020015,6,,,,,,,,,,,,,,,,,,,
1995,DOUGLAS,00020020,6,,,,,,,,,,,,,,,,,,,
1995,GATES,00020025,6,,,,,,,,,,,,,,,,,,,
1995,"LUTHER CONANT",00020030,6,,,,,,,,,,,,,,,,,,,
1995,ACUSHNET,00030000,5,,,,,,,,,,,,,,,,,,,
1995,"ACUSHNET ELEMENTARY SCH",00030025,6,,,,,,,,,,,,,,,,,,,
1995,"ALBERT F FORD MIDDLE SCH",00030305,6,,,,,,,,,,,,,,,,,,,
1995,AGAWAM,00050000,5,,32,,16.2,,0.4,,32.4,,1.2,,6.2,,6.2,,2.5,,2.9,241
1995,"CLIFFORD M GRANGER",00050010,6,,,,,,,,,,,,,,,,,,,
1995,"BENJAMIN J PHELPS",00050020,6,,,,,,,,,,,,,,,,,,,
1995,"ROBINSON PARK",00050025,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES CLARK SCHOOL",00050030,6,,,,,,,,,,,,,,,,,,,
1995,"AGAWAM MIDDLE SCHOOL",00050303,6,,,,,,,,,,,,,,,,,,,
1995,"AGAWAM JUNIOR HIGH",00050405,6,,,,,,,,,,,,,,,,,,,
1995,"AGAWAM HIGH",00050505,6,,32,,16.2,,0.4,,32.4,,1.2,,6.2,,6.2,,2.5,,2.9,241
1995,AMESBURY,00070000,5,,32.3,,16.9,,6.9,,20.8,,3.1,,19.2,,0.8,,0,,0,130
1995,"HORACE MANN",00070003,6,,,,,,,,,,,,,,,,,,,
1995,"AMESBURY ELEMENTARY",00070005,6,,,,,,,,,,,,,,,,,,,
1995,"CHARLES C CASHMAN EL",00070010,6,,,,,,,,,,,,,,,,,,,
1995,"AMESBURY MIDDLE",00070013,6,,,,,,,,,,,,,,,,,,,
1995,"AMESBURY HIGH",00070505,6,,32.3,,16.9,,6.9,,20.8,,3.1,,19.2,,0.8,,0,,0,130
1995,AMHERST,00080000,5,,,,,,,,,,,,,,,,,,,
1995,"CROCKER FARM ELEMENTARY",00080009,6,,,,,,,,,,,,,,,,,,,
1995,"FORT RIVER ELEMENTARY",00080020,6,,,,,,,,,,,,,,,,,,,
1995,"MARKS MEADOW LABORATORY",00080030,6,,,,,,,,,,,,,,,,,,,
1995,"WILDWOOD ELEMENTARY",00080050,6,,,,,,,,,,,,,,,,,,,
1995,ANDOVER,00090000,5,,50.8,,31.8,,0.4,,3.4,,1.5,,7.6,,1.1,,3.4,,0,264
1995,"BANCROFT ELEMENTARY",00090003,6,,,,,,,,,,,,,,,,,,,
1995,"SHAWSHEEN EARLY CHILDHOOD",00090005,6,,,,,,,,,,,,,,,,,,,
1995,"HENRY C SANBORN ELEM",00090010,6,,,,,,,,,,,,,,,,,,,
1995,"SOUTH ELEMENTARY",00090020,6,,,,,,,,,,,,,,,,,,,
1995,"WEST ELEMENTARY",00090025,6,,,,,,,,,,,,,,,,,,,
1995,"DOHERTY MIDDLE",00090305,6,,,,,,,,,,,,,,,,,,,
1995,"ANDOVER WEST MIDDLE",00090310,6,,,,,,,,,,,,,,,,,,,
