			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2006	Abington	00010000	314	0	0	-	-			2005-06	-	-		11	6	54.5	2006-07	NR	NR
2006	Acton	00020000	419	0	0	-	-			2007-08	NR	NR		21	17	81	2005-06	NR	NR
2006	Acushnet	00030000	199	0	0	-	-			2006-07	NR	NR		7	5	71.4	2007-08	NR	NR
2006	Agawam	00050000	683	6	0.9	-	-			2008-09	NR	NR		21	16	76.2	2008-09	NR	NR
2006	Amesbury	00070000	430	0	0	-	-			2005-06	10	83.3		16	0	0	2006-07	NR	NR
2006	Amherst	00080000	231	0	0	-	-			2006-07	NR	NR		14	10	71.4	2007-08	NR	NR
2006	Andover	00090000	949	2	0.2	-	-			2008-09	NR	NR		18	7	38.9	2008-09	NR	NR
2006	Arlington	00100000	720	9	1.3	-	-			2007-08	NR	NR		16	8	50	2005-06	27	90
2006	Ashland	00140000	338	0	0	-	-			2008-09	NR	NR		10	6	60	2008-09	NR	NR
2006	Attleboro	00160000	1131	40	3.5	-	-			2008-09	NR	NR		22	22	100	2008-09	NR	NR
2006	Auburn	00170000	289	3	1	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	32	100
2006	Avon	00180000	97	2	2.1	-	-			2008-09	NR	NR		3	-	-	2008-09	NR	NR
2006	Ayer	00190000	195	0	0	-	-			2005-06	12	100		12	12	100	2006-07	NR	NR
2006	Barnstable	00200000	585	16	2.7	-	-			2007-08	NR	NR		16	5	31.3	2005-06	22	73.3
2006	Bedford	00230000	446	1	0.2	-	-			2008-09	NR	NR		9	9	100	2008-09	NR	NR
2006	Belchertown	00240000	398	3	0.8	-	-			2005-06	32	100		8	8	100	2006-07	NR	NR
2006	Bellingham	00250000	336	0	0	-	-			2005-06	15	100		8	6	75	2006-07	NR	NR
2006	Belmont	00260000	533	1	0.2	-	-			2005-06	37	86		18	8	44.4	2006-07	NR	NR
2006	Berkley	00270000	139	0	0	-	-			2008-09	NR	NR		2	-	-	2008-09	NR	NR
2006	Berlin	00280000	47	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2006	Beverly	00300000	877	0	0	-	-			2005-06	17	94.4		NR	NR	NR	2006-07	NR	NR
2006	Billerica	00310000	1190	2	0.2	-	-			2007-08	NR	NR		63	60	95.2	2005-06	3	13.6
2006	Boston	00350000	11165	63	0.6	-	-			2005-06	461	84.7		96	79	82.3	2005-06	30	100
2006	Bourne	00360000	371	1	0.3	-	-			2006-07	NR	NR		9	7	77.8	2007-08	NR	NR
2006	Boxborough	00370000	64	0	0	-	-			2007-08	NR	NR		1	-	-	2005-06	NR	NR
2006	Boxford	00380000	129	0	0	-	-			2006-07	NR	NR		4	-	-	2007-08	NR	NR
2006	Boylston	00390000	50	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2006	Braintree	00400000	1021	0	0	-	-			2006-07	NR	NR		35	35	100	2007-08	NR	NR
