FY_CODE,ORG_NAME,ORG_CODE,ORG_TYP_CODE,DROPOUT_CNT,DROPOUT_PCT,ATTEND_CNT,ATTEND_PCT,RETAIN_CNT,RETAIN_PCT,TRUANT_CNT,TRUANT_PCT
2013,"State Totals",00000000,5,6248,2.2,9,94.8,15112,1.8,92741,9.3
2013,Abington,00010000,5,6,1.2,9.8,94.3,8,0.4,645,29.9
2013,"Center Elementary School",00010002,6,0,0,8.2,95.1,0,0,64,29.6
2013,"Beaver Brook Elementary School",00010003,6,0,0,7.4,95.8,1,0.1,127,18.1
2013,"Woodsdale Elementary School",00010015,6,0,0,8,95.4,0,0,77,23.8
2013,"Frolio Middle School",00010405,6,0,0,10.2,94.2,0,0,131,37.5
2013,"Abington High",00010505,6,6,1.2,14.1,91.4,7,1.4,231,40.7
2013,Acton,00020000,5,0,0,6.3,96.4,4,0.2,0,0
2013,Merriam,00020010,6,0,0,6.1,96.4,2,0.4,0,0
2013,McCarthy-Towne,00020015,6,0,0,6.7,96.2,1,0.2,0,0
2013,Douglas,00020020,6,0,0,5.9,96.7,1,0.2,0,0
2013,Gates,00020025,6,0,0,6.4,96.4,0,0,0,0
2013,"Luther Conant",00020030,6,0,0,6.2,96.4,0,0,0,0
2013,Acushnet,00030000,5,0,0,7,96,5,0.6,0,0
2013,"Acushnet Elementary School",00030025,6,0,0,6.7,96.2,2,0.5,0,0
2013,"Albert F Ford Middle School",00030305,6,0,0,7.1,96,3,0.7,0,0
2013,Agawam,00050000,5,24,1.8,8.3,95.2,50,1.3,2,0
2013,"Agawam Early Childhood Center",00050003,6,0,0,9.3,93.5,0,0,0,0
2013,"Clifford M Granger",00050010,6,0,0,8.6,95,0,0,0,0
2013,"Benjamin J Phelps",00050020,6,0,0,6.9,96,1,0.3,0,0
2013,"Robinson Park",00050025,6,0,0,7.9,95.3,0,0,2,0.5
2013,"James Clark School",00050030,6,0,0,7.3,95.8,2,0.7,0,0
2013,"Roberta G. Doering School",00050303,6,0,0,7.3,95.9,0,0,0,0
2013,"Agawam Junior High",00050405,6,0,0,8.4,95.2,9,1.4,0,0
2013,"Agawam High",00050505,6,22,1.7,9.1,94.8,38,2.9,0,0
2013,Amesbury,00070000,5,15,2.3,8.2,95.3,18,0.9,0,0
2013,"Amesbury Elementary",00070005,6,0,0,7.1,95.9,0,0,0,0
2013,"Charles C Cashman Elementary",00070010,6,0,0,7.2,95.9,5,1.3,0,0
2013,"Amesbury Middle",00070013,6,0,0,9.3,94.7,3,0.4,0,0
2013,"Amesbury High",00070505,6,15,2.3,9,94.7,10,1.6,0,0
2013,Amherst,00080000,5,0,0,7.9,95.4,3,0.3,59,4.6
2013,"Crocker Farm Elementary",00080009,6,0,0,9.1,94.7,1,0.3,6,1.4
2013,"Fort River Elementary",00080020,6,0,0,7.7,95.6,1,0.3,27,6.8
2013,"Wildwood Elementary",00080050,6,0,0,7,95.9,1,0.3,26,5.6
2013,Andover,00090000,5,2,0.1,6.9,96,33,0.6,205,3.2
2013,"Bancroft Elementary",00090003,6,0,0,6.3,96.5,2,0.5,96,19.3
2013,"High Plain Elementary",00090004,6,0,0,6,96.5,1,0.2,0,0
2013,"Shawsheen School",00090005,6,0,0,6.9,96,1,0.8,1,0.3
2013,"Henry C Sanborn Elementary",00090010,6,0,0,6.8,96.2,2,0.6,1,0.3
2013,"South Elementary",00090020,6,0,0,6,96.6,0,0,9,1.6
2013,"West Elementary",00090025,6,0,0,6.3,96.4,2,0.3,11,1.6
2013,"Doherty Middle",00090305,6,0,0,6.3,96.5,1,0.2,0,0
2013,"Andover West Middle",00090310,6,0,0,6.5,96.3,1,0.2,22,3.8
2013,"Wood Hill Middle School",00090350,6,0,0,6.5,96.4,1,0.2,1,0.2
2013,"Andover High",00090505,6,2,0.1,8.1,95.3,22,1.2,62,3.4
2013,Arlington,00100000,5,9,0.7,7.9,95.5,29,0.7,553,10.9
2013,"John A Bishop",00100005,6,0,0,6.4,96.4,1,0.3,33,8
2013,Brackett,00100010,6,0,0,6.2,96.5,8,2.1,85,18.8
2013,"Cyrus E Dallin",00100025,6,0,0,5.4,97,0,0,60,13.3
2013,Hardy,00100030,6,0,0,5.8,96.6,2,0.7,10,2.8
2013,"Menotomy Preschool",00100038,6,0,0,3.4,97.8,0,0,5,6.8
2013,Peirce,00100045,6,0,0,7.5,95.7,2,0.9,51,18.1
2013,Thompson,00100050,6,0,0,4.1,97.6,0,0,19,5.7
2013,"M Norcross Stratton",00100055,6,0,0,5.2,97,1,0.4,13,3.7
2013,"Ottoson Middle",00100410,6,0,0,8.3,95.3,2,0.2,28,2.7
2013,"Arlington High",00100505,6,9,0.7,11.7,93.3,13,1.1,215,17.1
2013,Ashland,00140000,5,11,1.5,6.4,96.3,7,0.3,141,5.4
2013,"William Pittaway Elementary",00140005,6,0,0,3.4,98,0,0,0,0
2013,"Henry E Warren Elementary",00140010,6,0,0,6.4,96.3,1,0.3,54,9.4
2013,"David Mindess",00140015,6,0,0,6.2,96.5,0,0,0,0
2013,"Ashland Middle",00140405,6,0,0,5.6,96.8,0,0,0,0
2013,"Ashland High",00140505,6,11,1.5,7.7,95.5,6,0.8,87,11.9
2013,Attleboro,00160000,5,37,2.1,8.3,95.1,109,2.1,0,0
2013,"A. Irvin Studley Elementary School",00160001,6,0,0,6.8,96,1,0.3,0,0
2013,"Early Learning Center",00160008,6,0,0,8.4,91.5,0,0,0,0
2013,"Thomas E. Willett School",00160035,6,0,0,7.7,95.4,8,2.5,0,0
2013,"Hyman Fine Elementary School",00160040,6,0,0,6.8,96,4,1.1,0,0
2013,"Hill-Roberts Elementary School",00160045,6,0,0,7.2,95.9,0,0,0,0
2013,"Peter Thacher Elementary School",00160050,6,0,0,7.3,95.7,1,0.3,0,0
2013,"Robert J. Coelho Middle School",00160305,6,0,0,7.6,95.7,0,0,0,0
2013,"Cyril K. Brennan Middle School",00160315,6,0,0,8.4,95.2,6,1,0,0
2013,"Wamsutta Middle School",00160320,6,0,0,7.3,95.9,1,0.2,0,0
2013,"Attleboro High",00160505,6,37,2.1,10.2,94,88,5.1,0,0
2013,Auburn,00170000,5,15,2.2,7.1,95.9,7,0.3,0,0
2013,"Julia Bancroft",00170005,6,0,0,5.1,97.1,0,0,0,0
2013,"Bryn Mawr",00170010,6,0,0,6.8,96.1,2,1,0,0
2013,Pakachoag,00170015,6,0,0,6.1,96.6,0,0,0,0
2013,"Mary D Stone",00170025,6,0,0,6.4,96.3,0,0,0,0
2013,"Auburn Middle",00170305,6,0,0,7.1,96,0,0,0,0
2013,"Auburn Senior High",00170505,6,15,2.2,8.4,95,5,0.7,0,0
2013,Avon,00180000,5,5,2.4,8,95.4,16,2.4,0,0
2013,"Ralph D Butler",00180010,6,0,0,8.1,95.4,0,0,0,0
2013,"Avon Middle High School",00180510,6,5,2.4,7.8,95.4,16,4.7,0,0
2013,Barnstable,00200000,5,29,1.9,10,94.1,75,1.7,1394,26.9
2013,"West Barnstable Elementary",00200005,6,0,0,9.9,94.3,0,0,51,18.1
2013,"Centerville Elementary",00200010,6,0,0,9.4,94.2,1,0.5,128,30.8
2013,"Hyannis West Elementary",00200025,6,0,0,8.8,94.5,2,0.9,58,15.5
2013,"West Villages Elementary School",00200045,6,0,0,9.1,94.8,0,0,139,30.1
2013,"Barnstable United Elementary School",00200050,6,0,0,9.5,94.6,5,0.6,178,21.4
2013,"Barnstable Intermediate School",00200315,6,0,0,9,94.9,0,0,230,28.9
2013,"Barnstable High",00200505,6,29,1.9,11.1,93.5,67,3.5,606,30
2013,Bedford,00230000,5,6,0.7,6.9,96,11,0.5,28,1.1
2013,"Lt Elezer Davis",00230010,6,0,0,6.2,96.2,2,0.6,0,0
2013,"Lt Job Lane School",00230012,6,0,0,5.3,97,0,0,0,0
2013,"John Glenn Middle",00230305,6,0,0,5.6,96.8,0,0,4,0.7
2013,"Bedford High",00230505,6,6,0.7,8.1,95.2,9,1,24,2.6
2013,Belchertown,00240000,5,2,0.3,8.9,94.9,17,0.7,351,13.7
2013,"Cold Spring",00240005,6,0,0,8.7,94.8,0,0,51,24.1
2013,"Chestnut Hill Community School",00240006,6,0,0,7.6,95.7,0,0,127,21.1
2013,"Swift River Elementary",00240018,6,0,0,7.9,95.4,6,1.1,128,22.6
2013,"Jabish Middle School",00240025,6,0,0,9.3,94.7,2,0.5,21,5.3
2013,"Belchertown High",00240505,6,2,0.3,10.1,94.1,9,1.2,24,3.1
2013,Bellingham,00250000,5,11,1.6,8.9,94.9,21,1,658,26.1
2013,"Bellingham Early Childhood Center",00250003,6,0,0,4.6,97.2,0,0,13,11.9
2013,"Clara Macy Elementary",00250009,6,0,0,6.9,96,1,0.5,52,20.6
2013,"South Elementary",00250020,6,0,0,6.4,96.4,0,0,83,18
2013,"Stall Brook",00250025,6,0,0,8.2,95.4,1,0.5,49,20.1
2013,"Bellingham Memorial Middle School",00250315,6,0,0,8.2,95.3,2,0.3,193,25.8
2013,"Bellingham High School",00250505,6,10,1.5,11.9,93.1,15,2.2,242,36
2013,"Primavera Junior/Senior High School",00250510,6,1,4.8,29.1,79,2,9.5,26,78.8
2013,Belmont,00260000,5,3,0.3,6.9,96.1,7,0.2,90,2.2
2013,"Winn Brook",00260005,6,0,0,6.1,96.5,1,0.3,3,0.7
2013,"Mary Lee Burbank",00260010,6,0,0,6.6,96.2,0,0,23,6.7
2013,"Daniel Butler",00260015,6,0,0,7.2,95.9,1,0.4,28,8
2013,"Roger E Wellington",00260035,6,0,0,6.2,96.5,0,0,16,2.6
2013,"Winthrop L Chenery Middle",00260305,6,0,0,6.5,96.3,0,0,7,0.6
2013,"Belmont High",00260505,6,3,0.3,7.5,95.8,5,0.4,13,1.1
2013,Berkley,00270000,5,0,0,6.5,96.3,1,0.1,1,0.1
2013,"Berkley Community School",00270010,6,0,0,6.4,96.4,1,0.3,0,0
2013,"Berkley Middle School",00270305,6,0,0,6.7,96.2,0,0,1,0.3
2013,Berlin,00280000,5,0,0,7.5,95.7,0,0,0,0
2013,"Berlin Memorial",00280005,6,0,0,7.5,95.7,0,0,0,0
2013,Beverly,00300000,5,24,1.9,7.9,95.5,31,0.8,297,6.6
2013,"Centerville Elementary",00300010,6,0,0,8.9,94.8,0,0,0,0
2013,"Cove Elementary",00300015,6,0,0,8,95.4,1,0.3,2,0.4
2013,"Hannah Elementary",00300033,6,0,0,7.3,95.9,0,0,22,5.8
2013,"North Beverly Elementary",00300040,6,0,0,7,96.1,2,0.6,0,0
2013,"Ayers/Ryal Side School",00300055,6,0,0,6.6,96.2,6,1.6,23,4.6
2013,"Briscoe Middle",00300305,6,0,0,6.8,96.1,4,0.4,43,4.5
2013,"Beverly High",00300505,6,24,1.9,9,94.9,18,1.4,207,15.6
2013,Billerica,00310000,5,25,1.8,7.6,95.7,66,1.3,1360,23.8
2013,"Thomas Ditson",00310005,6,0,0,6.5,96.4,1,0.2,136,20.7
2013,"Frederick J Dutile",00310007,6,0,0,5.7,96.8,2,0.6,60,16.3
2013,"John F Kennedy",00310012,6,0,0,5.7,96.9,3,0.9,61,16.1
2013,Parker,00310015,6,0,0,5.9,96.6,4,1.2,78,17.9
2013,"Hajjar Elementary",00310026,6,0,0,6.6,96.4,6,1.3,115,21.6
2013,"Eugene C Vining",00310030,6,0,0,7.3,96,0,0,54,23.3
2013,"Marshall Middle School",00310305,6,0,0,7.3,96,4,0.5,165,21.7
2013,"Locke Middle",00310310,6,0,0,7,96.1,2,0.3,147,21.7
2013,"Billerica Memorial High School",00310505,6,25,1.8,9.4,94.4,44,3.1,543,32.8
2013,Boston,00350000,5,969,5.9,13.2,92.2,2446,5.1,19104,32.8
2013,"Lee Academy",00350001,6,0,0,13.4,92.2,3,6.1,70,37.6
2013,"Early Childhood Center at Fifield (ECC-Fifield)",00350002,6,0,0,21.9,86.4,0,0,75,60.5
2013,"Baldwin Early Learning Center",00350003,6,0,0,15.4,90.9,0,0,44,22.8
2013,"Lyon K-8",00350004,6,0,0,8.9,95,0,0,22,15
2013,"ELC - West Zone",00350006,6,0,0,11.4,93.3,3,8.3,41,38.7
2013,"Dr. Catherine Ellison-Rosa Parks Early Ed School",00350008,6,0,0,8.9,94.8,14,12.2,69,31.2
2013,"East Boston Early Childhood Center",00350009,6,0,0,13.4,92.5,1,1.5,44,21.9
2013,"Haynes Early Education Center",00350010,6,0,0,17.6,89.6,0,0,126,59.4
2013,"Boston Teachers Union School",00350012,6,0,0,8.6,95.1,11,4.1,70,21.3
2013,"Jackson Mann",00350013,6,0,0,13.3,92,15,2.5,362,46.5
2013,"Curley K-8 School",00350020,6,0,0,13.2,92.2,29,4.2,375,42.3
2013,Beethoven,00350021,6,0,0,6.9,96.1,6,3.3,46,14.2
2013,"Carter Developmental Center",00350036,6,1,9.1,42.5,76.3,1,6.7,12,46.2
2013,"Charles Sumner",00350052,6,0,0,11.1,93.5,20,5.3,201,36
2013,"Charles H Taylor",00350054,6,0,0,7.6,95.3,12,2.9,146,24.6
2013,"Curtis Guild",00350062,6,0,0,8.4,95,4,1.7,80,24
2013,"David A Ellis",00350072,6,0,0,13.8,91.8,9,3.2,172,39.9
2013,Dearborn,00350074,6,0,0,13.6,91.9,10,4.1,110,41.5
2013,"Dennis C Haley",00350077,6,0,0,7.8,95.5,2,1,63,19.9
2013,"Donald Mckay",00350080,6,0,0,8.4,95.2,12,1.9,158,22.4
2013,"Edward Everett",00350088,6,0,0,8.8,94.9,2,0.9,68,23
2013,"Elihu Greenwood Leadership Academy",00350094,6,0,0,11.7,93.1,11,3.4,168,40.1
2013,"Eliot Elementary",00350096,6,0,0,6.2,96.4,5,1.9,52,14.1
2013,"Ellis Mendell",00350100,6,0,0,11.2,93.4,6,3.8,72,29.3
2013,"Franklin D Roosevelt",00350116,6,0,0,8.6,95,12,3.2,111,22.2
2013,"George H Conley",00350122,6,0,0,10.1,94.1,2,1.5,58,28
