FY_CODE,ORG_CODE,ORG_NAME,TECH_STU_PER_COMP_CNT,TECH_CLASS_COMP_NET_PCT
2003,00000000,"State Totals",4.3,93
2003,00010000,Abington,8.3,34.5
2003,00010003,"Abington ECC",9,0
2003,00010005,Center,21.4,0
2003,00010010,North,15.2,0
2003,00010015,Woodsdale,11,0
2003,00010405,"Frolio Jr Hs",6.4,22
2003,00010505,"Abington High",5.8,100
2003,00020000,Acton,5.9,100
2003,00020010,Merriam,5.8,100
2003,00020015,McCarthy-Towne,4.9,100
2003,00020020,Douglas,9.8,100
2003,00020025,Gates,5.2,100
2003,00020030,"Luther Conant",5.9,100
2003,00030000,Acushnet,1.9,100
2003,00030025,"Acushnet Elementary Sch",2.6,100
2003,00030305,"Albert F Ford Middle Sch",1.5,100
2003,00050000,Agawam,6.7,62.2
2003,00050003,"Agawam ECC",26.3,0
2003,00050010,"Clifford M Granger",8.2,100
2003,00050020,"Benjamin J Phelps",8.9,5
2003,00050025,"Robinson Park",7.4,100
2003,00050030,"James Clark School",10.3,5
2003,00050303,"Agawam Middle School",10.3,100
2003,00050405,"Agawam Junior High",6.4,10
2003,00050505,"Agawam High",4.2,87
2003,00070000,Amesbury,5,100
2003,00070005,"Amesbury Elementary",6.7,100
2003,00070010,"Charles C Cashman El",6.4,100
2003,00070013,"Amesbury Middle",3.2,100
2003,00070505,"Amesbury High",6.8,100
2003,00080000,Amherst,4,100
2003,00080009,"Crocker Farm Elementary",3.9,100
2003,00080020,"Fort River Elementary",4.5,100
2003,00080030,"Marks Meadow Laboratory",3.1,100
2003,00080050,"Wildwood Elementary",4.1,100
2003,00090000,Andover,2.9,100
2003,00090003,"Bancroft Elementary",2.5,100
2003,00090004,"High Plain Elementary",2.7,100
2003,00090005,"Shawsheen School",4.5,100
2003,00090010,"Henry C Sanborn Elem",2.8,100
2003,00090020,"South Elementary",3.7,100
2003,00090025,"West Elementary",3,100
2003,00090305,"Doherty Middle",2.8,100
2003,00090310,"Andover West Middle",2.5,100
2003,00090350,"Wood Hill Middle School",1.9,100
2003,00090505,"Andover High",3.4,100
2003,00100000,Arlington,4.3,100
2003,00100005,"John A Bishop",3.6,100
2003,00100010,Brackett,3.5,100
2003,00100025,"Cyrus E Dallin",6.8,100
2003,00100030,Hardy,2.8,100
2003,00100038,"Menotomy Preschool",43.5,100
2003,00100045,Peirce,1.9,100
2003,00100050,Thompson,5.5,100
2003,00100055,"M Norcross Stratton",6.5,100
2003,00100410,"Ottoson Middle",4.5,100
2003,00100505,"Arlington High",4.8,100
2003,00140000,Ashland,5.9,100
2003,00140005,"William Pittaway Elem",27.6,100
2003,00140010,"Henry E Warren Elem",7.6,100
2003,00140015,"David Mindess",5.4,100
2003,00140405,"Ashland Middle",6.2,100
2003,00140505,"Ashland High",3.7,100
2003,00160000,Attleboro,5.9,99.7
2003,00160001,"A. Irvin Studley Elementary School",6.5,100
2003,00160008,"Early Learning Center",26.3,100
2003,00160035,"Thomas E. Willett School",5.9,100
2003,00160040,"Hyman Fine Elementary School",7.5,100
2003,00160045,"Hill-Roberts Elementary School",8,100
2003,00160050,"Peter Thacher Elementary School",3.7,100
2003,00160305,"Robert J. Coelho Middle School",6.9,97
2003,00160315,"Cyril K. Brennan Middle School",3.9,100
2003,00160320,"Wamsutta Middle School",6.4,100
2003,00160505,"Attleboro High",5.8,100
2003,00160605,"Attleboro Voc Tech High",,
2003,00170000,Auburn,4.6,100
2003,00170005,"Julia Bancroft",5,100
2003,00170010,"Bryn Mawr",8,100
2003,00170015,Pakachoag,5.1,100
2003,00170025,"Mary D Stone",10.2,100
2003,00170305,"Auburn Middle",3.9,100
2003,00170505,"Auburn Senior High",3.2,100
2003,00180000,Avon,4.6,100
2003,00180010,"Ralph D Butler",6.3,100
2003,00180510,"Avon Middle High School",3.9,100
2003,00190000,Ayer,4.7,100
2003,00190025,Page-Hilltop,6.8,100
2003,00190305,"Ayer Middle",3.3,100
2003,00190510,"Ayer High",4.2,100
2003,00200000,Barnstable,4.2,100
2003,00200005,"West Barnstable Elem",5.1,100
2003,00200010,"Centerville Elementary",6.3,100
2003,00200015,"Cotuit Elem",5,100
2003,00200020,"Hyannis Elementary",7.6,100
2003,00200025,"Hyannis West Elementary",4.9,100
2003,00200030,"Marstons Mills Elem",6.3,100
2003,00200032,"Marstons Mills East",15.4,100
2003,00200035,"Osterville Elementary",7.4,100
2003,00200040,"Osterville Bay Elementary",12.4,100
2003,00200305,"Middle School/Hyannis",2.8,100
2003,00200310,"Middle Sch/Marston's Mill",,
2003,00200505,"Barnstable High",3.3,100
2003,00230000,Bedford,2.4,100
2003,00230010,"Lt Elezer Davis",3.1,100
2003,00230012,"Lt Job Lane School",2.5,100
2003,00230305,"John Glenn Middle",1.9,100
2003,00230505,"Bedford High",2.4,100
2003,00240000,Belchertown,4.3,91.3
2003,00240002,"Berkshire Avenue School",,
2003,00240004,"Chestnut Hill Community",5.9,100
2003,00240005,"Cold Spring",22,0
2003,00240018,"Swift River Elem",7.2,100
2003,00240020,"Tadgell Hall",,
2003,00240505,"Belchertown High",1.8,100
2003,00250000,Bellingham,5.2,98.9
2003,00250003,"Bellingham ECC",29.8,50
2003,00250009,"Clara Macy Elementary",7.8,100
2003,00250020,"South Elem",12.9,100
2003,00250025,"Stall Brook",9.2,100
2003,00250315,"Bellingham Memorial Middle School",3.1,100
2003,00250505,"Bellingham High School",3.4,100
2003,00250510,"Primavera Jr/Sr H S",1.9,100
2003,00260000,Belmont,5.4,100
2003,00260005,"Winn Brook",6.7,100
2003,00260010,"Mary Lee Burbank",6.6,100
2003,00260015,"Daniel Butler",4.5,100
2003,00260035,"Roger E Wellington",6.6,100
2003,00260305,"Winthrop L Chenery Middle",5.6,100
2003,00260505,"Belmont High",4.4,100
2003,00270000,Berkley,4.8,100
2003,00270010,"Berkley Community School",7,100
2003,00270305,"Berkley Middle School",3.4,100
2003,00280000,Berlin,6.1,100
2003,00280005,"Berlin Memorial",6.1,100
2003,00300000,Beverly,4.7,93.1
2003,00300010,"Centerville Elementary",12,50
2003,00300015,"Cove Elementary",4.6,100
2003,00300033,"Hannah Elementary",3.8,100
2003,00300037,"McKeown Elementary",5.4,100
2003,00300040,"North Beverly Elementary",3.6,100
2003,00300055,"Ayers/Ryal Side Sch",6.3,100
2003,00300305,"Briscoe Middle",3.8,95
2003,00300310,"Memorial Middle",3.4,100
2003,00300505,"Beverly High",5.4,92
2003,00310000,Billerica,7.7,100
2003,00310005,"Thomas Ditson",2.8,100
2003,00310007,"Frederick J Dutile",8.4,100
2003,00310012,"John F Kennedy",11.9,100
2003,00310015,Parker,9.5,100
2003,00310026,"Hajjar Elementary",11.4,100
2003,00310030,"Eugene C Vining",10,100
2003,00310305,"Marshall Middle School",13.1,100
2003,00310310,"Locke Middle",10.1,100
2003,00310505,"Billerica Memorial High School",9,100
2003,00350000,Boston,5,98.6
2003,00350003,"ELC - North Zone",5.4,100
2003,00350004,"Mary Lyon",3.6,100
2003,00350005,"ELC - East Zone",5.5,100
2003,00350006,"ELC - West Zone",4.1,100
2003,00350007,Agassiz,7.3,100
2003,00350008,"Mattapan ECC",2.3,100
2003,00350009,"East Boston ECC",2.4,100
2003,00350010,"Blue Hill Ave ECC",2.7,100
2003,00350011,"Alexander Hamilton",6.5,100
2003,00350013,"Jackson Mann",4.9,100
2003,00350021,Beethoven,5.1,100
2003,00350036,"Carter Develop Day Care",5.5,100
2003,00350052,"Charles Sumner",6.5,100
2003,00350054,"Charles H Taylor",9.7,100
2003,00350062,"Curtis Guild",3.5,100
2003,00350066,"Dante Alighieri",15.3,100
2003,00350072,"David A Ellis",7.7,100
2003,00350074,Dearborn,6.7,100
2003,00350077,"Dennis C Haley",3.9,100
2003,00350080,"Donald Mckay",6,100
2003,00350088,"Edward Everett",5.1,100
2003,00350094,"Elihu Greenwood",6.8,100
2003,00350096,"Eliot Elementary",3.8,100
2003,00350100,"Ellis Mendell",3.4,100
2003,00350102,"Emily A Fifield",6.7,100
2003,00350108,Farragut,3.6,100
2003,00350114,"Frank V Thompson Middle",,
2003,00350116,"Franklin D Roosevelt",7.1,100
2003,00350122,"George H Conley",3.1,100
2003,00350129,"Harriet A Baldwin",,
2003,00350135,"Henry Grew",3.9,100
2003,00350137,"Henry L Higginson",3,100
2003,00350138,"O W Holmes",3.9,100
2003,00350139,"Phyllis Wheatley Middle",,
2003,00350141,"Hugh Roe O'Donnell",3.6,100
2003,00350146,"James Condon Elem",11.6,100
2003,00350152,"James A Garfield Elem",5.3,100
2003,00350153,"James W Hennigan",6.8,100
2003,00350154,"James J Chittick",4.5,100
2003,00350156,"James Otis",6.9,100
2003,00350166,"John F Kennedy",7.6,100
2003,00350167,"John P Holland",4.8,100
2003,00350172,"John D Philbrick",4.7,100
2003,00350178,"John Marshall",12.1,100
2003,00350179,"John W McCormack",4.9,100
2003,00350180,"John Winthrop",5.5,100
2003,00350181,"Joseph P Tynan",10.2,100
2003,00350182,"Joseph J Hurley",5.3,100
2003,00350183,"Joseph Lee",7.3,100
2003,00350184,"Joseph P Manning",4.4,100
2003,00350190,"Joyce Kilmer",4.4,100
2003,00350200,Harvard-Kent,4.9,100
2003,00350211,"Lucy Stone",3.9,100
2003,00350215,"Manassah E Bradley",5.1,100
2003,00350217,"Margaret Fuller",,
2003,00350226,Mattahunt,6.5,100
2003,00350227,Mather,5.6,100
2003,00350229,"Maurice J Tobin",7.5,100
2003,00350231,"Michael J Perkins",4.4,100
2003,00350237,Mozart,8,100
2003,00350240,"Richard J Murphy",6.2,100
2003,00350243,"Nathan Hale",4.5,100
2003,00350255,"Oliver Hazard Perry",2.6,100
2003,00350257,"Orchard Gardens ",,
2003,00350258,"William H Ohrenberger",4,100
2003,00350262,Lyndon,5.7,100
2003,00350264,"Patrick J Kennedy",4.2,100
2003,00350266,"Patrick O'Hearn",5.7,100
2003,00350268,"Paul A Dever",7.1,100
2003,00350270,"Pauline Agassiz Shaw",4.8,100
2003,00350278,"Phineas Bates",6,100
2003,00350284,"Quincy E Dickerman",4.6,100
2003,00350286,"Josiah Quincy",6.4,100
2003,00350288,"Ralph Waldo Emerson",4.3,100
2003,00350298,"Roger Clap",2.8,100
2003,00350302,"Samuel Adams",4.3,100
2003,00350304,"Samuel W Mason",5.4,100
2003,00350308,"Sarah Greenwood",5.1,100
2003,00350326,"Thomas Gardner",6.3,100
2003,00350328,"Thomas J Kenny",4.8,100
2003,00350346,Warren-Prescott,5.5,100
2003,00350360,"William Ellery Channing",5.2,100
2003,00350362,"Wm E Endicott",,
2003,00350363,"William McKinley",5.3,100
2003,00350366,"William E Russell",4.9,23
2003,00350370,"William Monroe Trotter",6.4,100
2003,00350374,"Winship Elementary",2.7,100
2003,00350380,"Young Achievers",7.8,100
2003,00350381,"Mildred Avenue Middle School",,
2003,00350382,"Mission Hill School",7.7,100
2003,00350383,"New Boston Pilot Middle School",,
2003,00350384,"James M Curley",5.3,100
2003,00350390,Blackstone,5.3,100
2003,00350405,"Umana/Barnes Middle",4.6,100
2003,00350410,"Martin Luther King Jr Mid",5.7,100
2003,00350413,"Boston Middle School Academy",2.7,100
2003,00350415,"Grover Cleveland",4.9,100
2003,00350420,"Mary E Curley Middle",6.2,100
2003,00350425,"Thomas A Edison Jr High",12.3,100
2003,00350426,"Harbor School",3.1,100
2003,00350430,"Clarence R Edwards Middle",4.9,100
2003,00350435,"Patrick F Gavin Middle",4.9,100
2003,00350445,"Washington Irving Middle",5.6,100
2003,00350450,"Solomon Lewenberg Middle",5.8,100
2003,00350455,"Lewis Middle School",7.5,100
2003,00350470,"Wm B Rogers Middle",5.4,100
2003,00350475,"Robert Gould Shaw Middle",,
2003,00350480,"William H Taft Middle",4.6,100
2003,00350485,"James P Timilty Middle",5,100
2003,00350490,"Woodrow Wilson Middle",6.1,100
2003,00350502,"Academy of Public Service",,
2003,00350505,"Brighton High",6.4,100
2003,00350507,"Boston International  High School",,
2003,00350515,"Charlestown High",4,100
2003,00350518,"Community Academy",25.8,100
2003,00350520,"Dorchester High",,
2003,00350522,"Excel High School",,
2003,00350524,"Economics and Business Academy",,
2003,00350525,"Jeremiah E Burke High",5,100
2003,00350530,"East Boston High",2.1,100
2003,00350535,"The English High",6.3,100
2003,00350537,"Madison Park High",3,100
2003,00350538,"Monument High School",,
2003,00350539,"Tech Boston Academy",0.5,100
2003,00350540,"Fenway High School",4.3,100
2003,00350541,"Another Course To College",1.7,100
2003,00350542,"New Mission High School",5.6,100
2003,00350543,"Egleston Comm High School",1.7,100
2003,00350545,"Boston Latin Academy",12.4,100
2003,00350546,"Boston Arts Academy",3.5,100
2003,00350548,"Boston Adult Academy",4.9,100
2003,00350550,"Hyde Park High School",2.7,100
2003,00350558,"Boston Community Leadership Academy",2.7,100
2003,00350560,"Boston Latin",18.9,100
2003,00350565,"Quincy Upper School",2.1,100
2003,00350570,"South Boston High",,
2003,00350573,"West Roxbury Sch",5.2,100
2003,00350575,"O'Bryant Sch Math/Science",8.9,100
